sama	samade
kooli+katsumine	kooli+`katsumine
siis	siis
tulema	tulid
küsima	küsima
kõik	kõik
kooli+tuba	kooli+toa
uks	uksest
tulema	tuli
sisse	`sisse
kas	kass
olema	oli
see	see
õpetaja	õppettaea
või	või
mõni	mõnest
koht	kohast
tulema	tuli
teine	teisest
kool	koolist
kooli+õpetaja	kooli+õppettaead
käima	käisid
üks+teise	üks+teise
kool	`koolisi
katsuma	`katsumas
siis	siss
es	s
olema	ole
muu	muud
mis+ki	midad
kui	kut
kui	kut
küsima	küsitti
laps	laste
käest	kääst
näitama	näidetti
näpp	näppuga
no	no
mis	miss
see	seda
ehk	ähk
see	seda
mis	miss
olema	on
nüüd	nüid
mis	miss
olema	on
mis	mida
küsima	küsis
siis	siis
ja	ja
tõusma	`tõusis
püsti	`püsti
ning	ning
see	see
hakkama	`akkas
siis	siis
seal	sääl
siis	siis
lugema	lugema
või	või
vastama	`vastama
kuidas	kuiss
nüüd	nüid
mis+moodi	mis+`moodi
siis	siis
olema	oli
kui	kui
olema	oli
hästi	`easti
siis	siis
kiitma	kiidetti
kui	kui
olema	oli
halb	alb
siis	siis
hüüdma	`öötti
et	et
et	et
sant	sant
olema	on
pidama	pead
ikka	`ikka
paremini	paremini
katsuma	`katsuma
õppima	`õppida
ja	ja
muu	muud
miski	midagid
es	es
olema	ole
seal	sääl
kus	kuss
suur	suret
suur	sured
nägu	näod
saama	sai
ette	`ette
tegema	`tehtud
ja	ja
ja	ja
kadri	kadrid
kaks	kaks
kaks	kahed
käima	käisid
kadri	kadrid
olema	oli
ju	ju
hiljem	`iljem
mart	mardid
käima	käisid
ennem	`ennem
kaks	kaks
nädal	nädalt
kadri	kadri
õhtu	`õhtad
olema	olid
kaks	kaks
nädal	nädalt
pärast	pärast
kadri	kadrid
olema	olid
ju	ju
nii	nii
uhke	`uhked
nemad	nendel
olema	olid
kõik+sugune	kõik+sugused
värvima	värvittud
paber	paberittest
olema	olid
tegema	`tehtud
puha	puhas
vigur	vigurid
ümber	`ümber
ja	ja
mis	mis
mis	mis
kahisema	kahisesid
ja	ja
suur	sured
pärl	`pärlid
olema	olid
suur	surtte
müts	`mütside
peal	peel
ning	ning
ning	ning
suur	surt
jälle	`jälle
aga	aga
mart	mardid
olema	olid
jälle	`jälle
nii	nii
kole	koledad
et	et
nemad	need
olema	ol'id
jälle	`jälle
nii	ni
suur	sured
hirmus	`irmpsad
kole	koled
nägu	näod
ees	ees
ja	ja
karu+pidi	karu+bidi
kasukas	kassukkad
selg	`selgas
ja	ja
ja	ja
mart	mardid
olema	olid
kuri	kurjad
nemad	naad
ikka	`ikka
kes	kess
paha	pahad
laps	lapsed
olema	on
nemad	neid
siis	siis
jälle	`jälle
vitsutama	vitsuttama
kohe	kohe
aga	aga
nemad	nad
andma	`antsid
üks	ühed
kibe	kibede
vits	`vitsadega
laps	lastele
ka	koo
seal	sääl
es	s
olema	ole
mis+ki	midad
kes	kess
vahest	vahest
kaebama	`kaibas
et	et
vat	vatt
see	see
olema	on
paha	paha
laps	laps
ja	ja
siis	siis
siis	siis
mart	mardid
nuhtlema	`nuhtlesid
jälle	`jälle
sedasi	sedasi
siis	siis
aga	äga
kadri	kadrid
olema	olid
hea	ead
nemad	need
olema	pole
peksma	`peksnd
laps	`lapsi
mitte	`mette
kadri	kadrisid
kadri	kadri
laps	lapsed
hüüdma	`öötti
mart	mardi
õhtu	`õhta
siis	siis
laps	lapsed
olema	olid
nii	nii
hirm	`irmu
täis	täis
jooksma	joosid
ära	ära
et	et
hirmutama	irmuttatti
kohe	kohe
laps	`lapsi
et	et
kui	kui
mart	mardid
tulema	tulad
küll	küll
meie	me
laskma	laseme
sina	`sulle
peksa	`peksa
andma	`anda
mis	mida
nemad	neid
nemad	neid
mina	ma
olema	ole
küll	küll
nägema	näind
ning	ning
toru+pill	toru+pil'l
olema	oli
see	see
olema	oli
siga	sia
siga	sia
jälle	`jälle
see	see
magu	magu
või	või
või	või
mis	missest
tema	ta
olema	oli
tegema	`tehtud
üks	üks
sihuke	`seukke
suur	sur
umbne	`umne
kott	kot't
olema	oli
ja	ja
siis	siss
suur	sured
olema	ol'id
küljes	`külges
olema	olid
suur	sured
toru	torud
ja	ja
truba	rubad
ja	ja
siis	siss
oskama	osatti
see	selle
järgi	`järge
nõnda	nõnda
puhuma	puhuda
ja	ja
mäng	mänga
ja	ja
tantsima	tansitti
ka	koo
toru+pill	toru+pilli
järgi	`järge
toru+pill	toru+billid
ja	ja
lõõts+pill	lõtsa+pillid
olema	olid
muu	muud
muu	muud
pill	`pilli
viiul	viijulid
kool	`koolis
olema	oli
juba	juba
kui	kui
kool	`koolis
olema	oli
seal	sääl
kooli+õpetaja	kooli+õppettaea
panema	pani
ka	koo
laulma	`laulma
siis	siis
olema	oli
viiul	viijul
viiul	viijuli
järgi	`järge
ikka	`ikka
laulma	`laulma
panema	`pandi
ja	ja
ega	äga
muu	muud
pill	`pillisi
olema	pole
siis	siis
siis	siis
olema	olnd
kui	kut
nüüd	nüid
olema	on
pill	pillid
kõik+sugune	kõik+sugused
ikka	`ikka
polka	pol'kka
ja	ja
valss	val'ts
kui	kui
vana+rahvas	vana+`rahva
valss	`val'tsi
see	seda
laskma	`lasti
ikka	`ikka
kõige	kõige
rohkem	`rohkem
mari	marjul
seen	`seenel
käima	käived
meie	`meittel
olema	on
siin	sii
siia	`siija
siin	si
linn	linna
poole	`poole
minema	`minnes
seal	sääl
olema	on
suurem	suuremad
mets	metsad
seal	sääl
käima	käivad
mari	marjul
ei	äi
raba	rabas
käima	käivad
ka	kaa
turba+raba	`turla+rabas
käima	käivad
mari	marjul
jõhvikas	jõhvikkaid
ja	ja
pohl	`poolasi
otsima	`otsimas
ja	ja
pohla+mari	pohla+marjad
ja	ja
jõhvika+mari	jõhvikka+marjad
ja	ja
mustikas	mustikkad
ja	ja
siin	sii
olema	on
seen	`seenesi
siin	sii
olema	on
riisikas	riisikkad
ja	ja
siis	siis
olema	on
see	need
kuke+püks	kukke+püksid
ja	ja
mis	mis
nemad	naad
kutsuma	`kutsuvad
või	või
seen	`seened
ja	ja
ja	ja
siin	sii
see	neid
see	neid
olema	on
mitme+sugune	`mitme+sugusid
siin	sii
jah	jahh
tegema	teevad
talv	`talveks
küll	küll
sisse	`sisse
kui	kui
mina	mina
veel	veel
pisike	pisikke
olema	oli
siis	siis
tema	ta
ikka	`ikka
linn	linn
kohe	kohe
juba	juba
ei	äi
seal	säl
es	s
olema	ole
miski	midagid
mitte	`mette
linna+pea	linna+bea
see	se
kutsuma	kutsuttakse
see	see
nüüd	nüid
nemad	neid
ikka	`ikka
olema	on
kus	kuss
praegu	`paergus
ikka	`ikka
pidu	pidusid
olema	on
kus	kuss
pidu	pidusid
käima	käivad
tegema	tegemas
vana	vana
vana	vana
linna+pea	linna+bea
see	see
see	see
olema	oli
kui	kui
vana	vanal
aeg	aal
tema	ta
tegema	`tehtud
olema	on
üks	üks
see	seda
vana	vana
vana	vanad
kiri	kirjad
rääkima	`rääksid
kuidas+moodi	kuda+`moodi
olema	on
see	see
tegema	`tehtud
et	et
kivi	kivid
olema	on
tooma	`toodud
üks	ühe
käest	kääst
andma	`antti
teine	teise
kätte	`kätte
mina	mina
ep	p
teadma	tea
mitu	`mitme
kümme	`kümne
verst	versta
tagant	tagant
kust	kust
see	need
kivi	kivid
tooma	`toodi
kui	kui
kui	kui
linn	`linna
linna+pea	linna+bead
ehitama	ehittatti
ja	ja
siis	siss
kivi	kivi
kivi	kivi
kivi	kivi
andma	`antti
üks	üks
andma	annab
teine	teise
kätte	`kätte
kivi	kivi
sedasi	sädäsi
tooma	`toodud
kivi	kivid
kohale	kohale
ja	ja
siis	siss
see	see
vana	vana
linna+pea	linna+bea
seal	sääl
olema	oli
ikka	`ikka
mina	maa
ep	p
teadma	tea
see	seda
laul	`laulu
mina	mu
õde	õde
teadma	`teadis
see	selle
laul	laulu
see	see
see	see
olema	oli
tore	tore
laul	laul
kuidas+moodi	kuda+`moodi
seal	sääl
see	see
üle	üle
Saare+maa	Saare+maa
käima	käis
see	see
laul	laul
ja	ja
siis	siis
kui	kui
kui	kui
see	se
linna+pea	linna+bea
peal	peal
seal	sääl
lõppema	lõppes
viimaks	`viimaks
ära	ära
see	see
laul	laul
mina	ma
ep	p
teadma	tea
see	sellest
laul	laulust
miski	midagid
mis	miss
seal	sääl
olema	oli
ainult	aint
üks	üks
kui	kui
meie	meil
olema	oli
siit	siit
kolm+kümmend	kolm+kümend
viis	viis
verst	verstad
olema	olid
nüüd	nüid
olema	on
kilo+meeter	kilu+`meedrid
nüüd	nüid
olema	on
neli+kümmend	neli+gümend
üks	üks
kilo+meeter	kilu+`meedrid
mis	miss
siit	siit
minema	`minna
olema	on
aga	aga
siis	siis
olema	oli
kolm+kümmend	kolm+kümend
viis	viis
verst	`versta
olema	oli
õhtu	`õhta
saama	sai
hobune	obu
ette	`ette
panema	`pandud
ning	ning
siis	siis
mis	miss
mis	misse
linn	`linna
müüma	`müima
minema	`mindi
kas	kass
vili	`vilja
minema	läksid
müüma	`müima
või	või
või	või
kana+poeg	kana+`boegi
või	või
muna	mune
või	või
miski	midagid
õhtu	`õhta
saama	sai
hobune	obu
hobune	obu
ette	`ette
panema	`pandud
ning	ning
terve	`terve
öö	öö
saama	sai
minema	`mindud
ning	ning
hommik	oomikkuks
saama	said
siis	siis
linn	`linna
linn	linna
turg	turule
ja	ja
siis	siis
saama	saant
jälle	`jälle
siis	siis
seal	sääl
turu+aeg	turu+aeg
kell	kella
kaks	kahest
lõppema	`lõppes
ära	ära
siis	siss
siis	siis
hakkama	akkatti
siis	siis
oma	oma
asi	`asja
linn	`linnas
ajama	aeama
mis	miss
veel	veel
tarvis	`tarvis
olema	on
ja	ja
siis	siis
saama	sai
teine	teise
öö	`ööse
saama	sai
kodu	koduse
tulema	`tuldud
jälle	`jälle
hobune	obusega
sedasi	sedasi
olema	oli
see	see
linna+käimine	linna+`gäimine
hobune	obu
olema	oli
ees	ees
ikka	`ikka
hobune	obusega
no	no
nüüd	nüid
käima	käid
kaks	kaks
kolm	kolm
kord	`korda
päev	`päävas
võima	võib
linn	`linnas
käima	`käija
juba	juba
jah	jahh
kartul	karttuhlid
kes	kessel
olema	oli
viis	viis
kartul	karttuhlit
kas	kass
vana	vanu
või	või
kui	kui
uus	uijed
kartul	karttuhlid
uus	`uusi
ja	ja
või	võid
viima	`viidi
ikka	`ikka
maa	maal
tegema	`tehti
või	võid
pidama	`peetti
lehm	lehmad
ning	ning
siis	siss
es	es
olema	ole
koore+jaam	koore+`jäämi
mitte	`mitte
siis	siis
või	või
korjama	korjatti
ja	ja
viima	`viidi
linn	`linna
müük	müigile
müüma	`müidi
või	võid
ja	ja
muna	munad
viima	`viidi
ja	ja
kui	kui
kana+poeg	kana+boead
juba	juba
nii	nii
suur	suured
olema	ol'id
viima	`viidi
linn	`linna
siin	sii
käima	käisid
ju	ju
balti+saks	palti+saksad
olema	olid
ju	ju
käima	käisid
suvitama	suvittamas
nemad	need
kes	kess
paat	`pattis
olema	olid
nemad	ned
nemad	nendele
see	se
nemad	nende
aeg	`aega
siis	siis
kõige	kõige
rohkem	`rohkem
raha	raha
saama	sai
saama	`saadi
inimene	inimesed
siis	siis
viima	viisid
värk	`värkki
nemad	need
ostma	`ostsid
ja	ja
siis	siis
viima	`viidi
viima	`viidi
kõik	`keikki
mis	miss
muu	muud
asi	`asja
es	s
olema	ole
siit	siit
viima	`viija
mitte	`mette
müük	müigile
õun	õunad
ja	ja
mari	marjad
kui	kui
olema	olid
pruut	pruut
ja	ja
peig+mees	peig+mees
olema	olid
siis	siiss
kutsuma	kutsutti
pulmaline	pulmalised
kõik	kõik
kokku	`kokku
pruut	pruudi
pulmaline	pulmalised
peig	peiju
pulmaline	pulmalised
kolm	kolm
päev	`päeva
pidama	`peetti
pulm	`pulmi
kolm	kolm
öö	ööd
ja	ja
kolm	kolm
päev	`päeva
aga	aga
siis	siis
olema	oli
siuke	`seukke
mood	mood
iga+üks	iga+üks
tegema	tegi
oma	oma
leiva+kott	leiva+kottiga
minema	läks
pulm	`pulma
aga	aga
õlu	õlut
olema	oli
siis	siis
pulma+pere	pulma+bere
poolt	poolt
siis	siss
ja	ja
aga	aga
leib	leivad
ja	ja
liha	lihad
ja	ja
see	need
ja	ja
kartul	karttuhlid
olema	olid
ka	kaa
pulma+pere	pulma+bere
poolt	poolt
aga	äga
liha	liha
ja	ja
jälle	`jälle
leib	leib
siis	siis
tegema	`tehti
sepik	seppikkut
ja	ja
siis	siis
viima	`viidi
pulm	`pulma
nii+palju	nii+palju
kui	kui
inimene	inimesi
minema	läks
nii+palju	nii+pailu
viima	`viidi
siis	siis
värk	`värkki
pulm	`pulma
ja	ja
siis	siis
kolm	kolm
päev	`päeva
pidama	`peetti
pulm	`pulmad
esimene	esimese
päev	`pääva
olema	olid
teine	teised
pulmaline	pulmalised
olema	olid
pruut	pruudi
kutsuma	kutsuttud
pulmaline	pulmalised
olema	olid
pruut	pruudi
kodu	kodu
peig+mees	peig+mehe
kutsuma	kutsuttud
pulm	pulmad
pulmaline	pulmalised
olema	olid
peig+mees	peig+mehe
kodu	kodus
ja	ja
teine	teise
päev	pääva
nemad	nad
minema	läksid
siis	siis
pruut	pruudid
pruut	pruut
viima	`viidi
peig	peiju
kodu	koduse
siis	siis
minema	läksid
kõik	kõik
sinna	`sönna
kokku	`kokku
pulmaline	pulmalised
ja	ja
siis	siis
viima	`viidi
pruut	pruudi
pruut	pruudi
see	see
olema	oli
see	nee
olema	lid
kirst	kerstud
hüüdma	`üitti
suur	suured
nüüd	nüid
olema	onn
kummut	kummuttid
või	või
seuksed	`seuksed
asi	asjad
aga	aga
siis	siis
olema	olid
suur	suured
kirst	kerstud
kus	kuss
pruut	pruudi
kraam	raam
sees	sehes
koos	koo
olema	oli
mis	miss
pruut	pruudi
kaasa+vara	kaasa+vara
olema	oli
siis	siis
riie	`riided
ja	ja
värk	vär'k
see	see
see	see
viima	`viidi
siis	siis
ka	kaa
hobune	obusega
kohe	kohe
see	selle
õhtu	`õhtu
sinna	`sönna
peig	peiju
kodu	koduse
kui	kui
pruut	pruut
ära	ära
viima	`viidi
peig	peiju
kodu	koduse
ja	ja
siis	siis
siis	siis
teine	teise
kui	kui
kolmas	kolmas
päev	päe
tulema	tul'i
siis	siis
pruut	pruudi
pulmaline	pulmalised
olema	olid
pruut	pruudi
kutsuma	kutsuttud
pulmaline	pulmalised
olema	olid
pruut	pruudi
kodu	kodu
pidama	pidasid
pulm	`pulmi
ja	ja
peig+mees	peig+mehe
kodu	kodu
pidama	`peetti
jälle	jälle
peig+mees	peig+mehe
pulmaline	pulmalised
pidama	pidasid
siis	siis
kolm	kolm
päev	`pääva
ja	ja
kolm	kolm
öö	ööd
olema	olid
pulm	pulmad
kestma	`kestasid
noo	noo
seal	sääl
olema	olid
siis	siis
oma	omad
suur	suured
suur	suured
vigur	vigurid
ja	ja
kunst	kuntsid
koos	koo
veel	veel
ikka	`ikka
mis	mis
nemad	nad
seal	sääl
mängima	`mänksid
kui	kui
pruut	pruut
sisse	`sisse
tooma	`töödi
pruut	pruudil
panema	`pandi
suur	suur
kott	kot't
pea	piha
ja	ja
ja	ja
siis	siss
panema	`pandi
laud	lauwa
taha	taha
istuma	`istuma
ja	ja
siis	siis
siis	siis
hakkama	akkas
pruut	pruut
pruut	pruut
hakkama	akkas
siis	siis
jälle	jälle
peig	peiju
peig+mees	peig+mehe
sugulane	sugulastele
kõik	kõigile
kinnas	`kindaid
sokk	sokkid
kõik	kõik
olema	on
valmistama	valmistud
see	need
hüüdma	`üitti
pruut	pruudi
anne	`anded
siis	siis
see	need
olema	olid
üks	ühe
korv	korvi
sees	sees
ja	ja
pruut	pruudi
kõrvane	kõrvane
olema	oli
üks	üks
hüüdma	`öötti
kes	kess
pruut	pruudil
siis	siis
kõrvane	kõrvaseks
kutsuma	kutsuttud
olema	oli
üks	üks
üks	üks
tüdruk	tüdruk
see	see
panema	pani
siis	siis
ja	ja
peiu+poiss	peiju+poiss
olema	oli
jälle	`jälle
kes	kess
peig+mees	pei+mehel
hüüdma	`üitti
jälle	`jälle
poiss	poiss
kes	kess
kroon	`krooni
pidama	pidas
kui	kui
kirik	kirikkus
laulatama	laulattatti
see	see
olema	oli
peiu+poiss	peiju+poiss
see	sellel
olema	oli
siis	siis
mõõk	mõek
ja	ja
see	selle
mõõk	mõega
otsa	`otsa
panema	`pandi
siis	siis
hüüdma	`üitti
ikka	`ikka
õitsema	õitse
õitsema	õitse
pere+tütar	pere+`tütrel
õitsema	õitse
õitsema	õitse
poeg	poeal
kes	kellel
ikka	`ikka
mis+ki	midagid
andma	`antti
siis	siss
siis	siss
panema	`pandi
sinna	`sönna
korv	`korvi
sisse	siss
raha+kopikas	raha+goppikkud
nii+palju	nii+pailu
kui	kut
üks+ki	`ükskid
arvama	`arvas
panema	`pandi
siis	siis
sinna	`sönna
anne	annette
korv	`korvi
sisse	siiss
natuke	nattukke
raha	raha
iga+üks	iga+üks
panema	pani
siis	siis
kes	kess
kes	kess
sealt	sält
anne	`anded
saama	sai
siis	siis
noorik	noorik
minema	läks
siis	siss
kirik	kirikku
ning	ning
ja	ja
peig+mees	peig+mes
minema	läksid
kahekesi	kahe`gesti
kirik	kirikku
ja	ja
tulema	tulid
ära	ära
ja	ja
siis	siis
es	ess
siis	siis
es	ess
olema	ole
enam	änam
enam	änam
mis+ki	midagid
siuke	`seukkest
asi	`asja
mitte	`mette
muud+kui	muid+kui
et	et
jaani+päev	jaani+bäev
olema	oli
ka	kaa
jälle	`jälle
tegema	`tehti
õlu	õlut
jaani+päev	jaani+bäävaks
tema	ta
siis	siis
jaani+päev	jaani+be
laupäev	`lauppa
õhtu	`õhta
tegema	`tehti
tuli	tuld
mägi	mägede
peale	`peale
plats	latsi
peale	pele
viima	`viidi
raiuma	raijutti
puu	puid
kadakas	kadakkud
ning	ning
siis	sii
olema	oo
see	need
kadakane	kadakkased
karja+maa	karja+maad
kadakas	kadakkud
suur	suured
hunnik	un'nikkad
siis	siis
tegema	`tehti
siis	siis
seal	sääl
tantsima	`tantsitti
tegema	`tehti
ringi+mäng	ringi+`mänge
siis	siis
laulma	`laultti
siis	siis
see	see
olema	oli
see	see
jaan	jaani
jaan	jaani
vastu+võtmine	`vastu+`võtmine
muu	muud
asi	`asja
mina	maa
ep	p
teadma	tea
jaani+päev	jaani+bäval
mis+ki	midagid
olema	olnd
meie	meil
tegema	`tehti
lina	linu
ka	kaa
maha	maha
siis	siis
olema	olid
lina+talgud	lina+`talgud
siis	siis
olema	lid
meie	meil
siuke	`siuksed
suur	suured
puu+lõuk	puu+lõugud
mina	mool
olema	pole
praegu	`praegus
enam	änam
mina	mool
olema	on
küll	küll
aga	aga
see	see
olema	pole
mina	mool
kodu	kodus
mitte	`mette
see	see
puu+lõuk	puu+lõuk
mis	millega
see	neid
lina	linu
lõugutama	lõuguttatti
siis	siis
kutsuma	kutsutti
kokku	kogu
aga	äga
siis	siis
olema	oli
öö	`ööse
päev	`pääva
inimene	inimesed
pidama	pidid
ikka	`ikka
töö	töö
kallal	kallal
olema	olema
noor	noored
aga	äga
siis	siis
öö	`ööse
pidama	`peetti
talgud	`talguid
siis	sis
siis	sis
talgud	`talgus
tantsima	tansitti
siis	siis
tegema	`tehti
toit	toidut
ning	ning
andma	`antti
sööma	`süija
ja	ja
siis	siss
siis	siis
tulema	tulid
kaugelt	`kaugelt
poiss	poisid
kokku	`kokku
kõik	kõik
ikka	`ikke
talgud	`talgu
siis	siis
tantsima	`tantsima
sinna	`sönna
ja	ja
siis	siis
olema	oli
õlu	õlut
seal	sääl
ja	ja
siis	siis
tantsima	tantsitti
ja	ja
siis	siss
siis	siss
lõugutama	lõuguttatti
lina	linad
ära	ära
ja	ja
ropsima	ropsitti
ja	ja
see	see
olema	oli
siis	siis
lina+talgud	lina+`talgud
aga	äga
heina+talgud	eina+`talguttega
olema	oli
nii+sama	nii+salma
ikka	`ikka
õlu	õlut
tegema	`tehti
ja	ja
ja	ja
siis	siis
kutsuma	kutsutti
jälle	`jälle
inimene	inimesi
kokku	kogu
ja	ja
siis	siis
tegema	`tehti
sööma	soomad
ja	ja
tantsima	tansitti
seal	sääl
jälle	`jälle
ja	ja
see	see
siis	siss
nii+sama	nii+samma
kartuli+talgud	`karduhli+`talguttega
ka	kaa
jälle	`jälle
ikka	`ikka
ikka	`ikka
tants	tansiga
ja	ja
ikka	`ikke
õlu	õllega
ahh	ahh
Saare	Saare
õlu	õlut
Saare	Saare
õlu	õlu
õlu	õlut
mis	miss
seal	sääl
olema	on
ohh	ohh
ikka	`ikka
kui	kui
aja+lugu	aea+loo
otsast	otsast
pihta	`pihta
hakkama	akkatta
oder	odrad
panema	`pandi
paar	paar
päev	`pääva
leotama	leottatti
oder	odrad
vesi	vee
sees	sees
ära	ära
ja	ja
siis	siis
panema	`pandi
nemad	nad
nii	nii
üks	ühe
suur	suure
nõu	nõu
sisse	`sisse
kasvama	kasuma
seal	säl
nemad	nad
ajama	aasid
kõik	kõik
idu	ided
välja	`välja
oma	omale
et	et
nemad	nad
olema	olid
suur	sure
sakk	sakku
üks+teise	ühe+desega
kokku	`kokku
ajama	aeand
jääma	jäänd
siis	siis
nemad	nad
saama	sai
üles	üless
võtma	`võettud
ja	ja
peen	`peeneks
purustama	puruttattud
ning	ning
laiali	laijali
ning	ning
siis	siis
saama	sai
saama	sai
jälle	`jälle
ära	ära
kuivatama	`kuivattud
nüüd	nüid
suvi	sui
kuivatama	kuivattakse
päev	pääva
käes	käes
õu	õuwes
aga	aga
näe	näe
talv	`talve
saama	sai
tegema	`tehtud
sedasi	sedasi
et	et
siis	siis
meie	meil
olema	oli
vana	vanad
rehe+tuba	rehe+tuad
olema	olid
suitsu+maja	suitsu+maead
siis	siis
panema	`pandi
sõuke	`sõuksed
suur	suured
puu+tari	puu+tarjad
tegema	`tehti
mis	mis
üles	üless
panema	`pandi
ja	ja
siis	siss
sinna	sinna
tari	`tarjade
peale	`peale
panema	`pandi
see	need
see	need
jälle	jälle
mage	maged
hüüdma	`üittakse
mage	magedeks
see	need
siis	siss
mis	miss
mis	miss
sealt	sält
see	need
oder	odrad
minema	läksid
mage	magedeks
see	need
mage	maged
panema	pannakse
siis	siis
sinna	`sönna
kuivama	`kuima
saama	saand
nemad	nad
ära	ära
kuivama	`kuivand
seal	sääl
siis	siis
viima	`viidi
veski	`veskese
ning	ning
jahvatama	jahvattatti
ära	ära
saama	saand
veski	`veskes
ära	ära
jahvatama	jahvattud
siis	siis
panema	`pandi
panema	`pandi
hakkama	akkatti
õlu	õlut
keetma	`keetma
ajama	`aetti
suur	suured
suur	suured
katel	`katlad
vesi	vett
täis	täis
ning	ning
ajama	`aetti
kõik	kõik
see	ned
vesi	veed
keema	`keema
ning	ning
siis	siis
panema	`pandi
üks	üks
suur	suur
suur	suur
tann	tan'n
see	neid
olema	on
praegu	`paergus
iga	igas
talu	talus
neuke	`neukseid
tann	`tannisi
mina	minul
küll	küll
olema	pole
mitte	`mette
kus	kus
panema	`pandi
siis	siis
see	need
mage+jahu	mage+jahud
panema	`pandi
sinna	`sönne
sisse	`sisse
ja	ja
siis	siss
see	see
keema	keeb
vesi	vesi
kallama	kallatti
sinna	`sönna
peale	`peale
ja	ja
siis	sis
laskma	`lasti
nemad	nad
üks	üks
paar	paar
tund	`tun'di
ligunema	liguda
siis	siis
olema	oli
jälle	`jälle
seuke	seukke
üks	üks
taar	taari
tünn	tün'n
kutsuma	kutsutti
jälle	`jälle
suur	suur
puu+tünn	puu+tün'n
olema	oli
seal	sääl
panema	`pandi
siis	siis
seuke	seukke
kutsuma	`kutsutti
taar	taari
taar	taari
soova	soova
sinna	`sönna
alla	`alla
panema	`pandi
siuke	`siuksed
suur	suured
angeline	angelised
puu	puud
panema	`pandi
sinna	`sönna
põhi	põhja
peale	peale
ning	ning
sinna	`sönna
peale	peale
panema	`pandi
siis	siis
roog	rood
ja	ja
siis	siis
natuke	nattukke
õlg	`õlgi
ja	ja
siis	siis
tõstma	tõstetti
see	see
see	see
suur	sur
kalja+raba	kalja+raba
see	see
hüüdma	`üitti
siis	siis
jälle	`jälle
tünn	tünnist
see	see
tõstma	tõstetti
siis	siis
sinna	`sönna
sinna	`sönna
kalja+tõrs	kalja+`tõrde
ja	ja
siis	siis
sealt	säält
seal	sääl
olema	oli
siis	siss
seuke	seukke
suur	suur
puu	puu
puu	puu
ja	ja
auk	auk
olema	oli
sees	sehes
ja	ja
see	selle
see	sellega
siis	siss
laskma	`lasti
hakkama	`akkas
siis	siis
jooksma	`joosma
nii	nii
nii	nii
väikselt	vähikselt
laskma	`lasti
jooksma	joosta
et	et
mitte	mitte
raba	raba
sinna	`sönna
sisse	`sisse
ei	ei
minema	lähe
siis	siis
võtma	`võetti
sedasi	sedasi
hakkama	akkatti
õlu	õlut
välja	`välja
võtma	`võtma
ja	ja
siis	siis
panema	`pandi
jälle	`jälle
siis	siis
sinna	`sönna
suur	suure
tõrs	tõrre
sisse	`sisse
ja	ja
siis	siis
panema	`pandi
pärm	`pärmi
ja	ja
siis	siss
tema	ta
hakkama	`akkab
käärima	`käärima
ja	ja
siis	siiss
siis	siiss
olema	on
õlu	õlut
andma	`anttud
viis	viis
neli	neli
viis	viis
tund	`tundi
või	või
see	seda
rohkem	`rohkem
käärima	`käärind
olema	on
õlu	õlut
olema	on
siis	siis
valmis	`valmis
ja	ja
siis	siis
panema	`pandi
tema	ta
veel	veel
suur	surde
kiha	kihade
sisse	`sisse
ja	ja
sealt	säält
hakkama	akkatti
siis	siis
laskma	`laskma
aga	a
toit	`toittu
pakkuma	pakkutti
talguline	`talgulistele
mis	miss
seal	sääl
siis	siis
muu	muud
olema	oli
kartul	`karduhlid
olema	olid
keetma	keedettud
ja	ja
meie	meil
siin	sii
püüdma	`püittasse
kala	kala
kala	kala
olema	oli
siis	siis
ja	ja
ja	ja
siis	siis
liha	liha
olema	oli
keetma	keedettud
ja	ja
ja	ja
vahest	vahest
tegema	`tehti
siis	siis
kohv	kohve
ka	kaa
juba	juba
nüüd	nüid
aga	aga
vana	vanal
aeg	aeal
olema	pole
see	seda
kohv	kohvet
tundma+ki	`tunttudkid
kui	kui
mina	maa
laps	laps
alles	alles
olema	oli
aga	aga
nüüd	nüid
juba	juba
tegema	`tehti
ikka	`ikka
kohv	kohvet
keetma	keedetti
ja	ja
ja	ja
tee	teed
või	või
siuke	`siuksed
tegema	tehti
ka	kaa
ikka	`ikka
kõrva	`kõrva
aga	aga
enne	`enne
olema	oli
muud+kui	`muut+kut
kala	kala
ja	ja
kartul	`karduhlid
ja	ja
leib	leib
ja	ja
see	see
olema	oli
kõik	kõik
talgud	`talgu
toit	toit
kala	kalaga
olema	pole
muu	muud
kes+ki	kedagi
kui	kut
panema	`pandi
pada	paease
ning	ning
keetma	keedetti
valmis	`valmis
ja	ja
ehh	ehh
nüüd	nüid
saama	saab
praadima	`praettud
ning	ning
pann	panni
peal	peal
tegema	`tehtud
aga	aga
siis	siis
olema	oli
muidu	`muidu
kui	kut
keetma	keedetti
nii+sama	`nii+sama
vana	vanal
aeg	aeal
olema	pole
mis+ki	midagi
olema	pole
pann	`panni
olema+ki	`olndgid
maja	maeas
inimene	inimesed
ep	p
teadma+ki	`teadntkid
see	sellest
vastla+komme	`vastla+`kombed
olema	olid
jälle	`jälle
siuke	`siuksed
vastla+päev	`vastla+bäe
olema	oli
siis	siis
võtma	`võetti
kätte	käde
minema	`mindi
liug	`liugu
laskma	`laskma
siis	siis
panema	`pandi
kelk	kölgud
ja	ja
regi	reed
puha	puhas
valmis	`valmis
ning	ning
hobune	obustega
