plats	`laatside
riidlema	`riidlõsid
ning	ning
kiskuma	`kjõssid
aga	a
iga	egäs
pere	peres
ju	ju
olema	põlõ
see	sedä
mitte	mtte
mina	mia
mäletama	mälettä
enam	enäm
vana	vana
olema	oli
ikka	`ikka
küll	küll
no	no
see	sedä
pere	peret
et	ett
ei	ei
teadma+ki	`tiägid
rääkima	`riäkki
vana	vana
Liia	Liija
olema	oli
vana	vana
Nõges	Nõgõsõ
isa	isä
minema	läks
Palu	Palu
elama	elämä
et	et
see	se
see	sedä
mäletama	mälettä
ka	kua
mitte	mtte
sina	sia
või	või
mäletama	mälettä
ka	kua
jah	jahh
Palu	Palus
ning	ning
ä	ä
Madli	Mad'li
poeg	poeaga
Madli	Mad'lil
olema	oli
kaks	kaks
e	e
tüdruk	tüdrikku
põlv	põlvõ
poeg	`poõga
see	selle
vähe	vähe
teine	teesegä
minema	läks
Saare+maa	Suarõ+malõ
ning	ning
minema	läks
põrsas	`põrsu
tooma	`tuõma
ning	ning
külm	külm
võtma	`võt'tis
vana	vana
paat	puadiga
seal	sial
ära	ää
aga	aga
e	e
aga	aga
Madli	Mad'li
poeg	poeg
hoidma	oidis
oma	oma
hing	enge
põrsas	põrsaste
vahel	vahõl
elu	elu
sees	siss
Saare+maa	Suarõ+mal
ütlema	`üeldi
olema	oln
Palu	Palust
minema	läks
oma	oma
poeg	poeaga
põrsas	`põrsu
tooma	`tuõma
vana	vana
Liia	Liija
minema	läks
ju	ju
Palu	Palu
elama	elämä
Nõgese	Nõgõsõlt
ära	ää
saama	suas
mitte	mtte
elama	elettüd
jah	jahh
Pärdi	Pärdü
juurde	`juurõ
sinna	`sjõnna
jah	jahh
Pärdi	Pärdü
ning	ning
Jaan	Juani
juurde	`juurõ
minema	läin
kõik	kõik
Jaan	Juän
ju	ju
ka	kua
Jaan	Juän
olema	oli
ka	kua
Jaan	Juän
kõik	kõik
minema	läin
jah	jahh
kõik	kõik
siis	s
kõik	kõik
need	nied
pere	pered
kõik	kõik
need	nied
kui	ku
vana	vana
Reet	Riet
elama	eläb
oma	oma
tütar	tüdärdegä
sinna	`sinnä
pidama	`piäme
meie	meije
kõik	kõik
minema	minemä
no	no
Rilka	`Rilkkal
veel	viel
ning	ning
see	sie
poeg	poeg
ka	kua
see	sie
ütlema	`ütleb
ära	ää
e	e
Rilka	`Rilkka
poeg	poeg
mis	miss
nüüd	nüüd
vangis	`vangis
olema	ond
meie	meil
üks	üks
laut	laut
seal	siäl
ning	ning
Juhan	Juhani
paat	puadi
aer	aõrud
sein	seenä
peal	piäl
ning	ning
need	nied
viima	`viedi
sealt	siält
ka	kua
ära	ää
ning	ning
meie	meije
teadma+ki	`tiägi
ise	ise
Marta	Martta
olema	oli
Sääre+küla	Siäre+gülast
kuulma	kuuln
et	et
hakkama	akkatti
paat	puadi
aer	`aõra
otsima	`ot'sma
olema+ki	põlõgid
ning	ning
Rilka	`Rilkka
viima	viin
e	e
laev	`laeva
paat	`puatti
mis	miss
käima	käüväd
nüüd	nüüd
mis	miss
paat	puadidõga
nemad	nad
hüüdma	üüdässe
nüüd	nüüd
mis	miss
nüüd	nüüd
kakuam	kakkuamõ
paat	`puatti
jah	jahh
õhtu	`õhta
ägama	ägän
kui	ku
mägi	`mäele
tulema	tuln
et	ett
olema	põlõ
aer	`aõra
mitte	mtte
või	või
üks	`ühte
puudu	`puudu
e	e
Rilka	`Rilkka
poeg	poeg
öösel	`üese
hommik	umikku
kõik	kõik
paat	puadi
juures	juurõs
muretsema	murõtsõn
kõik	kõik
olema	oli
teadma	tiädä
püss	püss
olema	oli
seljas	`selgäs
ja	ja
e	e
ja	ja
ikka	`ikka
käima	käüs
siit	siit
meri	mere
äär	iärt
kaudu	kaudu
meie	mede
tuba	tua
tagant	tagant
läbi	läbi
meie	meije
siis	s
teadma	tiäme
mis	miss
tema	tä
tegema	tegi
kurat	kuradi
karmantsik	`karmantsik
varas	`vargad
elu	elu
aeg	aa
olema	oln
mitte	mtte
olema	põlõ
inimene	inimesed
Jüri	Juri
minema	läks
minema	läen
Pitkana	Pitkänäle
hobune	obosõga
ning	ning
tulema	tuln
Lülle	Lülle
mägi	`mäele
Lülle	Lülle
mägi	mäel
kus	kuss
e	e
värav	värä
olema	onn
kus	kuss
see	sedä
Lülle	Lülle
mägi	mäge
rääkima	riägitti
seal	siäl
värav	väräväl
tulema	tuln
ning	ning
siis	siis
naine	naõstõl
olema	oln
rätik	rättikkuttõga
pea	piäd
seda+viisi	sedä+viisi
siduma	`siottud
sõlm	`sõlmõd
taha	taha
ning	ning
tulema	tuln
ning	ning
rabama	raban
üks	ühes
koht	`kohtas
kivi	kivi
peal	piäl
suur	suur
kivi	kivi
seal	siäl
värav	väräväl
olema	on
ja	ja
see	selle
mina	mä
teadma	tiä
küll	küll
Lülle	Lülle
värav	väräväl
seal	siäl
kivi	kivi
pea	piä
ääres	`iäres
ning	ning
e	e
vili	vilja
vihk	`vihka
mees	mies
korra	korra
laev	laõva
peal	piäl
olema	oli
ka	kua
ning	ning
laev	laõ
siis	siis
käima	käösime
mees	mihegä
Pitka	Pit'ka
Pärt	Pärdügä
Mihkel	`Mihkel
olema	olid
laev	laõva
peal	piäl
siis	siis
ning	ning
laev	laõ
olema	oli
siis	siis
vana	vana
Mari	Mari
mis	miss
e	e
ära	ää
surema	suri
mina	mio
oma	oma
õde	õdõ
ning	ning
e	e
ning	ning
mees	mies
minema	läksime
kolmekesi	kolmegõstõ
Pärt	Pär't
aitama	`aittas
siin	sii
sild	sjõlla
suu	suus
laev	laõva
täis	täüs
panema	`panna
kivi	kive
minema	läksime
kolmekesi	`kolmgõst
Pärnu	`Pärnü
aga	a
nõnda	nda
palju	palju
ka	kua
et	et
ikka	`ikka
roolima	`rooli
meie	meije
naine	naõsõd
roolima	`roolsime
ning	ning
Mihkel	`Mihkel
olema	oli
puri	`purjuttõ
jaoks	jaos
käima	käösime
reis	reesi
ära	ää
ka	kua
korra	korra
kolmekesi	kolmõngõst
aga	aga
nüüd	nüüd
käima	käösi
raha	raha
tooma	`tuõmas
iga	egä
kolm	kolmõ
kuu	kuu
pärast	päräst
käima	käösi
raha	raha
ära	ää
linn	ljõnnast
tooma	`tuõmas
abi+raha	abi+raha
kolm	kolmõ
kuu	kuu
pärast	päräst
andma	`an'tti
iga	egä
kord	kord
esimene	esimesel
siis	siis
käima	käösi
ning	ning
siis	siis
olema	oli
ka	kua
üks+kord	ühe+gorra
nõnda	nda
liguma	ligun
et	ett
see	sie
raamat	raamat
mis	miss
mis	miss
see	sie
raamat	raamat
olema	onn
mis	miss
kiri	kirjad
olema	ond
see	sie
liguma	ligus
nõnda	nda
ära	ää
ning	ning
siis	siis
ütlema	`üöldi
siis	siis
ütlema	`üöldi
seal	siäl
maa+kond	maa+`gondas
ka	kua
et	ett
et	et
raamat	raamat
siuke	`siokkõ
olema	ond
et	ett
kuidas	kuidas
hoidma	`oittud
olema	onn
mina	mia
ütlema	`ütlesi
mina	miol
olema	põlõ
tema	tedä
kuidagi	kuedagi
hoidma	oõda
nõnda	nda
torm	torm
olema	oli
ning	ning
leotama	`liottas
ära	ää
ning	ning
minema	läks
siuke	`sioksõs
must	mustas
ning	ning
siis	siis
õpetama	õppõttatti
mihuke	`miokkõ
plekk	lekki
kast	kas't
käskima	`käs'ti
tegema	tehä
siuke	`siokkõ
karp	kar'p
nelja+kandiline	neljä+kan'diline
ning	ning
siis	siis
tegema	tegi
ning	ning
praegu	`praõgu
need	ned
raamat	raamattud
kõik	kõik
sees	siss
kirst	kjõrstu
kapp	`kappis
aga	aga
see	sie
olema	oli
see	sie
olema	oli
Eesti	esti
aeg	aeg
ja	jaa
nüüd	nüüd
tooma	tuõb
post	post
iga	egä
kord	kord
koju	koo
raha	raha
kätte	käde
nüüd	nüüd
olema	põlõ
mitte	`mitte
käima	käün
kusagil	kusagil
küll	küll
üsna	üsä
hirm	`jõrmu
täis	täüs
nõnda	nda
häda	ädäs
müristamine	müristämine
olema	ond
peale	`piäle
tulema	tuln
ning	ning
mees	mehed
aitama	`aittass
ka	kua
mina	miu
vend	vend
ära	ää
kui	kui
vend	vennaga
käima	käösi
e	e
Pärnu	`Pärnüs
ennäe	`ennää
kahekesi	kahõngõst
olema	olimõ
naiste+rahvas	naõstõ+rahvad
olema	olimõ
mõlemad	mõlõmad
ka	kua
Loti	Lot'tiga
ning	ning
tulema	tuli
suur	suur
müristamine	müristämise
hoop	uõp
peale	`piäle
ning	ning
siis	siis
aitama	`aettad
mees	mihed
olema	olid
häda	ädäs
ning	ning
siis	siis
andma	`an'tti
pael	paõlad
kätte	käde
ning	ning
vedama	`väetti
laev	`laõva
ning	ning
siis	siis
üks	üks
käima	käüs
mina	miolõ
müksama	müksämäs
katsuma	katsu
eemale	`iemäle
hoidma	oõda
see	sie
tõmbama	`tõmmab
sina	sio
pael	paõlaga
sisse	`sisse
kui	kui
e	e
kui	kui
e	e
tema	tä
ei	i
saama	sua
laev	`laõva
aga	aga
saama	said
laev	`laõva
ning	ning
aitama	`aittatti
mägi	`mäele
ning	ning
aitama	`aittatti
Liugu	`Liugu
mägi	`mäele
vend	vend
aitama	`aittas
laev	`laõva
sealt	siält
siis	siis
kui	kui
hoop	uõp
ära	ää
minema	läks
müristamine	müristämise
hoop	uõp
ning	ning
siis	siis
tulema	tulimõ
seni+kui	sõni+gui
Silla+auk	`Sjõlla+`aukku
ning	ning
olema	oli
ilm	jõlm
tasane	tasanõ
ning	ning
mina	mia
mõtlema	`mõtlõ
mina	mia
jääma	jää
mina	mia
jääma	jää
laev	`laõva
mina	mia
küll	küll
tulema	tulõ
mitte	`mitte
pime	pimedäs
ära	ää
öösel	`üese
nõnda	nda
torm	torm
ja	jaa
üks	üks
hakkama	`akkas
ütlema	`ütlemä
muidu	muõdu
sina	sa
kartma	kardad
kuidas	kudass
sina	sa
tohtima	tohõd
siia	`siijä
jääma	`jäädä
tulema	tuli
koju	koo
ning	ning
müristamine	müristämise
hoop	uõp
tulema	tuli
saama	sai
parajati	parajattõ
kamber	`kambri
siuke	`siokkõ
müristamine	müristämise
hoop	uõp
ning	ning
laev	laõ
olema	oli
savi	sauwõ
peal	piäl
rand	`randõs
hommik	umikku
jah	jahh
ning	ning
üks+kord	ühe+gorra
jälle	`jälle
tulema	tuli
seda+viisi	sedä+visi
linn	ljõnnast
et	ett
e	e
e	e
Sääre+küla	Siäre+gülä
alla	`alla
saama	saõmõ
ning	ning
teine	teesed
tulema	tulid
kõik	kõik
mägi	`mäele
aga	aga
mina	mia
jääma	jäi
üksi	üksi
kivi	kivi
laev	`laõva
sinna	`sjõnna
Kakra	`Kakra
ots	`otsa
laev	laõ
jääma	jäi
sinna	`sjõnna
ligi	ligi
ankur	`ankrusõ
natuke	nattukkõ
Sääre+küla	Siäre+gülä
alune	alusõ
poole	`puõlõ
Sääre+küla	Siäre+gülä
laev	laõ
olema	oli
Liiva	Liiva
Mihkel	`Mihkli
ning	ning
e	e
mina	mia
mäletama+ki	mälettägi
kes	kes
see	sie
ometi	omõttõ
teine	teene
olema	oli
kaks	kaks
tükk	`tükkü
olema	olid
ning	ning
need	nied
tulema	tulid
kõik	kõik
tulema	tulid
mägi	`määle
ning	ning
muga	muga
tulema	tulid
Kihnu	`Kihnu
paat	puadiga
ette	`ette
palju	paõlu
olema	oli
Pärnu	`Pärnüst
tulema	tuli
ju	ju
siis	siis
ai	aij
ai	ai
ning	ning
mina	mia
terve	`terve
öö	üe
üksi	üksi
laev	`laõvas
küll	küll
olema	oli
aga	aga
hirm	jõrm
aga	aga
siiski	`siiski
mina	maa
kont	kon'did
värisema	värisesid
seni+kui	seni+gu
hommik	umikkuni
kui	kui
mees	mehed
tulema	tulid
mina	mia
üksi	üksi
Silma+vahe	Silmä+vahõl
ning	ning
üksi	üksi
laev	`laõvas
aga	aga
mina	mia
ei	ei
tohtima	tohõss
see	selle
pisike	pisikkese
paat	puadiga
mägi	`mäele
tulema	`tulla
nõnda	nda
torm	torm
olema	oli
öösel	`üese
ning	ning
tulema	tulid
kõik	kõik
mägi	`mäele
aga	aga
mina	mia
jääma	jäi
üksi	üksi
laev	`laõva
süda	südäme
peal	piäl
saama	suagu
mis	mess
saama	suab
kus	kuss
olema	onn
laev	laõ
seal	siäl
olema	olõ
mina	mia
ka	kua
mina	mia
mõtlema	`mõtlõsi
siis	siis
et	ett
kõik	`kõikkõ
olema	onn
nägema	`nähtüd
aga	aga
teadma	tiä
mitte	mtte
mis	miss
veel	viel
nägema	nähä
saama	suab
ei	ei
mitte	`mitte
tühi	tühi
laev	laõ
olema	oli
tulema	`tul'di
linn	ljõnnast
kivi	kivä
tooma	tuõmast
jah	jahh
laev	laõ
olema	oli
viks	viks
hommik	umikku
tulema	tulid
vara	vara
e	e
need	nied
kaks	kaks
tükk	`tükkü
teine	teene
olema	oli
Käära	Kiärä
Mihkel	`Mihkel
teine	teene
olema	oli
vist	vist
e	e
see	sie
Vähkla	`Vähkla
Tõnis	Tõnis
tulema	tulid
hommik	umikku
viima	viidid
laev	laõ
Sääre+küla	Siäre+gülä
alla	`alla
mägi	`mäele
ning	ning
mina	mia
aitama	`aittatti
ka	kua
mägi	`mäele
kõik	kõik
mitte	`mitte
keegi	kedägi
ei	eij
olema	olõss
häda	ädä
kõik	`kõikkõ
olema	onn
nägema	`nähtüd
kus	kuss
ei	ei
mina	mia
mitte	`mitte
mina	mia
ei	ei
saama	suaks
aeg+ki	`aõgagi
mina	miol
olema	oli
nõnda	nda
pisike	pisikke
pere	pere
mina	mia
mitte	`mitte
madar	madarul
küll	küll
mina	mia
mina	mia
ostma	`os'tsi
kui	ku
tütar	tüdär
mees	mihele
minema	läks
e	e
see	selle
käest	käest
ka	kua
inimene	inimesed
küll	küll
ka	kua
teadma	tiädä
vana	vana
Pao	Pao
Reet	`Riettu
sina	sa
mäletama	mälettäd
ometi	omitte
no+jah	no+jahh
see	sie
keetma	`kiettis
madar	madarad
ning	ning
kõik	kõik
ning	ning
Juhani	Juhani
Mari	Mari
ning	ning
tema	tämä
tooma	tõi
mina	`miolõ
madar	madarad
madarane	madarasõ
kört	kördi
ka	kua
panema	pani
mina	mio
vägisi	vägisi
kuduma	kuduma
et	ett
mina	mia
oma	omalõ
elu+aeg	elu+`aõgas
see	selle
saama	sua
siis	s
see	selle
saama	suass
ka	kua
kord	`korda
selga	`selgä
mitte	mtte
mees	mies
surema	suri
ära	ää
vana	vana
Pao	Pao
Reet	Rieda
mina	mia
triibuline	riibulist
tahtma	tahas
mitte	mtte
ega	egä
punane	punast
Pao	Pao
Reet	Riõda
tundma	`tun'tsid
kõik	kõik
jah	jahh
tema	tämä
käima	käüs
ikka	`ikka
väljas	`välläs
ise	esi
mäletama	mälettäb
ikka	`ikka
käima	käüs
mais+maa	maõsõ+mal
ikka	`ikka
tema	tämä
olema	oli
ju	ju
Kihnu	`Kihnus
ka	kua
siuke	`siokkõ
ikka	`ikka
öö	üed
läbi	läbi
tukkuma	`tukkus
ühes+kohas	ühes+kohas
pere	peres
ning	ning
minema	läks
tee	tie
peale	`piäle
seal	siäl
magama	magas
ka	kua
tema	tämä
olema	oli
siuke	`siokkõ
veel	viel
oma	oma
mees	mehegä
riidlema	`riidlõsid
vahel	vahõl
küll	küll
ka	kua
et	ett
e	e
see	sedä
ju	ju
juhtuma	`juhtub
kõik	`kõikkõl
kes	kis
e	e
tema	tämä
käis	`käüsed
käristama	käristän
puruks	puruss
harv	aru
mees	mies
kes	kess
see	se
viha	vihatta
ning	ning
taplema	`taplõmatta
minema	lähäb
et	et
ikka	`ikka
olema	oli
väljas	`välles
ikka	`ikka
väljas	`välles
mitte	`mitte
kodus	kodo
ei	ei
seisma	seesäss
ai	aij
ai	aij
ai	ai
see	sedä
juhtuma	`juhtub
kõik	`kõikkõl
ikka	`ikka
hobune	obõsõga
nõnda+samuti	nda+samutte
vahel	vahõl
pragu	pagudõga
kimpus	`kjõmppus
ning	ning
kõik	`kõikki
moodi	`muõdi
pragu	paod
lööma	lõi
sisse	`sisse
meri	merele
ikka	`ikka
kimpus	`kjõmppus
kuidas	kudass
saama	sai
vahel	vahõl
minema	läks
hobune	obo
sisse	`sisse
ning	ning
kõik	`kõikkõ
olema	oli
üks+kord	ühü+gorra
minema	läks
e	e
e	e
minema	läks
seal	siäl
Sarna	`Sarna
koht	`kohtas
hobune	obo
sisse	`sisse
ning	ning
aga	aga
jalg	jalad
minema	läksid
e	e
puutuma	`puuttusid
põhi	`põhja
ning	ning
kargama	`kargas
ise	ise
välja	`vällä
jah	jahh
ja	ja
pragu	paost
minema	läks
pragu	pagu
see	sedä
saama	sua
kuidagi	kuedagi
mõni	`mõnda
vedama	`väettässe
e	e-e
teine	teese
hobune	obosõga
ning	ning
kõik	`kõikki
moodi	`muõdi
ning	ning
kõik	`kõikki
moodi	`muõdi
ikka	`ikka
saama	suajassõ
ühte+viisi	`ühte+`viisi
üle	üle
ajama	`aõttassõ
siis	siis
laud	`laudu
ning	ning
või	või
puu	puid
või	või
regi	regesi
regi	regesi
ajama	`aõttassõ
siis	siis
pragu	`paossõ
ning	ning
üle	üle
regi	ree
viima	viijässõ
siis	siis
üle	üle
siis	siis
olema	o
siis	siis
ju	ju
vaene	`vaõnõ
lugu	lugu
siis	siis
olema	põlõ
mina	mia
suur	suurõmad
käima	käün
mitte	mtte
siis	siis
mina	mia
teadma	tiä
keegi	kedägi
mina	mia
olema	olõ
meri	mere
kartja	`karttaja
mina	mia
tohtima	toehtn
siuke	`sioksõ
aeg	aeal
enam	enäm
ühti	`ühti
minema	`minnä
ei	ei
olema	põlõ
siuke	`sioksõ
aeg	`aõgas
ikka	`ikka
muutma	muudavad
üks+kord	ühe+gorra
käima	käösi
ka	kua
aga	aga
viimaks	`viimes
veel	viel
kui	kui
Künkra	`Künkrä
Mihkel	`Mihklile
naine	naõsõ
võtma	`võt'si
võtma	`võt'simõ
siin	sii
aitama	`aittasimõ
võtma	`võtta
ning	ning
kui	kui
Mari	Mari
siit	siit
ära	ää
minema	läks
ning	ning
siis	siis
olema	oli
ka	kua
käima	käösime
Suti	Sut'ti
Juku	Jukku
ning	ning
Künkra	`Künkrä
Mihkel	`Mihkel
linn	`ljõnnas
ka	kua
minema	läks
hobune	obo
jälle	`jälle
sisse	`sisse
aga	aga
ise	ise
kargama	`kargas
jälle	`jälle
välja	`vällä
üsna	üsä
sild	sjõlla
suu	suus
kui	kui
linn	`ljõnna
minema	läksime
kraam	`raami
tooma	`tuõma
ei	ei
olema	põlõ
hirm	jõrmutta
käima	`käüdüd
ühti	`ühti
küll	küll
valu	valu
nägema	`nähtüd
ka	kua
loe+vesi	loe+`viega
olema	olõ
küll	küll
kimpus	`kjõmppus
olema	oln
sild	sjõlla
suu	suust
olema	olõ
jala	jala
sisse	`sisse
tulema	tuln
kui	kui
Tahku+ranna	`Tahku+rannast
tulema	tuli
ning	ning
Sepa	Seppä
Jüri	Juri
olema	oli
vana	vana
Jüri	Juri
olema	oli
ka	kua
kahekesi	kahõngõst
siia	`siija
maa	`mualõ
lobjakas	lobjakkas
tulema	tuli
seni	sõni
kui	kui
ning	ning
savi	sauwõ
pealt	piält
seni	sõni
kui	ku
koju	koo
maja	maeassõ
ning	ning
siis	siis
kiskuma	`kjõssi
jalg	jalad
lahti	`lahti
kaks	kaks
paar	`puari
sukk	`sukkõ
olema	oli
jalas	`jalgas
ning	ning
e	e-e
ilma	jõlma
saabas	`suappõtta
sild	sjõlla
suu	suust
tulema	tuli
seni	sõni
kui	ku
savi	sauwõ
peale	piäle
seni	sõni
kui	ku
koju	koo
siia	`siija
sild	sjõlla
suu	suust
lobjakas	lobjakkas
päris	päris
suur	suur
lobjakas	lobjakkas
ning	ning
nõnda	nda
suur	suur
vesi	vesi
olema	oli
et	ett
suur	suur
vesi	vesi
nüüd	nüüd
ka	kua
suur	suur
vesi	vesi
täna	tänä
jälle	`jälle
õieti	`õitte
suur	suur
juba	juba
meie	mede
tuba	tua
taga	taga
siin	si
aga	aga
haige	`aigõks
jääma	jäess
ühti	`ühti
ei	ei
jääma	jäess
jah	jah
otse	`otsõ
tegema	tegime
soe	`suoja
vesi	vett
ning	ning
panema	pani
palav	palava
vesi	`veesse
jalg	jalad
siuke	`sioksõ
vesi	`viesse
mis	miss
paras	paras
olema	oli
ning	ning
ei	ei
jääma	jäess
haige	`aigõs
ühti	`ühti
see	sie
aitama	`aittas
jah	jahh
kui	kui
soe	`suoja
vesi	vett
tooma	teid
jah	jahh
kõik	`kõikki
moodi	`muõdi
olema	ond
küll	küll
kimpus	`kjõmppus
olema	oln
hommik	umikku
hakkama	`akkasin
mina	ma
Tahku+ranna	`Tahku+rannast
hakkama	`akkasi
tulema	tulõma
aga	aga
Sepa	Seppä
Jüri	Juri
ootama	`uõttas
mina	mjõnd
e	e
meri	mere
peal	piäl
e	e
siin	sii
pool	puõlõ
tee	tie
peal	piäl
see	selle
saama	sai
siis	siis
mehe+poeg	mihe+boea
seltsis	`seltsis
aga	aga
siis	siis
mina	mia
olema	olõks
kimpus	`kjõmppus
olema	oln
kui	kui
suur	suur
vesi	vesi
olema	oli
üksi	üksi
ei	eij
olema	olõks
tohtima	toehtn
loe+vesi	loe+`viesse
tulema	`tulla
mitte	mtte
kas	kas
olema	ond
põhi	`põhja
all	all
või	või
olema+ki	põlõgi
siis	sis
mina	ma
olema	olõks
üsna	üsä
kimpus	`kjõmppus
olema	oln
aga	aga
selle+pärast	selle+bärast
mina	mia
saama	sai
hea	eä
saama	sai
Sepa	Seppä
Jüri	Juri
veel	viel
mehe+poeg	mihe+boea
kätte	käde
seltsis	sel'sis
kõik	`kõikki
olema	on
nägema	`nähtüd
ei	ei
mina	mia
olema	põlõ
jooja	`jõuwaja
mitte	mtte
mina	mia
seal	siäl
ei	ei
olema	põlõ
ega	egä
olema	põlõ
aeg	`aõga
ka	kua
olema	oln
mitte	`mitte
ei	ei
mitte	`mitte
kusagil	kusagil
laev	`laõva
vedama	vädämäs
ega	egä
välja	`vällä
ajama	`aamas
mägi	`mäele
ega	egä
mitte	`mitte
kusagil	kusagil
siuke	`siokstõ
koht	`kohtõ
peal	päl
mina	mia
olema	põlõ
viin	viina
võtja	`võttaja
mitte	mtte
ega	egä
õlu	õllõ
tahtja	`tahtaja
ega	egä
mitte	`mitte
keegi	kedägi
siuke	`siokkõ
tema	tää
ei	i
tahtma	taha
viin	`viina
mitte	mtte
mina	miul
olema	olõss
aeg+ki	`aõgagi
mina	miu
mina	mia
olema	oli
üksi	üksi
maja	maeas
kõik	kõik
pidama	pidi
korras	`kordas
olema	olõma
olema	olõ
üksi	üksi
mitte	`mitte
üks	`ühte
olema	olõ
keegi	kedägid
mees	mies
olema	oli
majakas	maeakki
peal	piäl
nägema	näed
kaks	kaks
vana	vana
olema	olid
kodus	kodo
poeg	poead
olema	olid
pisikene	pisiksed
alles	`allõs
kui	kui
Pitkana	Pitkänä
maja	maeasi
tegema	tehti
e	e
see	sie
suur	suur
e	e
mis	mis
tema	tä
jälle	`jälle
hüüdma	`üüttässe
mis	mis
tema	tä
ikka	`ikka
ülem	ülem
e	e
olema	oli
see	sie
käima	käüs
meie	mede
küla	külä
kõik	kõik
läbi	läbi
nii	ni
Uue+toa	Uijõ+dalõ
mina	mia
ütlema	`ütlesi
et	et
meie	meil
mitte	mtte
olema	põlõ
keegi	kedägi
meie	meil
savi	sauwõ
põrand	parandad
ning	ning
kõik	kõik
meie	meil
mitte	mtte
saama	sua
tahtma	`tahtis
üür	üüri
peale	`piäle
tulema	`tulla
ja	jaa
ikka	`ikka
meie	`meile
tulema	tuli
viimaks	`viimes
kui	kui
maja	maeasi
tegema	`tehti
ikka	`ikka
tulema	tuli
meie	`meile
ning	ning
siis	siis
mina	mia
minema	läksi
kirik	kirikku
püha+päev	pühä+bä
ning	ning
mina	mia
tulema	tuli
kirik	kirikkust
ning	ning
Suti	Sut'ti
Suti	Sut'ti
Kesk+küla	Kesk+külä
Ann	Annõl
olema	oli
üks	üks
poeg	poõg
ning	ning
e	e
tahtma	tahõtti
mina	mjõnd
ka	kua
vader	vadõris
helde	`elde
jumal	jumal
mina	mia
tulema	tulõ
kirik	kirikkust
koju	koo
ning	ning
e	e
see	sie
ülem	ülem
ülem	ülemäl
olema	oli
mis	mis
sina	sä
insener	insenier
jah	jahh
insener	inseneer
ning	ning
see	selle
naine	naõnõ
ning	ning
tüdruk	tüdrik
ning	ning
laps	laps
elama	eläsid
meie	meil
ning	ning
mees	mies
käima	käüs
ka	kua
öösel	`üese
kodus	kodo
siin	sii
ning	ning
siis	siis
meie	meil
olema	oli
vana	vana
vana	vana
praegu	`praegu
rehe+ahi	rihe+ahõ
tuba	tuaas
ning	ning
siuke	`siokkõ
suur	suur
kumm	kummi
mina	mia
Mihkel	`Mihkel
ette	ede
laskma	las'kis
tegema	tehä
et	et
mina	mia
kartma	`kartsi
tuli	tuld
suur	suur
kumm	kuemm
ees	ies
ning	ning
see	selle
ajama	aan
ahi	ahju
täis	däüs
puu	puid
ning	ning
laast	`luasta
ning	ning
siis	siis
see	selle
kumm	kummi
ka	kua
siis	siis
hakkama	`akka
hakkama	`akkan
pidama	pidän
kütma	`kütmä
hakkama	`akkama
ning	ning
e	e
mees	mihe
ema	emä
olema	oli
siis	siis
kodus	kodo
ning	ning
tulema	tuli
mina	mjõnd
karima	karima
ära	ää
minema	ming
kodunt	kodond
ära	ää
tulema	tulõ
ruttu	`ruttu
koju	koo
üsna	üsä
praegu	`praõgu
meie	mede
maja	maead
põletama	põlettavad
ära	ää
et	ett
e	e
kumm	kummi
all	all
ka	kua
terve	`terven
e	e
laast	lastud
ning	ning
kolle	`koldõ
peal	piäl
mina	mia
need	nied
kiskuma	kjõsu
välja	`vällä
ning	ning
tulema	tulõ
koju	koo
ning	ning
kiskuma	kjõsu
need	nied
välja	`vällä
kolle	`koldõst
ning	ning
siis	siis
ütlema	`ütle
et	ett
enam	enäm
mitte	`mitte
sedasi	sedäsi
tuli	tuld
tegema	tegemä
hakkama	akkakka
siis	siis
ütlema	`ütlegä
ka	kua
et	et
teie	teije
ju	ju
saama	sua
muidu	muõdu
kütma	`küettüd
mitte	mtte
meie	meil
olema	oli
kaks	kaks
vana	vana
kodus	kodo
teie	tei
võima	võin
ütlema	`üeldä
ometi	omittõ
nõnda	nda
kuidas	kudas
meie	me
ahi	`ahju
kütma	küttäme
siis	siis
e	e
siis	siis
vanad	vanad
ütlema	`ütlesid
värisema	värisesid
kodus	kodo
ning	ning
siis	siis
mina	mia
saama	sai
parajasti	parajuttõ
et	et
aitama	`aittõt
hakkama	`akkasid
hani	anõ
praadima	`praadma
olema	olid
hani	anõ
ostma	ost
ning	ning
siis	siis
mina	mia
laskma	lasi
ikka	`ikka
e	e
vana	vana
papa	pappa
ahi	ahju
valmis	`valmis
kütma	`küttä
ning	ning
siis	siis
ä	ä
kütma	`kütsi
e	e
jääma	jäid
ikka	`ikka
tule+kahju	tulõ+gahju
tulema	tulõmatta
ai	aij
ai	ai
küll	küll
olema	ond
ka	kua
siuke	`siokkõ
asi	asi
hull	ull
asi	asi
sina	saa
pidama	piad
pidama	pidid
aga	aga
ees	ies
ning	ning
taga	taga
olema	olõma
tuli	tulõga
mina	mia
kartma	karda
tuli	tuld
ei	ei
mitte	`mitte
keegi	kedägid
laev	laõva
peal	piäl
tema	`tä
olema	oli
mis	mis
tema	tämä
teadma	tie
kes	kedä
kodus	kodo
käima	käüs
ka	kua
meie	mede
mina	mio
mees	mies
olema	oli
ka	kua
ennem	`ennemä
seal	siäl
peal	piäl
Enn	Ennuga
ju	ju
teenima	`tienmäs
laev	laõva
peal	piäl
ka	kua
mitu	mjõttu
kord	`korda
