ise	ise
sealt	sialt
siis	siis
need	nied
põhk	põhu
mauk	maugid
ja	ja
need	nied
kandma	`kan'tti
siis	siis
sealt	sialt
pealt	pialt
ära	ära
ja	ja
siis	siis
kühvel	kühveldega
keerama	kierat'ti
siis	siis
kõik	kõik
ringi	`ringi
see	sie
vili	vil'i
mis	miss
sinna	sinn
alla	`alla
jääma	jäi
ajama	`aet'ti
jälle	jällä
uuesti	uuwest
hobune	obused
peale	`piale
siis	siis
kui	kui
korjama	`kor'jas
korjuma	`kor'jus
jälle	jällä
hobune	obuste
jalg	`jalgade
alt	alt
põhk	`põhku
sinna	sinna
peale	`piale
siis	siis
see	selle
korjama	`kor'jasime
nii+samuti	nii+sama
jälle	jällä
ära	ära
ja	ja
seda+moodi	seda+`muodi
siis	siis
olema	õl'i
nii	nii
kaua	kavva
kui	kui
olema	õl'i
kõik	kõik
juba	juba
need	nied
põhk	põhud
kõik	kõik
jo	juo
ära	ära
korjama	kor'jattud
siis	siis
reha	reha
selg	`sel'gadega
lükkama	`lükkasime
siis	siis
see	seda
nukk	`nukka
hunnik	un'nikkusse
siis	siis
see	selle
jaoks	jaust
olema	õl'id
sari	sarjad
jälle	jällä
kaks	kahest
sari	sarjast
läbi	läbi
esiteks	`estest
olema	õl'i
ikka	ikke
päris	päris
sõre	sõre
ikka	`ikke
niskene	`neskesed
suur	suured
auk	augud
kohe	kõhe
sees	sies
toomingas	tuomikka
puu	puittest
olema	õl'i
põhi	põhi
all	all
see	sellega
siis	siis
ajama	aeasime
esiteks	`estest
läbi	läbi
värav	värava
peal	pial
kus	koss
ka	koa
tuul	tuul
puhuma	`puhkus
tuul	tuul
puhuma	`puhkus
siis	siis
praht	prahi
välja	`väl'ja
ja	ja
vili	vil'i
jääma	jäi
siis	siis
sinna	`sinna
siis	siis
olema	õl'i
teine	tõine
teine	tõist
kord	`kõrda
ajama	aeasime
läbi	läbi
jälle	jällä
siis	siis
kui	kui
jälle	jällä
olema	õl'i
tihke	`tihkem
sari	sari
siis	siis
tulema	tul'i
jälle	jällä
juba	juba
puhas	puhas
vili	vil'i
siis	sis
tulema	tul'i
puhas	puhas
vili	vil'i
ja	ja
see	seda
siis	siis
mõõtma	mõõd'ime
vakk	`vakkadesse
ja	ja
panema	pan'ime
ait	`aitta
nii+moodi	nii+mood'i
siis	siis
olema	õl'i
see	selle
rehi	rehe
aga	aga
rukis	`rukkid
siis	siis
olema	õl'id
seda+moodi	seda+`muodi
rukis	`rukkistest
tulema	tul'i
jo	juo
pikk	pikk
rukis	`rukki
rukis	`rukkid
panema	pan'ime
kõik	kõik
vihk	`vihkudesse
püsti	`püs'ti
sinna	`sinna
pars	partte
peale	`piale
ja	ja
siis	siis
laskma	las'ime
jah	jahh
ja	jaa
ja	ja
siis	siis
jälle	jällä
kütma	küt'time
nii	nii
kaua	kavva
kui	kui
olema	õl'i
jälle	jällä
juba	juba
jälle	jällä
vili	vil'i
kuiv	kuiv
ja	ja
ja	ja
siis	siis
olema	õl'ivad
niskene	`neskesed
niskene	`neskesed
laud	lauwad
neli	nel'i
jalg	`jalga
all	all
ja	ja
niske	`nesked
madal	madalad
laud	lauwad
mis	miss
tooma	tõime
siis	siis
sinna	`sinna
rehe+tuba	rehe+`tuppa
siis	siis
võtma	võt'time
see	selle
vihk	vihu
tüvik	tüvikkust
kinni	`kin'ni
siis	siis
summima	`summisime
seda+viisi	seda+vis'i
mööda	müda
see	seda
laud	`lauda
nõnda	nõnna
et	t
tera	terad
kargama	`kargasivad
välja	`väl'ja
jah	jahh
ja	ja
siis	siis
siis	siis
viskama	visat'ti
ja	ja
ega	ega
tema	ta
siis	siis
viimane	viimasen'i
need	nied
tera	terad
kõik	kõik
välja	`väl'ja
ei	ei
tulema	tuld
seda+moodi	seda+`muodi
ja	ja
see	seda
ütlema	`üel'di
siin	siin
rabamine	rabamine
rukis	`rukkid
rabama	rabat'ti
noh	nohh
kus	koss
olema	õl'i
mees	mehi
eks	eks
siis	siis
mees	mehed
aga	aga
aga	aga
ja	ja
ja	ja
naine	naised
olema	õl'ivad
reial	reijal
mees	mehed
rabama	rabas'ivad
jälle	jällä
see	selle
vihk	vihu
ära	ära
ja	ja
viskama	`viskas'ivad
uks	uksest
sinna	`sinna
rehi	rehe
alla	`alla
ja	ja
naine	naised
olema	õl'ime
jälle	jällä
siis	siis
kõik	`kõikke
tegema	tegime
side	sidemed
lahti	`lahti
ja	ja
tallamine	`tallamine
ja	ja
see	sie
saama	sai
jo	jo
rääkima	räägittud
aga	aga
rukis	`rukki
rukis	`rukkid
siis	siis
jälle	jällä
seal	sial
pars	partte
peal	pial
kuivatama	kuivettet'ti
ära	ära
ja	ja
ja	jaa
siis	siis
jälle	jällä
mees	mehed
tuba	tuas
rabama	rabasivad
siis	sis
noh	nohh
mina	maa
rääkima	räägin
seda+moodi	seda+moodi
nagu	nagu
see	sell
aeg	aeal
ütlema	üttel'di
jah	jahh
rukis	`rukkid
rabama	rabat'ti
ja	ja
siis	siis
siis	siis
viskama	visat'ti
jälle	jällä
sealt	sialt
rehe+tuba	rehe+dua
uks	uksest
uksik	uksik
ütlema	`üel'di
veel	viel
uksik	uksikkust
viskama	visat'ti
nemad	nad
rehi	reije
alla	`alla
ja	ja
siis	siis
meie	meije
jälle	jällä
naine	naised
võtma	võt'time
jälle	jällä
vastu	`vasta
tegema	tegime
side	sidemed
katki	`kat'ki
ja	ja
lahutama	lahuttasime
see	sedä
siis	sis
laiali	laijali
nõnda	nõnna
et	et
ütlema	`üel'di
et	t
lade	lademed
siis	siis
panema	pan'ime
need	nied
jälle	jällä
latv	ladvad
vastakuti	vastakkutte
ja	ja
ja	ja
siis	siis
olema	õl'ivad
niskene	`neskesed
pikk	pikkad
kepp	keppid
ja	ja
siis	siis
need	neije
kepp	`keppide
ots	õtsas
olema	õl'id
puu	puust
tegema	tehtud
niskene	`neskesed
niskene	`neskesed
nui	nuijad
nöör	nüöriga
seal	sial
siis	siis
seda+viisi	seda+viis'i
siis	siis
taguma	tagusime
kaks	kaks
tükk	`tükki
kõrvuti	kõru
ja	ja
nii	nii
toredasti	toredasti
olema	õl'i
see	sie
seda+moodi	seda+`muodi
teine	tõine
lööma	lõi
sedasi	sedäsi
sedasi	sedäsi
siis	siis
kui	kui
kuuluma	`kuulus
edemalt	edemält
vata	vatta
muidu	muidu
kui	kui
üks	üks
lööma	lüeb
üks	`ühte
no	no
siis	siis
ei	eij
olema	õld
ilus	ilus
aga	aga
vata	vatta
siis	siis
olema	õl'i
ilus	ilus
kui	kui
kord	kõrd
olema	õl'i
teine	tõine
lööma	lõi
teine	tõist
kord	`kõrda
seda+moodi	sedä+`muodi
summ	summ
summ	summ
summ	summ
summ	summ
jah	jahh
ja	ja
siis	siis
viskama	`viskasime
jälle	jällä
koot	kuodid
säuhti	`säuhti
käest	kääst
ära	ära
ja	ja
ja	jaa
siis	siis
keerama	`kierasime
teine	tõise
pool	puole
ring	`ringi
süli	süülega
siis	siis
hakkama	`akkasime
jälle	jällä
seda+viisi	seda+vis'i
peksma	`peksma
jälle	jällä
kaks	kaks
tükk	`tükki
olema	õl'i
paar	`paaris
siis	siis
seal	sial
lade	lademe
peal	piäl
kus	koss
seda+viisi	sedä+vis'i
peksma	peksettud
saama	sai
no	no
siis	siis
jälle	jällä
see	sie
ei	eij
olema	õld
siis	sis
suur	suur
no	no
siis	siis
raputama	rapputtasime
kõik	kõik
need	nied
tera	terad
välja	`väl'ja
ja	ja
ja	ja
pikk	pikkad
jälle	jällä
need	nied
vars	varred
ja	ja
õlg	õled
mis	miss
järele	järäle
jääma	jäid
need	nied
siis	siss
siduma	sidusime
jälle	jällä
suur	`suurde
kubu	kubudesse
ja	jaa
siis	siis
need	nied
panema	`pan'di
jälle	jällä
lakk	`lakkadesse
no	noo
jälle	jällä
keerama	`kierasime
niskene	`neskesed
side	sidemed
ja	ja
ja	ja
siis	siis
panema	pan'ime
õlg	õled
sinna	`sinna
peale	`piale
ja	ja
siduma	sidusime
siis	siis
sedasi	sedasi
kinni	`kin'ni
ja	ja
sedasi	sedasi
siis	siis
kinni	`kin'ni
siduma	`siuttud
ja	ja
siis	sis
see	sie
olema	õl'i
sedasi	sedasi
püsti	`püs'ti
ja	ja
siis	siis
peerg	peeru
ots	õts
panema	`pan'di
sinna	`sinna
vahele	vahele
ja	ja
siis	sis
seda+viisi	seda+viis'i
olema	õl'i
siis	siis
tulema	tul'i
mis	midä
noh	nohh
kõik	`kõikki
töö	`tüösid
tegema	`tehti
siin	siin
Avi+nurme	Avi+nurmes
tegema	`tehti
ju	juo
need	neid
puu+riist	puu+`riistu
ja	ja
ja	ja
naine	naised
kraasima	`kraasisid
vill	`villu
ja	ja
ketrama	`ketrasid
ja	ja
tegema	`tehti
ju	juo
kangas	`kangaid
ja	ja
kus	koss
see	se
tegema	tegime
jo	juo
pikk	pikkad
kangas	`kangad
kõik	kõik
ega	ega
siis	sis
jälle	jällä
ega	ega
siis	sis
vill	villa
vabrik	vaabrikkud
ei	eij
olema	old
lammas	`lambad
niitma	niidime
ja	ja
käsitsi	käs'itsi
sedasi	sedasi
kraas	`kraasidega
kõik	kõik
ja	ja
siis	siis
jälle	jällä
siis	siis
olema	õl'i
nii+sugune	neesukkene
plaan	plaan'
et	ett
et	et
kes	kellel
olema	õl'i
tarvis	`tar'vis
jälle	jällä
siis	siss
noh	nohh
mina	ma
rääkima	räägin
sedasi	sedäsi
nagu	nagu
see	sell
aeg	aal
ütlema	`üel'di
siis	siis
see	seda
kangas	kangast
ütlema	`üel'di
vatal	vattal
kes	kess
hakkama	akkas
vatal	vattalt
tegema	tegema
siis	siis
siis	siis
minema	läksivad
küla	külä
naine	naised
kõik	kõik
oma	õma
kraas	`kraasidega
kokku	`kokku
siis	siis
ütlema	`üel'di
talgud	`talgud
tegema	`tehti
talgud	`talgud
ja	ja
siis	siis
sedasi	sedäsi
kraasima	`kraasisime
siis	sis
kõik	kõik
jälle	jällä
need	neije
talgud	`talguttega
ja	ja
ketrama	`ketrasime
ja	ja
ja	ja
siis	siis
kuduma	kudusime
tegema	tegime
tegema	`tehti
ju	juo
pikk	pikkad
kangas	`kangad
noh	nohh
vatal	`vatlad
ütlema	`üel'di
siis	siis
jälle	jällä
käima	`käidi
vanutama	vanuttamas
siis	siis
need	nied
siis	sis
need	nied
vanutamine	vanuttamise
jaoks	jaust
niskene	`neskesed
veski	`ves'kid
olema	õl'ivad
niskene	`neskesed
ratas	`rattad
kus	koss
siis	siis
vanutama	vanuttet'ti
ära	ära
siis	sis
see	se
riie	riije
ja	ja
ja	ja
siis	siis
siis	siis
jälle	jällä
ajama	aeasime
jälle	jällä
see	selle
üks	ühe
nisuke	`neskese
puu	puu
kaigas	`kaikka
ümber	`ümber
kõvasti	kõvasti
see	selle
riie	`riide
tegema	tegime
niiske	`niiskest
märg	märjäst
ja	ja
siis	siis
ajama	aeasime
kõva	kõvast
üks	ühe
puu	puu
ümber	`ümber
see	selle
ja	ja
siis	siis
kui	kui
jälle	jällä
leib	leevad
ahi	ahjust
välja	`väl'ja
võtma	võt'time
siis	siis
torkama	`torkkasime
see	selle
riie	riidi
panema	pan'ime
üks	ühe
vana	vanema
riie	`riide
ümber	`ümber
torkama	`torkkasime
kuum	`kuuma
ahi	`ahju
siis	siis
seal	säl
ahi	ahjus
kuivama	`kuivis
ära	ära
kui	kui
lahti	`lahti
võtma	võt'time
siis	siis
siis	siis
olema	õl'i
sirge	`sirge
ja	ja
siis	sis
olema	õl'i
ilus	ilus
siis	siis
see	sellest
tegema	`tehti
mees	mestele
siis	sis
riie	`riided
selga	`sel'ga
ja	ja
palitu	pal'ittud
jah	jahh
see	seda
ütlema	`üel'di
vatal	vattal
jah	jahh
ja	ja
siis	sis
mh	mhh
no	no
talgud	`talgustega
siis	siis
jälle	jällä
kraasima	`kraasisime
vill	villad
ja	ja
tegema	tegime
lõng	lõnga
siis	siis
lõng	lõngast
siis	siis
kuduma	kudusime
siis	siis
jälle	jällä
vatal	`vatla
ja	ja
mina	mina
mäletama	mälettan
see	seda
ka	koa
veel	viel
kui	kui
jälle	jällä
kui	kui
jälle	jällä
naine	naistel
olema	õl'ivad
jälle	jällä
lamba+nahk	`lamba+`nahkadest
valge	`valged
hele+valge	ele+`valged
kasukas	kasukkad
mina	minu
ema	emal
olema	õl'i
mina	maa
mina	mina
see	seda
veel	viel
mäletama	mälettan
kui	kui
mina	minu
ema	emal
olema	õl'i
ema	ema
mehele+minek	mehele+menekku
aeg	aeg
veel	viel
siis	siis
jälle	jällä
siis	sis
ikka	ikke
rätsep	rätsep
ikka	ikke
õmblema	`õmbles
ja	ja
siis	siis
olema	õl'ivad
nemad	nad
kangesti	`kangesti
ümber	`ümber
keha	keha
veel	vel
ja	ja
alt	alt
olema	õl'id
taha	taha
tõmbama	tõmmattud
nagu	nagu
krookis	`kruokkes
veel	vel
ja	ja
ja	ja
siis	siis
jälle	jällä
hele+punane	ele+punane
niske	`neske
niske	`neske
krenguline	krenguline
pael	pael
olema	õl'i
siis	siis
see	seda
pael	`paela
olema	õl'i
ajama	`aettud
siis	siis
see	selle
valge	`valge
nahk	naha
peale	`piale
mina	ma
see	seda
mäletama	mälettan
kõik	kõik
veel	viel
jälle	jällä
et	et
mina	minu
ema	ema
see	sellega
siis	siis
käima	käis
jah	jahh
ja	ja
see	sie
see	sie
olema	õl'i
siis	siis
üks	üks
üks	üks
niske	neske
tore	tore
riie	riije
siis	siis
vata	vatta
mina	minu
ema	ema
olema	õl'i
mõis	`mõisa
kubjas	kubja
tütar	tüttar
noh	nohh
tema	ta
olema	õl'i
siis	siis
natuke	nattukkene
nagu	nagu
teine	teistest
tore	toredamb
ja	ja
jälle	jällä
mina	minu
isa	isa
jälle	jällä
kes	kellele
tema	ta
mees	mehele
minema	läks
see	sie
olema	õl'i
jälle	jälle
siis	siis
nagu	nagu
see	selle
noh	nohh
nagu	nagu
mina	ma
rääkima	`rääkkisin
mõis	`mõisa
see	sie
viin	viina
keetja	`kiet'ja
noh	nohh
nemad	nämäd
olema	õl'id
siis	siis
niske	`niskesed
nagu	nagu
tore	toredamad
natuke	nattukkese
teine	`tes'te
hulk	ulgast
no	no
ema	emal
pea	pias
olema	õl'i
siis	siis
jälle	jällä
nii+sugune	neesukkene
see	se
olema	õl'i
nisukene	nesukkene
vot	vott
mina	ma
see	seda
ei	ei
mäletama	mäletta
mis	miss
asi	as'jast
tema	täma
olema	õl'i
ikka	ikke
nisuke	nesukke
kerge	`kerge
niske	`neske
nisuke	nesukke
müts	müt's
olema	õl'i
seda+viisi	seda+viis'i
siis	siis
valge	`valge
pits	pit's
olema	õl'i
veel	veel
siis	sis
see	selle
see	selle
müts	müt'si
serv	servas
siis	siis
niskene	`neskesed
olema	õl'id
siis	sis
ikka	ikke
nagu	nagu
siis	siis
kui	kui
mees	mehele
minema	läksivad
aga	aga
harilikult	arilikkult
olema	õl'i
siis	siis
hele+punane	ele+punane
rätt	rät't
hele+punane	ele+punane
rätt	rät't
sedasi	sedasi
mis	miss
siduma	`siuttud
siis	sis
tagant	tagast
ja	ja
siis	sis
sõlm	sõlmed
olema	õl'ivad
siis	sis
siin	siin
üleval	ülevel
siis	sis
see	sie
olema	õl'i
siis	siis
siis	siis
ikka	ikke
nii	nii
harilik	arilik
aga	aga
et	t
siis	sis
nõnda	nõnna
nagu	nagu
pulm	pulma
aeg	aeg
ja	ja
kes	kess
mees	mehele
minema	läksiväd
ja	ja
ja	ja
olema	õl'id
nagu	nagu
tore	toredamad
olema	õl'ivad
siis	siis
olema	õl'ivad
niske	neskesed
kõrge	`kõrged
müts	müt'sid
no	nuo
ikka	ikke
kui	kui
kirik	kerikku
minema	läksid
siis	siis
olema	õl'i
see	sie
punane	punane
rätt	rät't
olema	õl'i
siis	siis
seda+viisi	sedä+viis'i
ja	ja
nüüd	nüd
ümber	`ümber
pea	piä
ja	ja
siis	sis
pealmine	`piälmine
rätt	rät't
olema	õl'i
siis	siis
seda+moodi	sedä+`muodi
pealmine	`piälmine
rätt	rät't
olema	õl'i
oma	õma
kuduma	kuduttud
linane	linasest
riie	`riidest
jah	jahh
niske	neske
kolm+nurkne	kolme+nurgeline
lõikama	leigattud
siis	siis
rätt	rät't
panema	`pan'di
siis	sis
seda+viisi	sedä+viis'i
nõnda	nõnna
et	t
siis	siis
see	sie
punane	punane
paistma	`paistus
siit	siit
siis	siis
seda+viisi	sedä+vis'i
olema	õl'id
kõik	kõik
Eesti	ees'ti
Eesti	es'ti
naine	naised
kõik	kõik
kui	kui
minema	läksid
kirik	kerikku
siis	siis
see	sie
rätt	rät't
tõstma	tõstet'ti
veel	vel
seda+viisi	seda+vis'i
kõrgele	`kõrgele
kohe	kõhe
ja	ja
siis	siis
siis	sis
see	sie
punane	punane
rätt	rät't
olema	õl'i
ümber	`ümber
pea	piä
siin	siin
all	all
siis	sis
see	sie
punane	punane
paistma	`paistus
aga	aga
siis	siis
kui	kui
mina	mina
mees	mehele
minema	läksin
siis	siis
olema	õl'i
juba	juba
siis	sis
olema	õl'ivad
ütlema	`üel'di
tanu	tanud
siis	siis
need	nied
olema	õl'ivad
niske	neskesed
suur	suured
ja	ja
roos	ruos'id
kõik	kõik
olema	õl'ivad
siis	siis
seal	sial
küljes	kül'jes
ja	ja
see	sie
panema	`pan'di
siis	sis
mina	minule
pähe	pähä
jah	jahh
pulm	pulma
aeg	aeg
jah	jahh
noh	nohh
pulmad	pulmad
pidama	`peet'ti
mis	mis
nüüd	nüd
siis	siis
olema	õl'i
mina	ma
ei	i
teadma	tia
kas	kass
ikka	ikke
kaua	kauwa
pidama	`peet'ti
pulm	`pulma
nädal	nädala
päev	päävad
ikka	ikke
sedasi	sedasi
pidama	`pietti
jälle	jällä
no	no
meie	meil
olema	õl'i
siis	siis
söök	söögist
olema	õl'i
õlu	õlut
ikka	ikke
tegema	`tehti
siis	siis
olema	õl'id
ju	juo
ikka	ikke
teist+moodi	tõist+`muodi
pulmad	pulmad
kui	kui
mina	mina
siia	siija
tulema	tul'in
aga	aga
rahvas	rahvast
ajama	`aet'ti
palju	pael'u
kokku	`kokku
meie	meil
olema	õl'i
sugulane	sugulasi
palju	pailu
ja	ja
siis	siis
tulema	tul'ime
ikka	ikka
hobune	obustega
siia	`siija
ja	ja
siis	siis
noh	nohh
püha+päev	püha+ba
hommikul	ommikku
jälle	jällä
tulema	tul'i
siit	siit
peig+mees	`peig+mes
oma	oma
pulm	pulmaga
siis	siis
pruut	pruudi
kodu	kodu
sinna	sinna
mina	minu
kodu	kodu
ja	jaa
meie	meije
käima	käisime
enne	`enne
ju	juo
kirik	kirikkus
laulatama	laulattamas
vata	vatta
meie	meil
Torma	`Torma
olema	on
siit	siit
kaks+kümmend+kaks	kaks+gümmend+kaks
kilo+meeter	kilu+`meetrit
ja	ja
siis	siis
siit	siit
siit	siit
talu	talust
nagu	nagu
nüüd	nüd
peig+mees	`peig+mel
sinna	`sinna
Lepik+saare	Leppik+saare
tulema	`tulla
olema	on
jälle	jällä
kaheksa	kaheksa
kilo+meeter	kilu+`meetrit
arvama	`arvasid
et	et
vata	vatta
hobune	obused
ei	ei
jõudma	jõuwa
see	seda
läbi	läbi
tegema	tiha
parajasti	para`eas'ti
jaani+päev	jaan'i+pääva
aeg	aeg
parajasti	para`eas'ti
vana	vana
nagu	nagu
vana	vana
kalender	kaalendri
vana	vana
jaani+päev	jaani+bääv
olema	õl'id
mina	minu
pulmad	pulmad
et	et
jälle	jällä
kole	kole
kuum	kuum
aeg	aeg
olema	onn
ja	ja
et	t
hobune	obused
ei	ei
jõudma	jõuwa
läbi	läbi
tegema	tiha
tulema	tulevad
kaheksa	kaheksa
kilo+meeter	kilu+`meetrit
nüüd	nüüd
nagu	nagu
sinna	`sinna
mina	minu
võtma	`võtma
ja	ja
siis	siis
kaks+kümmend+kaks	kaks+gümmend+kaks
kilo+meeter	kilu+`meetrit
jälle	jälle
kirik	kirikkusse
sõitma	`sõitta
siis	siis
meie	mee
käima	käisime
teine	tõine
püha	püha
nädal	nädal
enne	`enne
käima	käisime
siis	siis
kirik	kirikkus
laulatama	laulattamas
siis	siis
laulatama	laulattama
minek	minekkut
ei	eij
olema	õld
püha+päeval	püha+ba
tulema	tul'ivad
sinna	`sinna
ja	ja
siis	siis
noh	nohh
siis	siis
püha+päev	püha+ba
õhtul	`õhta
siis	siis
ehitama	ehittat'ti
noorik	noorik
ära	ära
ja	ja
ja	ja
siis	siis
olema	`õl'di
öö	üöd
see	se
püha+päevane	püha+base
öö	üö
seal	sial
mina	minu
isa	isa
kodu	kodu
ja	ja
siis	siis
esmas+päev	esmas+bääva
hommikul	ommikku
siis	siis
siis	siis
andma	`an'tti
sööma	`süija
ja	ja
siis	siis
tulema	tul'ime
siia	siija
noh	nohh
siin	siin
siis	siis
esmas+päev	esmas+pa
lõuna	`lõuna
aeg	aeg
sööma	sõime
siin	siin
esmas+päev	esmas+pa
õhtul	`õhta
teisi+päev	tõisi+ba
hommikul	ommikku
siis	siis
minema	läks
pulm	pulm
siit	siit
jälle	jällä
siis	siis
ära	ära
sedasi	sedasi
siis	siis
olema	õl'id
mina	minu
pulmad	pulmad
aga	aga
enne	`enne
mina	minu
pidama	`peet'ti
ikka	`ikka
kohe	kõhe
hakkama	`akkasid
püha+päeval	püha+ba
pulmad	pulmad
peale	`piale
ja	ja
nii	nii
kaua	kavva
kui	ku
reede	`rede
õhtu	`õhtani
siis	siis
siis	siis
saama	saivad
minema	läksivad
kodu	kodu
aasta	`oastat
vana	vana
kui	kui
naine	naise
võtma	`võt'tin
jah	jahh
selle+pärast	selle+bärast
et	et
mina	mull
olema	õl'i
ju	juo
nagu	nagu
see	se
võtma	`võettud
ja	ja
see	see
olema	õl'i
vend	venna
vend	`vendasid
ja	ja
õde	õdesid
jah	jahh
siis	siis
ei	õi
tohtima+ki	`tõhtindki
võõras	võõrast
võtma	`võtta
nii+kaua	nii+gauwa
kui	kui
ju	juo
või	võij
olema	on
nii	niij
et	et
nüüd	nüüd
ei	eij
olema	õle
enam	enam
olema	õld
rohkem	`rohkem
kui	kui
üks	üks
pool+õde	pool+õde
ja	ja
üks	üks
mitte	mitte
teie	teije
see	see
olema	on
õe+poeg	õe+poeg
olema	onn
Tallinn	Tal'linnas
jah	jahh
et	et
see+sama	see+samma
isa	isa
elama	elas
kaua	kauwa
ega	ega
isa	isa
surm	surmast
ei	eij
olema	õle
kui	kui
eks	eks
võib+olla	võib+õlla
mina	minu
tütar	tüttar
rääkima	räägib
teadma	tiab
see	seda
aasta	`oasta
number	`numbrit
millal	millal
isa	isa
ära	äe
surema	suri
aga	aga
siis	siis
mina	maa
olema	l'in
kuus	kuuwe
aastane	`aastane
võõras	`võõra
ema	ema
kaitsmine	`kaitsmise
all	all
kuidas	kuda
sant	san'did
käima	käisid
tegu	tegu
nüüd	nüüd
toetama	toedab
vald	vald
ja	jaa
riik	riik
toetama	toedab
vaene	`vaesed
aga	aga
see	sell
aeg	aeal
kes	kess
vaene	`vaesest
ehk	ehk
vigane	vigasest
jääma	jäi
see	see
käima	käis
pere	pere
kord	`kõrda
jah	jahh
kui	kui
suur	suur
talu	talu
olema	õl'i
siis	sis
olema	õl'i
kaks	kaks
päev	`pääva
kui	kui
olema	õl'i
väike	väk'ke
talu	talu
siis	siis
olema	õl'i
üks	ühe
ainus	`ainsa
päev	pääva
sööm	süöma
peal	pial
seal	sial
jälle	jällä
edasi	edesi
teine	`tõise
pere	peresse
jah	jahh
nii	nii
kõik	kõik
need	need
sant	san'did
need	need
mis	mess
aga	aga
vald	vallas
olema	õl'ivad
seitse	`seitsme
aastane	`aastane
kui	kui
kari	`karja
kauplema	kaubeldi
jah	jahh
ja	jaa
käima	käisin
üheksa	üheksa
suvi	suve
käima	käisin
kari	karjas
esiti	`este
ikka	ikke
üks	ühe
pere	pere
peale	`piale
pärast	päräst
kaks	kahe
pere	pere
loom	luomad
pärast	pärast
kolm	kolme
viimaks	viimaks
viis+teist+kümmend	viije+tõist+`kümne
jah	jahh
nii	niij
et	et
olema	õl'i
ju	juo
viis+kümmend	viis+kümmend
loom	`luoma
jah	jahh
kõik	kõik
ühes	ühes
ja	ja
mina	maa
käima	käisin
aga	aga
küla	küla
kord	`kõrda
kes	kellel
olema	õl'i
kaks	kaks
lehm	`lehma
siis	siis
kaks	kaks
päev	`pääva
kes	kellel
kolm	kolm
lehm	`lehma
siis	siis
kolm	kolm
päev	`pääva
käima	käis
aga	aga
siis	siis
ja	ja
kes	kellel
üks	üks
lehm	lehm
siis	siis
üks	ühe
päev	pääva
nii	nii
kord	`kõrda
jaah	jaahh
ja	jaa
ja	ja
ja	ja
riie	riije
olema	õl'i
nädal	nädal
kes	kellel
kaks	kaks
lehm	`lehma
siis	siis
kaks	kaks
nädal	nädalat
see	selle
riie	riije
seljas	sel'jas
vata	vatta
kuidas	kuda
see	see
iga	iga
päev	pääv
siis	siis
see	seda
riie	riijet
vahetama	vahettand
kes	kelle
üks	üks
lehm	lehm
et	et
jälle	jälle
siis	sis
jälle	jälle
alasti	alas'ti
jah	jahh
riie	`riide
kord	kõrd
käima	käis
mina	ma
Kärasi	Kärasi
küla	külas
käima	käisin
see	se
olema	onn
suur	suur
küla	küla
ka	koa
ikka	`ikke
neli+kümmend+viis	nel'i+gümmend+viis
loom	`luoma
olema	õl'i
aga	aga
muist	muist
küla	küla
olema	õl'i
ju	juo
laiali	laijali
mõõtma	mõõdettud
aga	aga
siis	siss
neli+kümmend+viis	nel'i+gümmend+viis
loom	`luoma
ja	ja
seal	sial
korraline	kõrraline
koha+abiline	koha+abil'ine
jah	jähh
jah	jahh
laps	laps
ehk	ehk
kes	kellel
ei	eij
olema	õld
palk	`palkka
see	sie
ehk	ehk
kui	kui
ei	ei
täima	tähend
palkama	palgatta
tulema	tule
ise	ise
vahest	vahest
olema	õl'i
pere+naine	pere+naine
kari	karja
kord	kõrral
kari	karjal
mina	mull
vahel	vahel
olema	õl'i
pere+tütar	pere+düttar
noh	nohh
mina	maa
olema	l'in
kolm+teist+kümmend	kolme+dõist+`kümne
aastane	`oastane
olema	õl'in
kui	kui
ju	juo
seal	sial
küla	küla
kari	`karja
minema	läksin
pasun	pasunaga
puhkuma	`puhkusin
jah	jahh
mina	ma
tegema	tegin
ise	ise
need	neist
pikk	pikka
pasun	pasuna
siis	siss
jah	jahh
seal	sial
Kärasi	Kärasil
seal	sial
olema	õl'i
kaks	kaks
koer	`kuera
olema	õl'i
kohe	kuhe
niske	`neskse
kes	kess
kui	kui
kuulma	`kuul'id
et	et
kari	karja
pasun	pasun
need	nied
olema	õl'id
ju	juo
päris	peris
karja+koer	karja+kuerad
siis	siis
hakkama	`akkas
kodu	kodu
ju	juo
ulguma	`ulguma
tulema	tul'i
aga	aga
ulgumine	`ulgumisega
aua	auwa
aua	auwa
aua	auwa
aua	auwa
nii+kaua	nii+gavva
kui	ku
pasun	pasuna
ots	õtsa
juurde	`juure
noh	nohh
siis	siis
laskma	`las'kis
nii	nii
kuidas	kuda
see	sie
kurk	kurk
kandma	`kan'dis
see	see
olema	õl'i
ikka	ikke
ikka	ikke
kõige	kõige
lõbus	lõbusam
hommik	ommukku
tund	tun'nid
jah	jahh
küla	küla
vain	`vainu
jah	jahh
küla	küla
küla	küla
vain	`vainu
nii	nii
aed	aed
olema	õl'i
nagu	nagu
et	et
nemad	nad
vili	`vil'ja
kuhugi	kohogi
ei	õi
minema	lähe
need	need
tegema	`tehtud
nisuke	nisukke
sinna	`sinna
tulema	tul'ivad
kokku	`kokku
ja	ja
siis	siss
korraline	kõrraline
see	see
olema	õl'i
siis	siss
kes	kellel
ei	eij
olema	õld
ja	ja
kes	kess
olema	õl'i
