kosjas	kosjas
katki	`katki
tegema	teeb
ja	ja
mina	mina
ka	koa
see	seda
ei	ei
teadma	tea
õieti	õijetti
kuidas	kuidas
tema	ta
sealt	sealt
välja	`väl'la
tulema	tuleb
aga	aga
aga	aga
esiti	esitti
ei	ei
saama	saa
nemad	nendele
e	e
palju	paelu
toit	`toittu
andma	anda
sest	sest
väike	`väikke
poeg	poeg
ilma	ilma
toit	toidutta
elama	elab
mitu	mittu
päev	`päeva
ikka	`ekke
nii+kauaks	nii+gauwas
siis	siis
kõik	kõik
ei	ei
tulema	tule
ju	ju
üks	ühü
kord	korraga
välja	`väl'ja
need	need
poeg	poead
mõni	mõni
tulema	tuleb
ennem	ennem
ja	ja
mõni	mõni
tulema	tuleb
hiljem	il'jem
ja	ja
siis	siis
kana	kana
olema	onn
ikka	`ikke
nii+kauaks	nii+gauwas
peal	peal
kui	kui
tema	ta
arvama	`arvab
et	ett
enam	änam
ei	ei
tulema	tule
ju	juu
mõni	mõni
vahel	vahel
minema	läks
mäda	mädass
muna	munasse
ka	koa
poeg	`poega
ei	ei
tulema	tund
et	e
see	see
olema	o
kana	kana
ise	enese
tarkus	`tarkkus
kui	kui
kaua	kauwa
tema	ta
siis	siis
seal	seal
peal	peal
olema	oli
kui	kui
tema	ta
arvama	`arvas
et	ett
enam	änam
ei	ei
tulema	tule
siis	siis
tema	ta
tulema	tuli
nemad	nende
poeg	`poegega
ära	ära
kutsuma	`kutsus
nemad	nad
ära	ära
ja	ja
noh	nohh
nemad	nad
olema	on
esiti	esitti
pisike	pisiksed
kollane	kollased
olema	onn
olema	põle
tiib	tiivu
ega	ega
miski	medagi
noh	nohh
siis	siis
kui	kui
nemad	nad
hakkama	`akkavad
hari	`arju
kasvatama	kasvattama
e	e
kana	kanal
olema	on
väike	`väikke
hari	ari
ja	ja
kukk	kukkel
hakkama	`akkab
korralt	korralt
ikka	`ikke
suur	suurem
hari	ari
ja	ja
kukk	kukked
olema	onn
üldse	`ültse
ikka	`ikke
rohkem	`rohkem
poeg	`poegade
seas	seas
nemad	naad
olema	onn
ikka	`ikke
seoke	`seoksed
tugev	tugevamad
e	e
kana	kanad
olema	onn
nõrk	nõrgemad
ja	ja
siis	siis
nemad	nendel
hari	arjad
hakkama	`akkavad
kasvama	kasuma
siis	siis
kukk	kukkel
tulema	tuleb
ikka	ikke
e	e
kiiremini	`kiiremini
kasvama	kasvab
see	see
hari	ari
kui	kui
kana	kanal
noh	nohh
kui	kui
olema	ond
juba	juba
suur	*suuremad
sügis	sügiseni
saama	saab
kasvatama	kasvattada
ja	ja
siis	siss
juba	juba
saama	saab
aru	aru
kukk	kukked
hakkama	`akkavad
laulma	`laulma
ja	ja
saama	saab
ikka	ikka
aru	aru
mis	miss
kukk	kukk
olema	oo
part	`partta
ja	ja
hani	anesid
mõlemad	mõlemid
olema	oli
ja	jaa
e	e
siis	siis
need	neid
saama	sai
e	e
no+jah	no+jahh
hani	aned
minema	lähvad
hauduma	`hauduma
ee	ee
e	e
siis	siss
pidama	pidi
vist	vist
kaks	kahe
nädal	nädali
pärast	pärast
e	e
rohi	rohi
maa	maas
olema	olema
nii+kui	nii+gui
e	e-e
hani	ane
poeg	poead
e	e
välja	`väl'la
tulema	tulevad
pesa	pesast
muna	munad
muna	munadest
e	e
siis	siis
nemad	nad
hakkama	akkavad
rohi	rohuga
ise	`endid
toitma	`toitma
nii	niij
et	ett
rohi	rohi
pidama	peab
siis	siis
maa	maas
olema	oleme
meie	mee
otsustama	otsustasime
ikka	ikka
alati	alatti
kui	kui
kana	kana
hauduma	`auduma
minema	läks
et	ett
no	noo
kaks	kahe
nädal	nädali
pärast	pärast
siis	siis
olema	onn
rohi	rohi
rohi	rohi
juba	juba
kasvama	kasumas
noh	nohh
esiti	esitti
küll	küll
väike	`väikke
aga	aga
jaa	jaa
aga	aga
aga	aga
hani	ani
väga	väga
palju	paelu
rohkem	`rohkem
ei	ei
munema	mune
e	e
kui	kui
oma	oma
haudumine	`audumis
tarvis	`tarvis
no	noo
natuke	nattukke
ikka	`ikka
rohkem	`rohkem
munema	muneb
nii+palju	nii+baelu
hauduma	`auduma
ei	ei
saama	saa
ikka	`ekke
panema	`panna
kana	kanadel
saama	sai
kui	kui
suur	suured
kana	kanad
olema	olid
saama	sai
kümme	kümme
või	või
kaks+teist	kaks+teist
muna	muna
alla	`alla
panema	`pandud
aga	agaa
hani	anedel
ei	ei
s	s
saama	saand
nii+palju	nii+baelu
ikka	`ikke
arvama	`harvasime
et	et
ei	ei
tulema	tule
ikka	`ikke
kõik	kõik
välja	`väl'ja
ja	ja
saama	sai
vähem	vähem
panema	`panna
aga	aga
nemad	nad
munema	munesid
ikka	`ikka
rohkem	`rohkem
nii	niij
et	ett
võima	võis
ikka	`ikke
ise	isi
ka	koa
need	neid
hane+muna	ane+munesid
sööma	`süije
eh	ehh
e	e
jah	jahh
üsna	üsna
hea	ea
ikka	ikk
aga	aga
natuke	nattukke
vänge	`vängem
kui	kui
kui	kui
kana+muna	kana+muna
olema	on
meie	meil
olema	oli
ka	koa
hani	anesid
siin	sii
kasvatama	kasvattatti
need	neid
noh	nohh
sügis	sügise
saama	sai
siis	siis
need	need
ära	ära
katkuma	`katkuda
ja	jaa
saama	said
siis	s
turg	`turgu
viima	`viija
jah	jahh
jah	jahh
see	seda
tulema	tuli
ka	koa
ikka	`ikke
ette	`ette
noh	nohh
vahest	vahest
mina	ma
ei	i
teadma	tia
siis	siis
miks	miks
no	noo
kui	kui
tahtma	tahetti
nüüd	nüüd
hani	anesid
kasvatama	kasvattada
aga	aga
oma	omal
hani	anesid
olema	põnd
siis	siis
viima	`viidi
ikka	ik
küla	külast
hane+muna	ane+mune
ja	ja
laskma	`lasti
siis	siis
kana	kana
välja	`väl'la
hauduma	`aududa
siis	siis
saama	said
hani	anesid
see	selle
tarvis	`tarvis
panema	`pandi
kana	kanade
alla	`alla
e	e
kana	kana
hauma	aus
ikka	`ikke
välja	`väl'la
tema	ta
e	e
natuke	nattukke
rohkem	`rohkem
küll	kül
tema	ta
hauduma	`aududa
tahtma	`tahtis
kui	kui
kana	kana
oma	oma
muna	muna
aga	aga
kana	kanal
olema	oli
ikka	`ikka
see	seda
haudumine	`audumise
palavik	palavikku
nii+palju	nii+baelu
sees	sehes
et	et
tema	ta
ikka	`ikka
hauduma	`audus
välja	`väl'la
need	ned
noh	nohh
nemad	naad
minema	läksid
ikka	`ikka
suplema	suplema
meie	meil
olema	oli
ka	koa
siin	sii
suur	suur
pikk	pikk
ränk	ränk
olema	oli
siin	sii
kaugel	`kaugel
e	e
poeg	poead
ujuma	ueusid
nii	nii
kenasti	kenasti
seal	seal
sees	sees
et	ett
e	e
kana+poeg	kana+boead
ei	ei
ujuma	oeand
kana+poeg	kana+boea
poeg	`poegadel
saama	sai
sihuke	`siukke
madal	madal
joogi+nõu	joogi+nõu
olema	onn
see	see
saama	sai
sinna	`sinna
kanala	kanala
juurde	juure
viima	`viidud
ja	ja
nemad	naad
seal	seal
jooma	jõid
ja	ja
noh	nohh
kes	kess
tema	teda
täima	täis
nüüd	nüüd
ise	isi
sööma	`süija
hani	ane
liha	liha
olema	oli
ju	ju
ikka	`ikke
e	e-e
müüma	`müijes
kallis	`kallim
see	seda
ise	isi
ikka	`ikka
palju	paelu
sööma	`süija
ei	ei
saama	saand
kui	kui
mõni	mõni
katkuma	`katkudes
väga	väga
e	e-e
nii	nii
ilus	ilus
ei	ei
saama	saand
no	noo
see	see
saama	sai
ikka	`ikka
vahest	vahest
siis	siis
ikka	`ikka
oma	omale
jätma	`jätta
ja	ja
sulg	`sul'gi
katkuma	katkutti
e	e
kastma	kastetti
hani	ani
e	e
keema	kiiba
vesi	`veesse
e	e
siis	siiss
e	e
surema	surnd
hani	ani
e	e
siis	siis
e	e
katkuma	katkutti
ära	ära
siis	siss
tulema	tulid
ilus	ilusad
puhas	`puhtad
sulg	suled
muidu	muidu
tõmbama	`tõmmad
siis	siis
tõmbama	`tõmmasid
vahel	vahel
nahk	naha
ka	ko
katki	`kat'ti
aga	aga
kui	kui
nemad	nad
palav	palava
vesi	veess
olema	olid
see	see
hani	ani
kastma	kastettud
e	e
siis	siss
e	e-e
nahk	nahk
jääma	jäi
kõik	kõik
ilusti	ilusti
terve	terbe
hani	ani
tulema	tuli
nii	nii
ilus	ilus
puhas	puhas
et	ett
kana	kanasid
saama	sai
ka	koa
nii+moodi	nii+moodi
tegema	`tehtud
tapma	tappettud
kana	kanad
saama	said
siis	siis
turg	`turgu
viima	`viidud
ja	ja
siis	siss
pärast	pärast
jääma	jäi
sinna	`senna
veel	veel
nii+sugune	niisukkest
udu+sulg	udu+`sul'gi
noh	nohh
need	need
saama	said
siis	siis
peeru+tuli	peero+tulega
need	ned
udu+sulg	udu+suled
ka	ko
veel	veel
ära	ära
e	e
kõrvetama	kõrbettada
ja	ja
ja	ja
siis	siis
saama	said
ära	ära
pesema	pesta
ja	ja
jaa	jaa
ja	ja
kast	kastisse
või	või
korv	korvisse
ja	ja
saama	sai
turg	`turgu
e	e
müüma	`müija
viima	`viidud
e	e
noh	nohh
mina	ma
ei	i
teadma	tea
miks	miks
aga	aga
vana	vanad
inimene	inimesed
ütlema	`ütlesid
et	et
undi+reedene	un'di+`reedene
kuu	kuu
see	see
pidama	pidi
ikka	`ikka
natukene	nattukkene
teist+moodi	teis+moodi
olema	olema
kui	ku
teine	teised
kuu	kuud
mina	mina
ei	i
teadma	tia
kas	kas
nemad	nad
siis	siis
teadma	`tiatsid
see	seda
või	võe
aga	aga
meie	mede
ema	ema
üks+kord	üks+kord
e	e
tulema	tuli
õu	õuwest
tuba	`tuppa
ja	ja
ütlema	`ütles
et	et
päev	päe
vaatama	`vaattab
tagasi	tagasi
et	ett
homme	oome
sadama	saeab
mina	maa
mõtlema	`mõtsi
minema	läksin
õu	`õuwe
mina	maa
vaatama	`vaattan
siis	s
mis+moodi	mis+`moodi
see	see
päev	päe
olema	oo
kui	kui
tema	ta
tagasi	tagasi
vaatama	`vaattab
ja	ja
mina	mina
ei	ei
saama	saand
sealt	sealt
mingi+sugune	`mingi+sugust
keegi	kedagi
aru	aru
aga	aga
homme	oome
tulema	tuli
vihm	`vihma
küll	küll
ja	ja
mina	mina
see	seda
ei	ei
teadma	tia
praegu+ki	`präegustki
mis+moodi	mis+`moodi
siis	siis
päev	päe
olema	onn
kui	ku
tema	ta
tagasi	tagasi
vaatama	`vaattab
ja	ja
mina	ma
äh	ähh
mina	ma
ei	i
teadma	tia
see	seda
ka	kaa
mitte	mette
seal	seal
pööri+päev	pööri+bäeba
ümber	`ümber
arvama	`arvasid
ja	ja
ja	jaa
maarja+päev	`maarja+bäe
olema	oli
äh	ähh
noh	noh
see	see
olema	oli
ennem	ennem
vana	vana
maarja+päev	`maarja+bäe
vana+inimene	vana+inimestel
e	e
kui	kui
kaks	kaks
öö	ööd
mõlemad	mõlemad
maarja+päev	`maarja+bäe
jälle	`jälle
sula	sulad
olema	onn
e	e
siis	siiss
e	e
jälle	`jälle
enam	änam
öö+külm	öö+`gülmasi
ei	ei
tulema	tule
noh	noh
maarja+päev	`maarja+bäe
olema	oo
ka	ka
varakult	varakkult
ju	ju
kahe+kümne+viies	kahe+`gümne+viijendal
märts	märtsil
või	või
millal	millas
maarja+päev	`maarja+bäe
olema	oo
no	no
nüüd	nüid
aga	aga
noh	nohh
enne	enne
see	seda
mina	ma
ei	i
teadma	tia
siis	siis
tema	ta
kuidas	kuidas
tema	taa
olema	oli
vana	vana
kalender	`kaalendri
järel	järel
tema	taa
olema	oli
ju	ju
ikka	`ikke
hiline	ilisem
siis	siis
ütlema	`ööldi
et	et
öö+külm	öö+`gülmasi
enam	änam
ei	ei
tulema	tule
et	ett
siis	siis
võima	võid
e	e
juur+vili	juur+`vil'la
ju	jo
maa	maha
tegema	teha
kui	kui
kaks	kaks
öö	ööd
maarja+päev	`maarja+bäe
sula	sulad
olema	oo
no	na
teadma	tea
naa+sama	na+samma
ka	ko
keegi	kedagi
ühti	`ühti
aga	aga
no	no
mina	mena
ei	ei
teadma	tia
teadma	tia
need	neid
ühti	`ühti
olema	olevad
rukki+lõikus	`rukki+`lõikkust
arvama	`arvasid
jälle	`jälle
kaste	`kaste
järel	järel
millal	millas
kevad	kevadi
kaste	kaste
maa	maas
olema	onn
et	et
varakult	varakkult
olema	oli
siis	siis
tulema	tulid
vara	vara
lõikama	lõigatta
tulema	tuli
kuiv	kuiv
suvi	sui
ja	ja
ja	ja
kui	kui
jälle	`jälle
e	e-e
kaste	kaste
hilja	ilja
maa	maha
tulema	tuli
siis	siiss
pidama	pidi
vihmane	vihmane
suvi	sui
olema	oleme
ei	ei
teadma	tia
need	neid
vana+inimene	vana+inimeste
tarkus	`tarkkusi
keegi	kedagi
äh	ähh
enne	enne
kui	kui
vihm	`vihma
n	n
mina	mina
ei	ei
teadma	tea
ka	koa
hästi	äste
võib+olla	võib+olla
küll	küll
et	ett
vaatama	vaadatti
aga	aga
aga	aga
mina	ma
ei	i
teadma	tia
see	seda
võib+olla	võib+`olla
küll	küll
aga	aga
no+jah	no+jahh
ju	joo
ikka	`ikke
nägema	nägi
need	neid
vahel	vahel
aga	aga
ei	ei
mina	maa
see	seda
ei	ei
teadma	tia
mina	maa
saks	`sakste
ilma+ennustus	ilma+ennustusi
palju	paelu
ei	ei
teadma	tea
ah	ah
jah	jahh
siin	sii
raba	rabas
elama	elavad
jah	jahh
sööma	sööbad
kure+mari	kure+`marju
ja	ja
e	e
kusagil	kusagil
ikka	`ikka
raba	rabas
pidama	peab
olema	olema
ega	ega
nemad	nad
mais+maa	maise+maale
pesa	pesa
ei	ei
tegema	tee
mis	miss
ah+ah	ah+ahh
Järve	Järve
Jaan	Jaani
mina	mina
see	sest
enam+ki	änamgi
teadma	tian
nüüd	nüd
see	see
Jaan	Jaani
raamat	raamat
olema	oli
siin	sii
e	e
mm	mm
tema	ta
olema	onn
meie	meil
kool	kooli
kogu	kogus
rääkima	räägime
nüüd	nüüd
siis	siis
kuidas	kudas
see	see
raamatu+kogu	raamattu+kogu
asutama	asuttatti
kõige	kõige
ennem	ennem
siin	siin
uus	uus
kooli+maja	kooli+maea
hakkama	`akkas
töötama	`tööttama
tuhat+üheksa+sada+kolm+teist	tuhat+üheksa+sada+kolm+teist
aasta	`aastal
ja	ja
seal	seal
tegema	`tehti
siis	siis
pidu	pidusid
e	e-e
karskus+selts	`karskus+seltsi
pidu	pidusid
koolitaja	koolittaea
olema	oli
karskus+selts	`karskus+seltsi
esi+mees	esi+mees
ja	ja
siis	siis
tulema	tulid
siia	siija
võõras	`võerad
e	e
kõne+pidaja	kõne+bedaead
ja	ja
kõne+pidaja	kõne+bidade
vahele	vahele
laulma	`laulis
Tamme	Tamme
ja	ja
Hõbe	Õbeda
laulu+koor	laulo+goor
koolitaja	koolittaea
juhatama	juhattas
ja	jaa
see	selle
pidu	pidu
raha	raha
eest	eest
ostma	ostetti
raamat	raamattuid
ja	jaa
e	e
asutama	asuttatti
raamatu+kogu	raamattu+gogu
see	see
raamatu+kogu	raamattu+gogu
minema	läks
kool	kooliga
ühes	ühes
Kõima	`Köimesse
ah	ahh
enam	änam
ei	ei
olema	ole
nii	nii
nii	niij
et	ett
tulema	tuli
pidu	pidusid
tegema	teha
siis	siis
saama	sai
raamat	raamattut
ostma	osta
no+jah	noo+jahh
ja	ja
Järve	Järbe
Jaan	Jaani
raamat	raamat
olema	oli
ka	koa
seal	seal
kool	kooli
kogu	kogus
tema	täma
sünni+aasta	sün'ni+`aasta
olema	oli
tuhat+seitse+sada+kuus+kümmend+kaheksa	tuhat+seitse+sada+kuus+kümend+kahessa
elama	elas
Annus	Annuse
talu	talus
Järve	Järbe
küla	külas
Annus	Annuse
talu	talus
no	no
tema	taa
olema	oli
korralik	korralik
inimene	inimene
aga	aga
üks+kord	üks+kord
töö	töö
juures	*juuress
ütlema	üttend
et	et
hall	al'l
mees	mees
olema	on
põõsas	`põõsa
sees	sees
käskima	kässib
koju	koeu
minema	`menna
ja	ja
enam	änam
töö	tööd
ei	ei
lubama	luba
tegema	teha
ja	ja
siis	sis
hakkama	`hakkas
nii+sugune	nisukseid
segane	segaseid
jutt	`juttu
rääkima	`rääkkima
aga	aga
need	ned
jutt	juttud
olema	olid
kõik	kõik
nii+sugune	nisuksed
lollakas	lol'lakkad
keegi	`keegi
nemad	neist
keegi	kedagi
tähele	tähele
ei	ei
panema	pand
aga	aga
kui	kui
hakkama	`akkas
juba	juba
see	se
aeg	`aega
mööduma	`möödus
ja	ja
hakkama	`akkasid
tõsi	tões
minema	menema
tema	taa
olema	oli
ütlema	üttend
tema	ta
elama	elas
Annus	Annuse
talu	talus
ütlema	üttend
kui	kui
see	selle
karja+laut	karja+lauda
katus	kattus
e	e
jälle	`jälle
alla	`alla
vajuma	vaob
siis	siis
tulema	tuleb
üks	üks
suur	suur
sõda	sõda
jah	jahh
ja	ja
kevad	kevadi
e	e
lumi	lumi
vajutama	`vaottand
katus	kattuse
alla	`alla
ja	jaa
e	e-e
august	augus'ti
kuu	kuus
tuhat+üheksa+sada+neli+teist	tuhat+ühessa+sada+neli+deist
aasta	`aastal
hakkama	`akkas
suur	suur
sõda	sõda
ja	ja
need	neid
sõja+kuulutus	sõea+guuluttusi
olema	oli
ikka	`ikke
veel	veel
aga	aga
vaatama	vaatta
mina	maa
ka	kua
kõik	`kõikki
ei	ei
teadma	tia
no	no
siis	siss
inimene	inimesd
hakkama	`akkasid
arvama	`arvama
ja	ja
tema	ta
jutt	`juttusi
tähele	tähäle
panema	panema
siis	siis
nemad	nad
juba	juba
saama	said
aru	aru
et	ett
see	se
mees	mees
olema	oli
ikka	`ikka
väärtuslik	`väärtuslek
ja	ja
siis	siis
tema	ta
ütlema	üttend
seal	seal
e	e
Järve	`Järbes
jõukas	`jõukkas
talu	talu
olema	oli
ütlema	üttend
et	et
see	selle
talu	talu
talu	talu
maja	maea
ase	asemelt
minema	lähäb
tee	tee
läbi	läbi
aga	aga
raudne	`rautsed
täkk	täkkud
sõitma	`sõitvad
seal	seal
peal	peal
raudne	`rautsed
täkk	täkkud
sõitma	`sõitvad
tee	teedel
ja	ja
hirnuma	`irnuvad
põld	`põldude
peal	peal
jälle	`jälle
olema	oli
lollakas	lol'lakkas
jutt	jutt
aga	aga
nüüd	nüüd
olema	onn
tema	ta
tõsi	tõsi
ja	jaa
ja	ja
siis	siis
tegema	tee
teine	teist
ja	ja
nüüd	nüüd
olema	onn
sealt	sealt
tee	tee
läbi	läbi
see	selle
talu	talu
see	seda
talu	talu
olema	onn
ei	eij
olema	ole
enam	enam
ja	ja
sealt	sealt
olema	oo
tee	tee
läbi	läbi
ja	ja
raudne	`rautsed
täkk	täkkad
sõitma	`sõitvad
peal	peal
ja	ja
siis	siis
üks+kord	üks+kord
jälle	`jälle
e	e
Kõima	`Kõima
mõis	mõesa
e	e
see	see
soo	soo
olema	ond
kõik	kõik
vesi	vett
täis	täis
ja	ja
maa	maa
pehme	`pehme
Jaan	Jaan
siduma	seub
vits	vitsa
kokku	`kokko
kimp	kimbu
kokku	`kokko
ja	ja
ajama	aeab
püksid	püksid
maha	maha
ja	jaa
tõmbama	`tõmmab
kimp	kimbu
selg	`sel'ga
inimene	inimest
küsima	küsivad
mis	mis
sina	sa
tegema	tegema
hakkama	`akkad
Jaan	Jaan
ütlema	üttend
et	ett
mina	maa
tegema	teen
siht	sihi
ette	`ette
kust	kust
üks+kord	üks+kord
tee	tee
läbi	läbi
minema	lähäb
inimene	inimene
sõitma	sõedab
ja	ja
kiitma	kiidab
nii+kui	nii+gui
täna+päev	täna+bäev
jälle	`jälle
ennem	ennem
ei	eij
olema	ond
Jaagup	Jaaguppi
ja	ja
see	seda
vahel	vahel
tee	teed
kõik	kõik
olema	oli
sügav	sügab
vesi	vesi
ja	ja
pehme	`pehme
maa	maa
aga	aga
nüüd	nüüd
olema	onn
sealt	sealt
tee	tee
läbi	läbi
inimene	inimene
sõitma	sõedab
ja	ja
kiitma	kiidab
ja	ja
siis	siis
seal	seal
olema	oli
veel	veel
palju	paelu
mina	ma
kirjutama	kirjuttasin
mina	ma
ei	i
teadma	tea
mina	ma
vaatama	`vaattan
kus	kus
maa	maa
olema	onn
mõni	mõned
asi	asjad
vaatama	`vaatta
mina	mul
ei	ei
seisma	seisa
ka	koa
meel	`meeles
no+jah	no+jahh
raamatu+kogu	raamattu+gogust
ja	ja
sõda	sõea
algus	`algus
ja	ja
ja	ja
siis	siis
uus	uijest
tee	teest
ja	ja
sõitma	sõidavad
eheh	ehehh
ja	ja
siis	siis
e	e
siis	siis
tema	ta
ütlema	üttend
küla	külade
kohta	`kohta
e	e
tema	ta
ütlema	üttend
jah	jahh
et	ett
e	e
Pikara	Pikkara
küla	külast
Pikara	Pikkara
kooli+maja	kooli+maea
juures	juures
olema	onn
sõja+laager	sõea+`laager
no	no
see	see
olema	oo
olema	oli
nüüd	nüid
see	selle
valitsus	valitsuse
aeg	`aegas
e	e
sõja+mees	sõea+mehed
olema	`olla
seal	seal
laager	`laagris
olema	ond
ja	ja
siis	siis
ütlema	üttend
jälle	`jälle
et	ett
e	e
küla	külad
jääma	jäävad
e	e
tühi	tühjasse
e	e
ja	jaa
ei	eij
olema	ole
kuke+laul	kukke+`laulu
aga	aga
koer	koera
haukumine	`aukkumist
ja	ja
maa	maa
olema	oo
paljas	pal'las
kui	kui
alasti	alasti
inimene	inimene
ja	ja
e	e
e	e
ja	ja
siis	siis
üks+kord	üks+kord
tema	ta
ütlema	üttend
jälle	`jälle
ennem	ennem
inimene	inimest
elama	elasid
kõik	kõik
ühes+koos	ühes+koos
rumpis	`rumppis
e	e
nagu	nagu
sedasi	sedasi
koos	koos
kõik	kõik
rahvas	`rahvad
ja	ja
aga	aga
Jaan	Jaan
ütlema	üttend
et	ett
üks	üks
eestlane	`eestlase
jälg	jäl'g
olema	onn
Virtsu	`Virtsus
ja	ja
teine	teine
olema	onn
Lihula	Lihulas
see	see
olema	onn
nüüd	nüüd
jälle	jälle
tõsi	tões
minema	läind
Eesti	Eesti
inimene	inimesi
olema	oo
välis+riik	välis+`riikkides
palju	paelu
aga	aga
ennem	ennem
olema	olid
kõik	kõik
koos	koos
et	et
üks	üks
inimene	inimese
eestlane	`eestlase
jälg	jäl'g
olema	on
Virtsu	Virtsus
teine	teine
Lihula	Lehulas
ja	jaa
ja	ja
siis	siss
e	e
kiriku+mõis	kirikku+mõesa
õu	õuwe
peal	päl
olema	`olle
peksmine	`peksmise
post	pos't
olema	ond
see	see
olema	onn
maa	maa
sisse	`sesse
kõvasti	kõvasti
panema	`pandud
aga	aga
Jaan	Jaan
tõmbama	tõmmand
see	selle
üles	ülesse
tema	taa
olema	ond
nii	nii
tugev	tugeb
ka	koa
tõmbama	tõmmand
see	selle
üles	ülesse
ja	ja
viima	viind
see	selle
kusagile	kusagile
laut	lauda
taha	taha
ja	ja
ütlema	üttend
et	et
see	seda
enam	änam
tarvis	`tarvis
ei	eij
olema	ole
ja	jaa
ei	eij
olema+ki	olegi
teadma	tead
siia	`siija
aeg	aeani
tarvis	`tarvis
ühti	`ühti
aga	aga
siis	siis
e	e
Pikara	Pikkara
palve+maja	`palve+maea
kohta	`kohta
tema	ta
ütlema	üttend
vaatama	vaatta
palve+maja	palve+maea
e	e-e
jälle	`jälle
see	seda
aeg	`aega
õieti	õijetti
ei	ei
teadma	tea
millal	millal
just	just
seal	seal
Pikara	Pikkaras
lugemis+tund	lugemis+`tun'de
pidama	`peetti
aga	aga
siis	siis
see	selle
selle+pärast	selle+bärast
et	ett
Kõima	`Kõima
Koonga	`Koonga
mõis	`mõisas
olema	`olle
üks	üks
e	e
mõisa+pidaja	mõisa+bidaea
Lipard	Lippard
see	see
lubama	lubanud
need	nendele
peksa	`peksa
andma	anda
kes	kess
siin	sii
lugemine	lugemiste
tund	`tundidel
käima	köibad
ja	ja
siis	siis
pidama	`peettud
palve+tund	`pal'vi+`tun'da
mets	`metsas
ja	ja
rukki+põld	`rukki+`bõldude
vahel	vahel
suvi	sui
e	e
jah	jahh
aga	aga
siis	siis
siis	siis
see	selle
talv	talve
pidama	`peettud
Pikara	Pikkara
Mälgu+toa	Mälgu+doas
ja	ja
kui	kui
Mälgu+toa	Mälgu+doas
e	e
palve+tund	`palve+`dundi
pidama	`peettud
siis	siis
Jaan	Jaan
minema	läind
sinna	`sinna
võtma	võtn
Mälgu	Mälgu
ahi	ahust
tuline	tulise
tukk	tukki
ja	ja
viima	viind
põld	põllale
kivi	kivi
peale	`peale
ja	ja
ütlema	üttend
et	ett
teine	teised
tuli	tuled
kustuma	`kustuvad
ära	ära
aga	aga
see	see
tuli	tuli
siin	siin
ei	äi
kustuma	kustu
ja	ja
nüüd	nüid
olema	onn
mujalt	maealt
palvela	`palvelad
olema	on
kaduma	kadund
Jaagupi	Jaaguppist
ja	ja
Vigala	Vigalast
ja	ja
Rabara	Rabarast
ja	ja
aga	aga
see	see
olema	onn
alles	alless
see	see
siin	sii
alles	alles
hea	hää
no+jah	nuu+jahh
aga	aga
siis	siis
see	see
Lipard	Leppard
e	e-e
Lipard	Leppard
siis	siis
see	selle
olema	oli
mõis	`mõisast
ära	ära
minema	läind
tulema	tund
üks	üks
teine	teine
mõisa+härra	mõisa+ärra
siis	s
palve+mees	`palve+mehed
minema	läind
sinna	`sinna
jälle	`jälle
et	et
küsima	küsima
et	et
tahtma	tahvad
palve+maja	`palve+maea
ehitama	ehittada
ja	jaa
aga	aga
siis	siis
see	see
mõisa+härra	mõesa+ärra
e	e
saatma	saatnd
oma	oma
toa+poiss	toa+boisi
kokk	kokka
ja	ja
ja	ja
kutsar	`kutseri
saatma	saatnd
siis	siis
nemad	nende
lugemine	lugemist
kuulama	`kuulama
mis+moodi	mis+`moodi
nemad	nad
lugema	lugebad
noh	nohh
nemad	naad
ei	eij
olema	ole
ikka	`ikke
laitma	laitnd
ühti	`ühti
ja	ja
siis	siis
mõisa+härra	mõesa+ärra
kutsuma	`kutsund
palve+mees	`palve+mehed
sinna	`sinna
ja	ja
andma	and
nemad	nendel
luba	luba
palve+maja	`palve+maea
ehitama	ehittada
ja	ja
ütlema	üttend
et	ett
ega	ega
üks+ki	`ükski
ei	ei
tohtima	tohi
teie	teid
keelama	`keelda
ega	ega
kimbutama	kimbuttada
siis	siss
nii+moodi	nii+`moodi
olema	oli
see	see
palve+maja	`palve+maea
ehitama	ehittud
ja	jaa
see	see
olema	onn
praegu	`praeguste
alles	alles
tema	täda
olema	on
küll	küll
remontima	remondittud
suur	suuremas
tegema	`tehtud
aga	aga
aga	aga
siis	siis
nemad	nad
ehitama	ehittasid
ja	ja
siis	siss
olema	ole
teo+orjus	teo+`orjus
olema	ond
aga	aga
ütlema	`ütleb
et	ett
vaba+tööline	vaba+`töölisi
olema	ol'li
seal	seal
iga	iga
päev	päe
palju	paelu
olema	ond
ja	ja
inimene	inimest
tooma	toond
materjal	matterjali
kokku	`kokku
nael	`naelu
ja	ja
laud	`laudu
ja	ja
ja	ja
katus	kattuse
õlg	`õl'ga
ja	ja
nii	nii
et	ett
rahvas	rahvas
ehitama	ehittas
see	selle
äh	äh
no	no
mina	ma
nüüd	nüid
ju	ju
ju	ju
need	neid
asi	`as'ju
olema	oli
veel	veel
ikka	`ikke
see	see
raamat	raamattus
olema	oli
palju	paelu
aga	aga
vaatama	vatta
mina	muul
ei	eij
olema	ole
need	neid
kõik	`kõikki
meel	`meeles
ka	koa
mitte	mette
üks+kord	üks+kord
tema	ta
olema	`olle
kana+muna	kana+mune
tema	tal
olema	ond
viskama	visand
üles	ülesse
teine	teist
muna	munad
jääma	jäänd
katki	`katki
minema	läind
katki	`katki
aga	aga
