vanasti	vanas'ti
ja	ja
siis	siis
see	sedä
püha	pühäsid
mööda	`möödä
ei	ei
minema	läind
kui	kui
õlu	õlut
olema	ol'i
iga+üks	igä+öhöl
siis	sis
siis	siss
noor	noored
mees	mehed
käima	köist
küla	küläs
ajama	aasid
jutt	`juttu
ja	ja
tegema	tegid
nali	`nal'la
ja	ja
ja	ja
siis	siis
jooma	`joodi
ja	ja
sööma	`söödi
ja	ja
siis	siiss
püha	pühade
aegu	`aegas
töö	tööd
tegema	`tehtud
ei	ei
tegema	teha
ei	eij
olema	ond
need	nee
olema	ol'id
kõik	kõik
jõulud	jõulud
olema	ol'id
uus	uus
aasta	`aasta
ja	ja
siis	siss
liha+võte+püha	liha+võtte+pühid
neli+püha	nel'i+bühid
mõni	mõn'i
tegema	tegi
jaani+päev	jaani+bäs
ka	koa
ja	ja
püha	pühad
olema	ol'id
ikka	`ikke
üks+sugune	ühü+sugust
kõik	kõik
aga	aga
nüüd	nüid
nemad	nad
sogama	sogasid
need	ned
püha	pühad
ära	ää
nüüd	nüit
olema	põle
see	sedä
püha	pühade
vahe	vahesid
ega	ega
siis	siis
püha	pühade
mõnu	mõnu
see	sell
aeg	aal
suur	suurt
vigur	vigurisi
tegema	`tehtud
ühtigi	`ühtigi
siis	s
põrand	parandad
pühkima	`pühksid
ilusti	ilusti
puhas	`puhtaks
ja	ja
tegema	`tehti
sepik	seppikkud
laps	lastele
ja	ja
toit	toit
panema	`pan'di
laud	lauwa
peale	piale
tegema	`tehti
vorst	`vor'sti
ja	ja
keetma	keedet'ti
sea+pea	sia+bia
liha	liha
see	see
olema	ol'i
hea	iä
liha	laeha
liha	liha
sööma	`süija
siis	siis
tooma	`toodi
laps	lastele
hein	eenad
ka	koa
tuba	`tuppa
ja	ja
need	need
laskma	`las'sid
seal	siäl
uper+pall	upper+`bal'li
ja	ja
mürama	mürasid
seal	siäl
ja	ja
kes	kell
laps+pere	lapse+bere
olema	ol'i
mina	maa
olema	olen
ise	isi
seal	siäl
uper+pall	upper+`bal'li
küll	küll
laskma	lasnd
ja	ja
jõulu+puu	jõulu+puu
tegema	`tehti
ka	kaa
sinna	`sinna
panema	`pan'di
ka	kua
siis	s
ikka	`ikke
kompvek	`komppekki
ja	ja
präänik	prän'nikkud
ja	ja
mis	mess
ikka	`ikke
see	sell
aeg	aeal
siis	siis
pood	poest
tooma	`tuuwa
olema	ol'i
ja	ja
küünal	`küinlad
otsa	`otsa
ja	ja
siis	siiss
suur	suuremad
käima	käisid
küla	küläst
ka	koa
veel	vel
kutsuma	`kutsumes
ja	ja
suur	suuremad
laps	lapsed
siis	siiss
laulma	`lauldi
ilusti	ilusti
jõulu+laul	jõulu+`laulusi
ja	ja
ja	ja
kõige	kõige
viimati	viimät'ti
nüüd	nüid
siin	sii
siis	siis
nemad	näd
juba	juba
hakkama	akkatti
väike	`väikkest
kingitus	kingittusi
andma	`anma
kes	kiss
vaene	`vaesed
laps	lapsed
olema	ol'id
ja	ja
aga	aga
eks	eks
rikas	`rikkamadel
olema	põlnd
tarviski	`tar'viski
ega	egä
seal	säl
jõulu+puu	jõulu+bu
all	all
mäng	`mängu
ei	eij
olema	ond
jah	jahh
muidu	mudu
trall	`tral'li
laul	`laulu
lööma	`löödi
ja	ja
need	need
olema	ol'id
kui	kui
siga	siga
ära	ära
tapma	tappet'ti
siis	sis
need	nd
soolikas	sool'ikkad
tegema	`tehti
hästi	`äs'ti
puhas	`puhtaks
ja	ja
siis	siis
panema	`pan'di
sool	soola
sisse	`sisse
ja	ja
siis	siiss
kui	kui
jõul+lau+päev	jõulu+lau+ba
olema	ol'i
siis	siis
panema	`pan'di
tang+puder	tangu+pudru
keema	`keema
ja	ja
siis	siss
sinna	sinna
hakkima	akkit'ti
liha	liha
sisse	`sisse
ja	ja
siis	sis
panema	`pan'di
lehter	`lehter
sinna	senna
otsa	`otsa
ja	ja
kulp	kul'biga
panema	`pan'di
puder	pudru
sisse	`sisse
ja	ja
pulk	pulgaga
taguma	`taotti
sedasi	`seasi
see	se
puder	pudru
sinna	`senna
soolikas	sool'ikkatte
sisse	`sisse
ja	ja
see	see
siis	sis
see	se
vorst	vor'st
ikka	`ikke
valge	`valged
jah	jahh
mõni	mõn'i
ikka	ikke
kes	kiss
siga	siga
tapma	`tappis
ja	ja
siis	siss
mõni	mõn'i
tegema	tegi
veri+vorst	veri+`vorsti
aga	aga
mina	mina
sööma	sõin
veri+vorst	veri+vorsti
küll	küll
ka	kaa
noh	nohh
ikkagi	`ekkegi
tegema	tegid
valge	`valged
vorst	`vor'sti
valge	`valged
vorst	`vor'sti
tegema	tegid
küll	küll
ka	koa
kus	kuss
iga	iga
kord	kord
see	se
veri	veri
võtma	`võtta
olema	ol'i
siis	siis
panema	`pan'di
natuke	nattukke
pada	paease
keema	`keema
ka	koa
ja	ja
siis	siis
võtma	`võetti
ära	ää
panema	`pan'di
laud	lauwa
peale	peäle
laiali	laijale
et	et
nemad	nad
ära	ää
jahtuma	`jahtosid
siis	siiss
viima	`viidi
külm	`kül'mä
ruum	`ruumi
siis	siis
kütma	`köötti
ahi	ahi
ilusti	ilus'ti
palav	palavaks
ja	ja
siis	siis
panema	`pan'di
pann	pan'ni
peale	`piäle
ja	ja
kui	kui
nemad	nad
seal	säl
ilusti	ilus'ti
ära	ää
moorima	`moorisid
siis	siis
olema	ol'i
ikka	`ikke
tore	tore
sööma	`süija
küll	küll
jah	jahh
ikka	`ikke
olema	ol'id
kas	kass
siis	siiss
tegema	`tehti
või	või
olema	ol'i
vana	vana
jõul	`jõulu
järgi	`järge
veel	veel
või	või
ikka	`ikke
olema	ol'id
vorst	vor'stid
ei	ei
siin	sii
ei	ei
tegema	`tehtud
mina	maa
ei	ei
see	seda
ei	ei
mäletama	määlettä
enam	änam
mis	mess
