masin	masinad
see	sie
ikke	`ikke
hiljem	il'lem
tulema	tuli
juba	juba
Eesti	eesti
aeg	aeg
olema	oli
mina	maa
muu	muud
ei	ei
teadma	tia
kui	kui
Eesti	eesti
rukis	rukkis
jah	jahh
e	e
kas	kass
kas	kass
kas	kass
Rootsi	rootsi
rukis	rukkis
olema	oli
üks+kord	üks+kord
või	vöi
mis	mis
see	se
olema	oli
Praase	Praasel
vist	vist
olema	oli
Rootsi	rootsi
rukis	rukkit
ei	ei
mina	ma
nüüd	nüd
rohkem	rohkem
mina	mina
siis	siiss
kaer	kaeral
see	sell
aeg	aeal
rohkem	`rohkem
ei	ei
teadma	tian
kui	kui
teine	tene
ütlema	`üitti
laka+kaer	lakka+gaer
see	sie
see	sie
võrval	`vörlad
olema	olid
üks	öhe
üks	öhel
pool	puool
nagu	nagu
ütlema	`ütleme
nagu	nagu
hobuse+lakk	obuse+lakk
olema	oli
ja	ja
teine	teine
ütlema	`üitti
võrval+kaer	vörral+gaer
e	e
kaks	`kahte
kaer	`kaera
mina	ma
teadma	tian
aga	aga
siis	siis
noh	nohh
hiljem	illem
meie	meil
olema	oli
see	sie
elama	elas
meie	mei
naaber+küla	`naabre+külas
üks	üks
see	see
Julius	Juulus
Aami+sepp	Aami+sep
mis	miss
hiljem	il'lem
olema	oli
suur	suur
sordi+aretaja	sordi+arettaea
kus	kus
tema	ta
seal	sial
Jõgeva	Jögeval
praegu	`präägu
tema	tema
poeg	poeg
olema	onn
see	sie
Ilmar	`Ilmar
Aami+sepp	Aami+sep
mis	mis
tema	ta
olema	onn
see	sie
põllu+töö	pöllu+döö
minister	ministri
esimene	esimene
ase+täitja	ase+`däitja
mis	mis
tema	ta
olema	onn
tema	tema
aretama	arettas
kõik+sugu	keik+sugu
sort	`sorttisi
kartul	karduld
olema	oli
mitme+sugu	`mitmed+sugu
sort	`sorttisi
ja	ja
kaer	`kaeru
tema	tall
pidama	pidi
olema	olema
kaheksa+teist	kaheksa+deist
sort	`sortti
mina	mena
kuulma	`kuulssin
siis	siis
mina	maa
tema	ta
oma	oma
jutt	juttust
ei	ei
teadma	tia
küll	küll
aga	aga
muidugi	mud'ugi
eks	eks
need	neid
aga	aga
siis	siiss
siin	sin
harilikult	arilikkult
ei	ei
pidama	`piettud
jah	jahh
küla	külas
siin	siin
rohkem	`rohkem
kui	ku
need	ned
kaks	kaks
sort	`sortti
mina	ma
teadma	tian
ja	ja
oder	`otra
olema	oli
ka	kaa
noh	nohh
kaks	`kahte
kaks	`kahte
selts	`sel'ti
teine	teene
ütlema	`üitti
Rootsi	rootsi
oder	oder
ja	ja
see	se
teine	teene
maa+oder	maa+oder
maa+oder	maa+oder
olema	oli
nelja+tahuline	nel'la+tahuline
natuke	nattukke
peenem	peenema
iva	ivaga
ja	ja
siis	siiss
Rootsi	rootsi
oder	oder
olema	oli
jaoline	`jäuline
aga	a
siis	siiss
maa+oder	maa+oder
ütlema	`ööldi
et	ett
see	sie
pidama	pidi
paremini	paremini
kasvama	`kasvama
minema	minema
linnas	linnaseid
see	selle
jaoks	jaoks
ikka	`ikka
pidama	`pietti
see	seda
maa+oder	maa+`otra
ikka	`ikka
et	ett
linnas	linnastest
õlle+linnas	ölle+linnaseid
tegema	tiha
need	need
minema	läksid
hästi	`äs'ti
kasvama	`kasvama
ja	ja
pidama	pidi
magusam	magusamad
ka	kaa
ikka	`ikka
olema	olema
aga	aga
natuke	nattuk
peen	peenemad
olema	olid
küll	küll
aga	aga
aga	aga
siis	siis
Rootsi	rootsi
oder	odrast
see	sellest
tegema	`tehti
siis	siis
tang	`tangu
ja	ja
kruup	`kruuppi
ja	ja
ja	ja
see	seda
odra+jahu	odra+jahu
ja	ja
muidugi	mud'ugi
loom	loomadel
ka	kaa
veel	veel
kes	kenel
see	seda
olema	oli
rohkem	`rohkem
ja	ja
et	et
muu	muud
mis	mida
kartul	kardulid
kartuli+sort	karduli+sordist
mis	miss
mina	maa
kõige	keige
mina	maa
olema	olin
üsna	üsna
poiss+laps	poisi+laps
kui	kui
vana+isa	vana+isa
veel	veel
ikka	`ikka
nimetama	nimettas
et	ett
olema	oli
üks	üks
Visman	`vismani
kartul	karduled
need	need
pidama	piid
kõige	keige
parem	paremad
sööma	sööma
kartul	kardulad
kange	`kanged
pisikene	pisikkesed
mis	miss
kasvama	`kasvasid
enam	änam
ei	ei
mäletama	määletta
tõesti	`töesti
milline	millised
nemad	nad
olema	olid
siis	siis
olema	oli
kaheksa	kaheksa
number	`numred
väga	väga
hea	iad
söögi+kartul	söögi+karduld
olema	olid
ja	ja
pikk	pikkad
üks	üks
selts	sel'ts
olema	oli
pikk	pikk
ja	ja
pärast	pärast
hiljem	il'jem
tulema	tulid
ütlema	`üitti
Taani	taani
pikk	pikkad
need	need
olema	olid
need	need
ka	koa
sama+taoline	sa( m )ma+`taolest
need	need
minema	läksid
rohkem	`rohkem
Rootsi	`Rootsi
Rootsi	`Rootsi
tahtma+ki	tahettigi
ikka	`ikka
pikergune	pikkergust
kartul	karduleid
saama	`saada
e	e
Paldiski	Paldiski
sadam	sadamast
minema	läksid
ju	ju
palju	`pal'lu
laev	`laevu
Rootsi	`Rootsi
ja	ja
meie	me
Ranna+küla	Ranna+güla
mees	mied
just	jüst
kartul	karduleste
najal	naeal
nemad	naad
elama+ki	elasidgi
kartul	kardulest
saama	said
müüma	`müija
sügise	sügise
ja	ja
kevade	kevadi
ja	ja
siis	siis
see	sellest
see	see
peamine	`piamen
raha	raha
saamine	`saamene
olema+ki	oligi
ju	ju
vili	vili
kasvama	`kasvas
muidugi	mud'ugi
viletsam	viletsam
siin	siin
ja	ja
ja	ja
siis	siis
e	e
noh	nohh
hiljem	il'lem
tulema	tuli
siis	siss
juba	juba
majesteet	maijesteedid
ja	ja
ja	ja
need	neet
Teodoora	teadaarad
ja	ja
mis	mis
nemad	nad
olema	olid
Peladonna	peladonnad
ja	ja
ja	ja
teine	teesed
sort	sordid
noh	nohh
no	no
nüüd	nüid
praegu	`präägu
nüüd	nüit
mina	maa
teadma+ki	`tiagi
need	neid
sort	`sorttisi
mis	mis
need	ned
kõik	köik
olema	on
siis	s
seal	sial
Olev	olevid
ja	ja
Sulev	sulevid
ja	ja
Kalev	kalevid
ja	ja
ütlema	`üitti
maa+hark	maa+ark
või	vöi
maa+kirves	maa+kirves
noh	nohh
nagu	nagu
harilik	arilik
kirves	kirves
teist+pidi	teist+pidi
vars	varre
ots	`otsa
panema	`pandud
pikk	pikk
vars	var'ss
ja	ja
ots	ots
pidama	pidi
tingimata	`tingimatta
varre+ots	varre+ots
pidama	pidi
tingimata	`tingimat
kõver	köver
olema	olema
siis	siiss
siis	siis
hästi	`iasti
käsi	`kääga
hästi	iast
saama	sai
kinni	`kinni
haarama	aaratta
ja	ja
siis	siis
see	sellega
see	seda
sööt	`süötti
siis	siis
seal	sial
see	sie
olema	oli
üks	üks
väga	väga
raske	`raske
ja	ja
vaevaline	vaevalene
töö	tüö
aga	aga
see	sellega
tegema	`tehti
väga	väga
palju	pal'lu
põld	`pöldusi
aga	aga
noh	nohh
hiljem	il'lem
kui	kui
juba	juba
pöörd+sahk	püör+sahad
välja	`väl'la
tulema	tulid
ja	ja
siis	sis
juba	juba
hakkama	akkatti
kündma	`künma
uudis+maa	uudis+maid
e	e
siis	siis
nuga	nuga
oma	oma
maa+sepp	maa+seppa
tegema	`tehtud
nuga	nuga
olema	oli
ees	ies
ja	ja
see	see
lõikama	`leikkas
kriips	kriipsu
ette	`ette
ja	ja
siis	sis
siis	siis
tegema	`tehti
siis	siis
olema	oli
ikka	`ikka
juba	juba
hõlpsam	`ölpsam
see	se
uudis+maa	uudis+maa
tegemine	tegemene
aga	aga
üsna	üsna
vanasti	vanasti
olema	oli
jah	jahh
ainult	ainult
see	sie
harimine	`arkkimene
ütlema	`üitti
maa+harimine	maa+`arkkimene
nii+moodi	ni+modi
jah	jaahh
üsna	üsna
noor	noor
olema	olin
kui	kui
Jõõsu	`Jöösu
kõrts	`körtsu
mäletama	mälettan
veel	viel
see	sie
see	sie
hoone	oone
olema	oli
siis	siis
ja	ja
seal	sial
vist	vist
mina	maa
arvama	arvan
üks+kord	üks+kord
poiss	poestega
võtma	`vötsime
ka	kaa
pudel	pudeli
õlu	ölut
see	sie
olema	oli
aga	aga
teine	`teisu
siin	siin
noh	nohh
mis	mis
tema	ta
nüüd	nüid
see	see
olema	oli
Kiriku	Kiriku
kõrts	körts
Kruusa+augu	Kruusagu
kõrts	körts
iga	iga
vald	vallal
olema	oli
oma	oma
kõrts	körssid
no	noo
Kase+pere	Kase+bere
see	see
olema	on
Padise	Padiselt
üks	üks
kilo+meeter	kilu+`meetter
siia	`siijä
Tallinn	Tal'lina
poole	`poole
no	noo
seal	sial
olema	oli
hiljem	il'lem
ikke	`ikke
juba	juba
e	e
seal	sial
olema	oli
jah	jahh
ikka	`ikka
kui	kui
mina	ma
ikka	`ikka
jah	jahh
e	e
kogu	kogu
aeg	aeg
olema	oli
ikka	`ikka
seal	sial
õlu	ölut
jah	jahh
eks	eks
vein	`veini
vist	vist
ka	kaa
olema	oli
viin	`viina
ei	ei
olema	oln
viin	viinal
olema	oli
ainult	aenolt
monopol	monoppolid
Paldiski	Paldiskis
ja	ja
ja	ja
Korevi	Korevill
ja	ja
ja	ja
siis	siis
Vasalemma	Vasalemas
olema	olid
monopol	monoppolid
viin	`viina
mujal	mueal
ei	ei
olema	oln
kõrts	`körtsi
jah	jahh
ja	ja
Pudi+vere	Pudi+beres
ei	ei
olema	oln
ka	kaa
seal	sial
siis	siis
ei	ei
olema	oln
ka	kaa
enam	anam
kõrts	`körtsi
kui	kui
mäletama	määlettama
hakkama	`aksin
Koka	Kokkal
olema	oli
kõrts	körts
veel	veel
ja	ja
iga	iga
mõni	möne
kilo+meeter	kilu+`meetre
peal	pial
olema	oli
ikka	`ikka
kõrts	körts
ja	ja
siis	siis
Jõõsu	`Jöösu
kõrts	körssu
kohta	`kohta
ütlema	`ööldi
noh	nohh
püha+päev	pühavä
õhtu	`öhtud
no	no
siis	siis
olema	olid
mees	mihed
minema	läin
ikka	`ikka
kiskuma	`kiskuma
ka	kaa
seal	sial
ja	ja
siis	siis
olema	olid
pikk	pikkad
juuksed	`juuksed
nagu	nagu
nüüd	nüid
praegu+ki	`praegaltki
ja	ja
siis	sis
ikka	`ikka
karu+pidi	karu+bidi
kiskuma	`kistut
jaa	jaa
siis	siiss
sall	sal'lid
ka	kaa
kael	`kaelas
ikka	`ikka
nii+et	nii+ett
esmaspäev	esmaspa
hommiku	omikku
olema	oln
ikka	ikka
juukse+karv	`juukse+`karvi
ja	ja
salli+tükk	sal'li+`tükka
olema	old
ikka	`ikka
kõrts	körssu
ees	ies
maas	maass
juba	juba
e	e
aru	aru
saama	`saada
et	et
vintis	`vinttis
pea	`piaga
tulema	tuleb
see	sie
tüli	tüli
ikka	`ikka
kergesti	`kergest
mina	mina
see	seda
ei	ei
mäletama	mäletta
aga	aga
mina	ma
kuulma	`kuulssin
et	et
ikka	`ikka
vanem	vanemad
mees	mihed
ikka	`ikka
rääkima	`rääksid
ja	ja
siis	siis
e	e
mm	mm
mina	mina
e	e
ei	ei
mina	mina
Kase+pere	Kase+beres
olema	oli
küll	küll
jah	jahh
Kase+pere	Kase+bere
kõrts	`körtsus
olema	oli
küll	küll
mina	maa
seal	sial
üks+kord	üks+kord
üks	üks
püha+päev	pühav
nojah	noojahh
käima	käisime
seal	sial
Kundru	`Kundru
Einder	`Eindri
pulm	pulmade
aeg	aeg
käima	käisime
see	se
olema	oli
rätsep	`rätsep
Prei	Prei
olema	oli
käima	käisime
sealt	sialt
miski	midagi
tooma	`tuomas
Kase+pere	Kase+bere
pood	poest
ja	ja
minema	läksime
sinna	senna
kõrts	`körtsi
ka	kaa
ja	ja
siis	siiss
seal	sial
jah	jahh
üks	üks
mängima	`män'gis
simmel	`simmelt
või	vöi
kannel	kannelt
kuidas	kudas
see	see
olema	oli
ja	ja
seal	sial
noorem	nooremad
tantsima	`tan'tsisid
ja	ja
ja	ja
siis	siis
noh	nohh
see	sie
see	selle
meie	meil
olema	olid
ju	ju
pulm	pulma
ajal	aal
olema	olid
pulm	pulma
pidu	pidu
olema	oli
teadma	`tiada
see	sie
olema	oli
neli+pühad	neli+bühi
püha	püha
jah	jahh
neli+pühad	neli+bühi
teine	teene
püha	püha
olema	oli
siis	siis
pulm	pulmad
seal	sial
naabri+pere	`naabre+peres
ja	ja
ajama	`aetti
meie	meit
miski	midagi
tooma	`tuoma
see	sie
üks	üks
rätsep	`rätsep
olema	oli
seal	sial
see+kord	see+gord
õmblema	`ömles
seal	sial
peig+mees	`peimel
seal	sial
üli+kond	üli+gonna
ja	ja
mina	minul
ja	ja
ja	ja
siis	siis
tema	tema
tahtma	`tahtis
et	ett
mina	maa
pidama	pidin
õlu	ölut
ostma	`ostmä
seal	sial
ja	ja
mina	mina
ei	ei
ostma	`ostnud
ja	ja
tulema	tulin
ennem	ennem
tulema	tulema
ja	ja
pulma+maja	pulma+maeas
olema	oli
muidugi	mud'ugi
õlu	ölut
mis	miss
asi	`as'sa
meie	mee
siin	siin
õlu	ölut
ostma	ostame
ja	ja
ja	ja
niuke	nihukke
jooma+mees	jooma+mies
olema	oli
ja	ja
pärast	pärast
minema	läks
üks	üks
uur	uur
kaduma	kaduma
tema	tema
käest	kääst
veel	viel
üks	üks
must	must
uur	uur
olema	oli
jaa	jaa
ja	ja
ajama	aas
mina	minu
süü	süiks
et	ett
mina	mina
olema	olen
et	ett
see	see
olema	on
mina	münu
kätte	`kätte
jääma	jään
aga	aga
aga	aga
tegelikult	tegelikkult
ei	ei
mina	mina
ei	ei
teadma	tian
see	sest
uur	uurist
miski	midagi
jaa	jaa
jaa	jaa
asi	asi
olema	oleks
väga	väga
paha	pahaks
minema	läin
aga	aga
hiljem	il'lem
leidma	`leitti
see	sie
uur	uur
see	selle
kõrts	kör( t )su
taga	taga
olema	oli
üks	üks
kartuli+põld	karduli+pöld
ja	ja
seal	sial
olema	oid
see	selle
kõrts	körtsi
keegi	kellegi
siga	siad
olema	olid
sinna	senna
sinna	`senna
kartul	karduliss
minema	läin
ja	ja
nemad	nad
mees	mihed
minema	läksid
sealt	sialt
need	neid
siga	siga
taga	taga
ajama	aeama
jaa	jaa
jaa	jaa
ja	ja
kaotama	`kaottas
muidugi	mud'ugi
uur	uuri
ära	ära
sinna	`senna
kartuli+vagu	kardul+`vaode
all	all
leidma	`leidis
üles	ülesse
ja	ja
siis	siis
ja	ja
siis	siis
ja	ja
siis	siis
mina	maa
saama	sain
süü	süist
lahti	`lahti
no	noo
ja	ja
siis	siis
olema	olime
Ula	Ula
Juhan	Juhaniga
üsna	üsna
poisikene	poisikkesed
kui	kui
Uueda	Uuwedall
need	need
need	neid
tuba	tua
palk	`pal'kka
maha	maha
seal	siall
Kobru	Kobrul
Kobru	Kobru
mets	`metses
ei	ei
Maa+vahe	Maa+vahe
Maa+vahe	Maa+vahe
mets	metsas
ikka	`ikka
jah	jahh
meie	mee
olema	olime
aitama	`aittasime
võtma	`vötta
see	see
meie	me
ikke	`ikke
noh	nohh
leer	`lierin
ikke	`ikke
vist	vist
olema	olime
tulema	tulime
sealt	sialt
tagasi	tagas
siis	siis
e	e
minema	läksid
jälle	`jälle
edasi	edasi
noh	nohh
siis	siis
ostma	`os'sime
mõlemad	mölemaga
kokku	`kokku
üks	ühe
pudel	pudeli
õlu	ölut
aga	aga
Juhan	Juhanil
olema	oli
ikka	`ikka
õlu	ölle
isu	isu
rohkem	`rohkem
ütlema	üts
ostma	ostame
veel	viel
ostma	ostam
veel	viel
noh	nohh
mina	mina
ei	ei
tahtma	tahnd
need	neid
raha	raha
olema	pöln
ju	ju
ka	kaa
kus	kuss
see	sie
noor	noor
poisike	poisik
see	selle
raha	raha
võtma	vöttab
see	`selle
jah	jah
niisuke	nisukst
niisuke	nisukst
mõni	möned
üksik	üksikkud
juhtumine	`juhtused
jääma	jään
meel	`miele
need	need
olema	olid
muist	muist
olema	olid
tatar	`tattaarid
ja	ja
e	e
mõni	möni
olema	oli
eestlane	`iestlane
ka	kaa
ikka	`ikka
jah	jahh
suur	sured
pamp	pambud
olema	olid
selg	`sel'gas
riide+pamp	`riide+pambud
ja	ja
käima	käisid
ikka	`ikka
ringi	`ringi
mööda	möda
pere	peresi
ja	ja
noh	nohh
seal	sial
võtma	`vöetsid
oma	oma
pamp	pamp
lahti	`lahti
ja	ja
tegema	`tehti
laduma	`laotti
kõik	köik
riie	`riided
laiali	laijali
kangas	`kangad
laud	lauwa
peale	`piale
ja	ja
vahest	vahest
mõni	möni
pere	peres
ei	ei
ostma+ki	ostettudki
eks	eks
nemad	nad
saama	said
vaev	`vaeva
küll	küll
nägema	näha
aga	aga
ikka	`ikka
raske	`rasked
pamp	pambud
olema	oid
ikka	`ikka
siis	siiss
küürus	`küirus
minema	läksid
ja	ja
mis	miss
panema	panim
ime	imeks
mis+moodi	miss+`moodi
nemad	nad
jaksama	jäksasid
tassima	`tas'sida
need	neid
seal	sial
olema	oli
igat+sugu	igat+sugu
kangas	`kangaid
no	noo
üli+kond	üli+gonna
riie	`riideid
olema	olid
ikka	`ikka
vähe	vähä
rohkem	`rohkem
niisuke	nisukst
värviline	värvilest
sits	`sitsi
jaa	jaa
niisuke	nisukst
ja	ja
hiljem	il'lem
käima	käisid
tatar	`tattaarid
ikka	`ikka
need	nendega
ja	ja
jah	jahh
olema	olid
siis	siis
kusagil	kusagil
öö+maja	üö+maeal
siis	siis
see	sellest
andma	`an'tti
jälle	jälle
natuke	nattukke
riie	riijet
see	selle
eest	iest
ja	ja
sööma	`süija
ja	ja
vat	vatt
see	sie
olema	on
ka	kaa
natuke	nattukke
meel	`mieles
jääma	jään
ja	ja
no	noo
mustlane	`mustlasi
need	neid
olema	oli
olema	oli
küll	küll
liikuma	`liikkumas
talvel	`talve
ja	ja
sui	sui
sui	sui
olema	olid
laager	`laagres
kusagil	kusagil
mets	metsa
ääres	`ääres
talv	`talved
ajama	aeasid
mööda	`mööda
pere	peresi
tahtma	`tahtsid
öö+maja	üö+maeale
jääma	`jääda
aga	aga
igal+pool	igal+puol
ei	ei
võtma	`vöettud
need	neid
ja	ja
ajama	`aetti
välja	`väl'la
ja	ja
õuest	`öuwest
ja	ja
nüüd	nüid
nüüdne	`nüitsel
aeg	aeal
enam	änam
mustlane	`mustlased
ei	ei
teadma	tia
olema	pöle
kuulma	`kuulda
olema	oln
kus	kus
nemad	nad
olema	onn
saama	saan
olema	onn
need	neid
kusagil	kusagil
veel	viel
aga	aga
vanasti	vanasti
olema	oli
need	neid
küll	küll
liikuma	`liikkumas
ja	ja
petma	`pet'sid
ka	kaa
inimene	inimesi
ja	ja
vaatama	`vaatsid
käsi	kätt
ja	ja
ja	ja
norima	norisid
raha	raha
ja	ja
toidu+kraam	toidu+`graami
ja	ja
kõik	keik
jah	jahh
mõni	möni
vana+tüdruk	vana+tüdruk
andma	`andis
veel	veel
kuld	`kulda
nemad	nendel
ja	ja
lubama	lubas
lubama	lubasid
mees	mihel
minema	min
et	et
saama	saab
mees	mehele
ja	ja
et	et
Sepp	Seppa
Juhan	Juhan
üks+kord	üks+kord
noh	nohh
e	e
mina	ma
ei	ei
teadma	tia
kes+see	kisse
jälle	`jälle
kus	kuss
koht	kohas
see	see
jälle	`jälle
olema	oli
et	ett
mäletama	määletta
kus	kuss
koht	kohas
olema	oli
üks	üks
vana+tüdruk	vana+düdruk
andma	and
ikka	`ikka
va	va
kuld	`kulda
nemad	`neile
ja	ja
Sepp	Seppa
Juhan	Juhan
kiruma	kirus
siis	siis
noh	nohh
et	et
kuri	kurjal
aru	aru
pea	pias
olema	onn
ei	ei
saama	saa
ära	ära
ütlema	öölda
kas	kass
see	sie
võtma	`vöttab
meie	meije
e	e
kooli+õpetaja	kooli+öppettaea
olema	oli
e	e
e	e
olema	oli
üks	üks
vana	vana
mees	mies
olema	oli
aga	aga
tema	taa
olema	oli
nii+sugune	niisukke
palve+vend	palve+vend
tema	taa
õpetama	öppettas
laps	`lastel
ikka	`ikka
kõik	keik
mis	miss
nemad	`nendel
vaja	vaea
olema	oli
piibel	`piible
järel	järel
vaekked	vaekked
piibel	`piivle
lugu	lugu
olema	oli
jah	jahh
jaa	jaa
jaa	jaa
piibel	`piibli
ja	ja
ja	ja
need	need
aga	aga
nemad	naad
rääkima	`rääkkist
ikka	`ikka
nii+sugune	niisukkese
jumalik	jumalikku
asi	as'sast
nägemata	nägematta
asi	as'sast
aga	aga
no	no
nüüd	nüid
olema	onn
nüüd	nüid
olema	on
kool	koolides
olema	onn
mis	miss
elu	elus
tarvis	`tarvis
inimene	inimisel
olema	onn
õpetama	öppettaks
jaa	jaa
jaa	jaa
jaa	jaa
e	e
jaa	jaa
usklik	`usklikku
asi	`as'su
olema	onn
vist	vist
nüüd	nüd
kool	`koolis
vähe	vähä
nüüd	nüid
olema	on
elu	elu
e	e
elu	elu
tarve	`tarbe
asi	as'sad
mina	mull
oma	oma
poja+poeg	poja+poeg
käima	käis
kolhoosi+kool	koloosi+`kuolis
väga	väga
õpetama	ööppettud
asi	as'sad
juhtum	`juhtumed
mis	miss
elu	elus
olema	on
juhtuma	`juhtun
see	sie
e	e
nii	nii
kõik	keik
nii+sugune	nisugesed
tarvilik	tarvelikkud
asi	as'sad
olema	olid
mis	mess
laps	lapsed
pidama	pidid
õppima	`öppima
ja	ja
hoidma	`oidma
ka	koa
kus	ku
e	e
kus	kuss
nii+sugune	niisukke
e	e
surmav	`surmav
koht	koht
olema	onn
jah	jahh
ei	ei
noo	noo
tükk	tükkid
andma	`an'tti
ette	`ette
ja	ja
eks	eks
ikka	`ikka
täht	tähäd
õpetama	öppettadi
ka	koa
laps	`lastel
täht	tähäd
õpetama	öppettadi
ja	ja
jaa	jaa
jaa	jaa
jaa	jaa
ikka	`ikka
siis	siiss
siis	siiss
märkus	`märkkus
ka	koa
ikka	`ikka
mis	mis
see	sie
tähendama	tähändab
jaa	jaa
jaa	jaa
jaa	jaa
Vene	vene
keel	kele
laul	laulud
olema	olid
veel	vel
enam	änam
ikka	`ikka
nii+sugused	nisukkesed
e	e
meie	meil
olema	oli
ju	ju
riik	riigi
juht	juht
olema	oli
ju	ju
siis	siis
keiser	`keiser
aga	aga
keiser	`keisre
valitsus	valitsuse
aeg	aeg
olema	oli
kibe	kibe
elama	elada
raha	raha
saamine	`saamene
olema	oli
väga	väga
väga	väga
vähe	vähä
kopikas	koppikka
viisil	viisil
ei	ei
siis	siiss
olema	pöln
e	e
raha	raha
see	selleks
et	ett
tarvis	`tarvis
viin	`viina
ostma	ost
neli+kümmend	neli+gümnd
viis	viis
kopikas	koppik
maksma	`maksis
pool	pool
toop	`tuooppi
aga	aga
aga	aga
ega	ega
see	seda
raha	raha
ka	koa
ei	ei
olema	oln
mees	meestel
et	et
nemad	nad
olema	oleks
see	seda
ostma	ost
purjus	`purjus
mees	mehi
olema	oli
ikka	`ikka
vähe	vähä
aga	aga
nüüd	nüid
olema	on
juu	juu
see	see
raha	raha
saamine	`saamene
kerge	`kerge
elu	elu
olema	onn
kerge	`kerge
vana	vana
elu	elu
hulgast	`ulgast
vana	vanu
ei	ei
unustama	unustada
ka	koa
ära	ää
nagu	nagu
mina	mina
siin	siin
mina	maa
saama	saan
pinss	`pintsi
andma	`anttakse
ikka	`ikka
pinss	`pintsi
ja	ja
ja	ja
mina	maa
saama	saan
kasum	kasumit
ka	koa
andma	`anttaks
võima	vöin
ikka	`ikka
rõõmsasti	`röemsaste
toit	`toittu
kõik	`keikke
suu	suhu
mis	miss
süda	süda
kutsuma	kutsub
võima	vöib
saama	`saada
ja	ja
kõik	keik
olema	on
olema	olemes
ka	koa
pood	`poodide
sees	sees
jaa	jaa
raske	`raske
olema	oli
elama	elada
ohh	ohh
looja	`looja
sõda	söea
aeg	aeg
mina	mu
mees	miees
olema	oli
sõda	söeas
elama	ela
neli	nella
laps	lapsega
pisike	pisikst
laps	lapsed
ja	ja
pidama	pia
siis	siis
koht	`kohta
täis+ealine	täis+`ialesi
sulane	sulast
sina	sa
ei	ei
saama+ki	`saangi
kuskilt	`kuskilt
need	need
olema	oid
sõja+teenistus	söa+deenistus
poisike	poesikkesi
saama	sai
aga	aga
need	need
ei	ei
oskama	osan
teine+kord	teene+gord
e	e
hobune+ki	`oostki
seadma	`siada
hobune	obused
olema	oid
märg	märjad
ja	ja
ei	ei
oskama	osan
maa+töö	maa+tööd
tegema	teha
laps	lapsed
olema	pöln
poisike	poisikkest
olema	pöln
õppima	`öppin
ei	ei
enam	änam
tahtma	tahaks
see	seda
teine	teist
tsaari+valitsus	tsaari+valitsust
aga	aga
muidu	muidu
tema	taa
olema	oli
ikka	`ikka
õiglane	`öiglane
kohus	`kohtuga
ikka	`ikka
veel	veeel
tegema	`tehti
ikka	`ikka
ei	ei
tegema	`tehtud
üle+kohus	üle+gohot
ka	koo
vist	vist
keegi	kellegil
seal	sial
olema	oli
nii+sugune	niisukkene
ahju+tagune	ahju+tagune
kus	kuss
kus	kuss
e	e
laps	lapsed
magama	magasid
kütma	`kütsid
ahi	ahju
soe	soeaks
ja	ja
panema	panid
ja	ja
panema	panid
jalg	jalad
mööda	möda
ahi	`ahju
e	e
ja	ja
pea	piad
muidugi	mud'ugi
väljas+pool	väl'la+ppool
tüdruk	tüdrukkud
sein	seina
pool	pool
ja	ja
poiss	poisid
väljas+pool	`väl'la+bool
aga	aga
üks+kord	üks+kord
lükkama	`lükkas
koer	koer
lükkama	`lükkasid
koer	koerad
uks	ukse
lahti	`lahti
ja	ja
tulema	tulid
karv	karu
pidi	bidi
poiss	poisi
poiss	pos'te
peale	`piale
sinna	`senna
noo	noo
ega	ega
see	see
ka	koo
keegi	kellegi
temp	temp
ei	ei
olema	olnd
et	ett
uks	uksele
ei	ei
saama	saan
välis+uks	välis+uksel
nii+palju	nii+`bal'lu
vari	`varju
et	et
koer	koerad
ei	ei
olema	oleks
sisse	`sisse
tulema	tuln
jaa	jaa
noo	noo
mäletama	mäletta
kuidas	kudas
need	need
koer	koerad
sealt	sialt
välja	`välla
minema	läksid
noo	noo
poiss	poisid
hakkama	`akkas't
kisa	kisa
pidama	pidama
ja	ja
koer	koerad
e	e
e	e
jooksma	`joosid
ehmatama	ehmattades
välja	`väl'la
siis	siis
kool+meister	kool+`meister
laps	lapsed
olema	olid
veel	veel
väike	`väiksid
suutma	suut
hao+vihk	ao+vihu
tuba	`tuppa
tooma+ki	`tuuwagi
kool+meister	kool+`meister
tooma	töi
ikka	`ikka
hao+vihk	ao+vihu
tuba	`tuppa
ja	ja
ja	ja
laps	lapsed
ise	ise
kütma	`kütsid
siis	siis
ei	ei
muidu	muidu
elamine	elamise
poolest	poolest
ei	ei
olema	oln
viga	viga
aga	aga
et	et
väga	väga
hooletu	oolettu
eks	eks
kott	`kottu
olema	oli
kaasas	`kaasas
kott	`kottu
saama	sai
toit	toit
juurde	`juure
võtma	`võettud
mina	ma
mäletama	mälettan
ühe+korra	öhö+gorra
võtma	`vötsin
meie	meil
olema	oli
viis	viis
verst	`versta
käima	`käijä
noo	noo
siit	siit
siit	siit
küla	külast
Annuse	Annuselle
see	sie
see	sie
see	sie
olema	onn
ju	ju
üks	üks
hulga	ulga
maa	maad
väike	`väiksed
laps	lapsed
pidama	pidid
see	selle
kõik	keik
ära	ää
käima	`käima
hommik	omikku
õhtu	`öhtu
võtma	`vötsin
toit	toidu
kott	`kottu
juurde	`juure
et	et
mina	maa
jääma	jään
öö	`öösiks
sinna	`senna
ja	ja
teine	teesed
keegi	`keegi
ei	ei
jääma	jään
ei	ei
julgema	`julgen
üksi	`üksi
ka	koo
sinna	`sõnna
