niisukene	niisukkeses
vald	vallast
tulema	`tulla
vald	valla
ametnik	ammetnikkud
ja	ja
mõõtma	`mõettis
tema	tall
olema	oli
posti+vahe	pos’ti+vahe
siis	siis
põld	`põldu
ja	ja
kõik	kõik
sedasi	sedasi
mõõtma	`mõettis
sealt	sialt
Kotku	Kotkust
välja	`väl’la
ja	ja
olema	oli
kolm	kolmeks
siis	siis
aga	aga
nüüd	nüid
ei	eij
olema	ole
seal	sial
Kotku	`Kotkus
enam	enam
keegi	kedagi
siit	siit
meie	meije
mööda	möda
kraav	kroavi
äär	äärt
minema	`minna
eks	es
tema	ta
üks	üks
post	pos’t
verst	verst
maa	moad
mis	mis
tema	ta
võima	võib
olema	`olla
või	või
olema	onn
tema	ta
natuke	nattukke
üle	üle
verst	versta
kes	kiss
tema	teda
sitt	`sitta
olema	onn
mõõtma	mõet
ega	ega
meie	meil
siit	siit
läbi	läbi
ee	e
raba	raba
hea	ia
hõlbus	õlbus
käima	`käija
käima	käisime
mari	marjul
enne	`enne
kasvama	`kas’vis
siin	siin
Kuusik+saare	Kuusik+sare
all	all
hea	äid
murakas	murakkid
vaatama	voatta
et	et
tänavu	tänavu
vist	vist
olema	oleks
tulema	tuld
jälle	`jälle
aga	aga
tänavu	tänavu
enam	enam
ei	ei
tulema	tule
külm	kül’m
võtma	`võt’tis
ära	ää
mina	maa
vaatama	`voattan
meie	meil
siin	siin
kaks	kaks
õuna+puu	õuna+bud
teine	teene
pisike	pisikke
hakkama	`akkas
esimene	esimest
kord	`korda
alles	alles
õitsema	`õitsema
ja	ja
et	et
külm	kül’m
võtma	`võt’tis
ära	ää
käima	käisin
esiti	`es’ti
kepp	keppiga
vaatama	`voattamas
murakas	murakkid
olema	oli
küll	küll
olema	oli
Kuusik+saare	Kuusik+sare
all	all
jah	jahh
kohe	kohe
kõik	`kõikki
Paide	`Paide
linn	linna
naine	naesed
olema	olid
seal	säl
mõni	mõned
panema	panid
alus+püksid	alus+`pükste
sisse	`sisse
korv	`korvidesse
ei	ei
minema	läind
aga	aga
nüüd	nüid
meie	meije
laps	lapsed
ee	e
minev+aasta	minev+aasta
käima	käisid
seal	sial
seal	sial
Kuusik+saare	Kuusik+sare
all	all
raba	rabas
kus	kus
nemad	nad
alati	alatti
kohe	kohe
punama	punas
siis	siis
ee	e
aga	aga
ei	ei
tänavu	tänavu
ei	ei
või	või
minev+aasta	minev+aasta
ei	eij
olema	ole
olema	old
ei	ei
olema	põle
tulema	tulid
siit	siit
korv	`korvidega
tagasi	tagasi
näitama	`näittasid
mõni	mõnel
olema	oli
üks	üks
kamalu+täis	kamalu+däis
ja	ja
mõni	mõnel
olema	oli
ikka	`ikke
ikka	ikke
toober	tuobri
osa	osa
ja	ja
ei	ei
olema	old
ja	ja
tänavu	tänavu
võib+olla	võib+`olla
olema	oleks
tema	ta
ilus	ilus
aeg	aeg
olema	old
et	et
külm	kül’m
ei	eij
olema	oleks
rikkuma	`rikkund
minev+aasta	minev+aasta
ei	eij
olema	old
ju	ju
õuna+puu	õuna+buttel
ka	koa
õis	`õisi
nägema	nää
tänavu	tänavu
olema	olid
õuna+puu	õuna+buttel
õis	õijed
ja	ja
saama	soab
nägema	näha
mis	mis
tema	ta
siis	ss
tegema	teind
külm	kül’m
nüüd	nüd
ju	ju
võtma	`võt’tis
nemad	nad
ära	ää
noh	nohh
sina	sa
pidama	pidid
talve	`talve
rohkem	`rohkem
ise	eneselle
toit	`toittu
valmis	`val’miss
ee	e
nagu	nagu
jahu	jahu
ja	ja
nihuke	nihukkest
asi	`as’sa
ega	ega
muidu	muedu
see	nied
olema	olid
hea	iad
põld	põllud
ega	ega
see	nied
kasvatama	kasvattasid
kartul	kardulest
ja	ja
nihuke	nihukkest
asi	`as’sa
olema	oli
mis	mis
sina	sa
maa	moast
olema	oli
see	see
see	nied
see	seda
olema	oli
nemad	neil
küll	küll
aga	aga
siis	siis
eks	eks
veski	`ves’kil
käimine	`käimene
olema	old
kõige	kõige
hull	ullem
nüüd	nüid
viimane	viimase
ots	otsa
käima	käisid
siit	siit
meie	meije
õu	õuwest
läbi	läbi
siis	siss
siit	siit
mööda	müda
kraav	kraavi
äär	äärt
siin	sii
olema	oli
kohe	kohe
päris	päris
tee	tie
mööda	müda
kraav	kraavi
äär	äärt
aga	aga
nüüd	nüid
minema	läks
tema	ta
siin	siin
kui	kui
siin	siin
paidnik	`paidnikkud
hein	`eina
tegama	tegid
ja	ja
sonkima	`sonkkisid
hullemini	ullemini
ära	ää
see	selle
sööt	süödi
tükk	tükki
siit	siit
eks	eks
nemad	nad
siit	siit
mina	mina
teadma	tia
siin	sii
olema	oli
ju	ju
riik	riigi
tegija	tegijaid
kõige	kõige
esimene	esimene
eks	eks
eks	eks
see	nied
kah	kahh
esiteks	`es’tiks
tegama	tegid
see	nied
kohe	kohe
kroonu	kruonu
poolt	puolt
ee	e
tegija	tegijad
olema	olid
ja	ja
siis	siis
pärast	pärast
nüüd	nüid
nüüd	nüid
mõõtma	`mõetsid
sinna	`sõnna
ise	`endille
tükk	`tükkisid
vist	vist
Väätsa	`Viatsi
kaup+mees+ki	kaup+mellegi
mõõtma	mõedetti
tükk	tükk
see	see
ka	koa
üks	üks
tükk	tükk
jälle	`jälle
ega	ega
ega	ega
mina	minul
olema	põld
nemad	nende
nimi	nimesi
nemad	naad
tulema	tulid
vahest	vahest
mõni	mõned
tulema	tulid
oma	oma
oma	oma
ah	ahh
jalg+ratas	jalg+`rattid
siia	`siija
panema	panema
ei	ei
julgema	`julgend
jätma	`jätta
õu	`õuwe
ikka	`ikke
et	et
vana+ema	vana+ema
vana	vana
et	et
meie	mee
ajama	aame
siin	siin
teine	teene
ait	ait
olema	oli
siin	siin
tühi	tühi
sinna	`sõnna
ait	`aitta
mina	mina
ütlema	`ütsin
ei	ei
mina	minul
olema	põle
see	seda
sinna	sõnna
keelama	kielatta
ega	ega
käskima	`käs’kida
et	et
see	seda
võima	`võitte
ise	ise
tegema	teha
et	et
ja	ja
mina	minul
mina	minul
ei	eij
olema	ole
vara	vara
noh	nohh
mina	ma
olema	olin
siis	s
ütlema	`ütleme
kümme	kümme
aasta	aastad
vana	vana
olema	põld
tegema	teha
siis	siis
mõis	`mõisa
siga	sia
kari	`karja
siis	siis
tooma	`toodi
Vahastu	Vahastust
tooma	`toodi
siga	sigu
sinna	`sõnna
Piiu+metsa	Piiju+metsa
siga	siad
siis	sis
kolm	kolm
päev	`pääva
olema	oli
suvi	sui
pealt	pialt
mõis	`mõisa
tegema	teha
kas	kass
kartul	karttulid
võtma	`võtta
mis	miss
tahes	tahes
siis	siis
see	neid
olema	oli
esimene	esimese
suvi	sui
neli+kümmend	neli+gümmend
viis	viis
siga	siga
olema	oli
mina	mull
karjatama	karjattada
siis	sis
tulema	tulid
nemad	nad
vahelt	vahelt
tulema	tulid
välja	`väl’la
õpetama	õppettada
magama	magama
panema	`panna
kui	kui
lõuna+aeg	`lõune+aeg
üks	üks
kaks	kaks
tund	`tun’di
pidama	pidid
nemad	nad
magama	magama
enne	`enne
ei	ei
tohtima	`tohtind
üles	ülesse
tõusma	`tõusta
keegi	`keegi
siis	siis
jälle	jälle
see	se
siis	sis
ja	ja
käima	käisid
ka	ka
väli	väl’lal
saama	said
nüüd	nüid
ikka	`ikke
hirm	`irmu
ja	ja
arm	`armu
ja	ja
kõik	`kõikki
ega	ega
olema	oli
põld	põld
kesa+põld	kesa+bõld
olema	oli
tema	tema
sööma	sõi
siin	siin
aga	aga
ega	ega
tema	ta
sealt	säält
kaer	`kaera
ega	ega
keegi	kedagi
muu	muud
asi	`as’ja
tohtima	`tohtind
üle	üle
peenar	`peenrade
võtma	`võtta
see	se
olema	oli
piir	piir
ja	ja
noh	nohh
aga	aga
sedasi	sedasi
minema	läks
ikka	`ikke
käima	käisid
seal	sial
siis	siis
tulema	tulid
üle	üle
jõgi	jõe
olema	oli
sealt	sialt
ajama	`aada
noh	nohh
sild	`silda
olema	põld
tahtma	taht
vesi	vie
sisse	sisse
minema	`minna
siis	siis
hakkama	`akkasin
õpetama	õppettama
üle	üle
puu	puu
minema	menema
esiteks	`es’teks
panema	panin
niuke	`niuksed
palk	pal’gid
mis	miss
olema	olid
tahuma	tahuttud
seda+pidi	seda+bidi
aga	aga
aga	aga
pärast	pärast
keerama	`kierasin
veel	vel
kui	kui
kuiv	kuiv
olema	oli
sedasi	seasi
ümmargune	ümmarguse
pool	poole
peale	`piale
siis	siis
hakkama	`akkasid
rida	reas
minema	menema
sealt	sialt
üle	üle
kui	kui
tema	ta
sisse	`sisse
juhtuma	`juhtus
kukkuma	`kukkuma
siis	sis
tema	ta
pidama	pidi
tulema	tulema
tagasi	tagasi
ja	ja
uuesti	uuwesti
ots	otsast
peale	`piale
jälle	`jälle
nii+kaua	nii+gauwa
kui	kui
üle	üle
mis	miss
ei	ei
tema	ta
ei	i
tohtima	`tohtind
minema	`minna
enne	`enne
kui	kui
tema	ta
juhtuma	`juhtus
puu	puu
pealt	pialt
kukkuma	`kukkuma
sisse	`sisse
siis	sis
tema	ta
pidama	pidi
tulema	tulema
tagasi	tagasi
jah	jahh
siit	siit
jälle	jälle
hakkama	`akkama
minema	menema
noh	nohh
ega	ega
viga	viga
ei	eij
olema	old
just	just
püüdma	`püitsin
vähk	`vähki
jälle	`jälle
siga	siad
sööma	sõid
seal	sial
see	se
olema	oli
lisa+raha	lisa+raha
noh	nohh
kolm+teist	kolm+deist
rubla	rubla
saama	sain
no	no
suvi	sui
pealt	pealt
noh	nohh
vähk	`vähkisi
püüdma	`püitsin
ka	kaa
sellal	`sellal
maksma	`maksis
kuus+kümmend	kuus+kümmend
kopikas	koppikke
ja	ja
viis+kümmend	viis+kümmend
kopikas	koppikke
sada	sada
ja	ja
see	sellega
teenima	`tienis
kah	kahh
siis	sis
vahete+vahel	vahette+vahest
olema	oli
jälle	`jälle
tegema	`tehti
tellis	tel’lis
kivi	kiva
hobune	obune
vedama	vidas
ringi	`ringi
ratas	rattas
siis	siis
kui	kui
mina	ma
see	selle
ümber+ringi	`ümmer+`ringi
ratas	`ratta
roobas	`rooppa
kivi	kiva
väike	`väikseid
kivi	kiva
tasuma	tasusin
täis	täis
see	selle
tasane	tasaseks
siis	siis
see	selle
eest	iest
saama	sain
kaks+kümmend	kaks+kümmend
kopikas	koppikke
siis	siis
vahel	vahel
tulema	tuli
jälle	`jälle
vana	vana
Eiprig	`Eiprig
tulema	tuli
ja	ja
nagu	nagu
härra	ärra
olema	oli
tulema	tule
sea+poiss	sia+bioss
minema	läme
kraav	`kraavi
puhastama	puhastama
suur	suured
konks	konksud
olema	olid
võtma	`võt’sin
sealt	sialt
mätas	`mätteid
välja	`väl’la
siis	siis
vahel	vahel
trehvama	`trehvas
või	või
andma	`an’dis
jälle	`jälle
kümme	kümme
viis+teist	viis+teist
kopikas	koppikkest
ja	ja
minema	läks
edasi	edasi
ei	ei
tema	ta
nüüd	nüid
ee	ee
oskama	`oska
ütlema	üttelda
paha	pahem
ega	ega
hea	ia
olema	oli
iga	igal
pool	pool
ja	ja
pidama	pidi
olema	olema
hea	iaks
noh	nohh
seal	sial
saama	sai
mina	ma
käima	käisin
ikka	ikke
veis	`veiste
kari	`karjas
ka	kaa
ja	ja
ja	ja
hobune	obuste
kari	`karjas
olema	olen
käima	käind
ja	ja
kõik+sugu	kõik+sugu
nali	nal’lad
ära	ää
tegema	teind
seal	sial
seal	sial
mõis	`mõisas
üksi	üksi
ikka	`ikke
ei	ei
sõitma	sõida
ratsa	`ratsa
mina	ma
katsuma	`katsusin
sõitma	`sõitta
aga	aga
aga	aga
kui	kui
selg	`sel’ga
istuma	istud
ei	ei
minema	läind
edasi	edasi
ja	ja
vahete+vahel	vahette+vahelt
saama	sai
ka	ka
tegema	teha
vedama	vidasin
sui	sui
kelk	kelgu
sinna	sõnna
üle	üle
jõgi	jõe
siis	siis
väike	veikke
härg	är’g
olema	oli
siis	s
panema	panin
siis	s
puu	puud
pea	pähe
ja	ja
see	selle
kelk	kelgu
ette	`ette
noh	nohh
ee	e
eks	eks
juhtuma	`juhtus
üks+kord	üks+kord
jõgi	`jõkke
minema	menema
kelk	kelk
alla	`alla
ja	ja
et	et
surema	sure
mina	maa
mõtlema	`mõt’sin
kui	kui
tema	ta
nüüd	nüid
surema	sureb
siis	sis
ära	ära
uppuma	uppub
et	et
mina	ma
katsuma	katsun
et	et
kelk	kelgu
kätte	`kätte
saama	saan
ja	ja
olema	onn
surema	surnd
olema	onn
surema	surnd
ega	ega
keegi	`keegi
siis	siis
teadma	tia
et	et
mina	mina
olema	olen
see	selle
vigur	viguri
tegema	teind
teine	teene
poiss	poiss
olema	oli
seal	sial
ka	kaa
seltsis	`sel’tsis
tema	tema
käima	käis
seal	sial
mina	mina
käima	käisin
tema	tema
hobune	`uoste
juures	juures
noh	nohh
püha+päev	püha+be
pidama	pidi
hakkama	`akkama
heina+vedu	eina+veo
talgu	`talgud
meie	meije
panema	panime
jälle	jälle
üks	ühe
sälg	sälu
kelk	kelgu
ette	`ette
see	see
olema	oli
see	see
saama	sai
kelk	kelguga
välja	`välja
hobune	obused
ette	`ette
tulema	tulid
siia	siija
Lõõla	`Lõõla
küla	küla
alla	alla
ja	ja
ei	ei
saama	saand
härja+pea	ärja+beid
vedama	vidada
ega	ega
keegi	kedagi
pärast	pärast
siis	sis
olema	olid
mina	ma
saama	sain
peksa	`peksa
veel	viel
ja	ja
sealt	sialt
tagasi	tagasi
tulema	tulem
hakkama	`aksin
siis	siis
mina	mina
olema	olin
taga	taga
härra	ärra
siis	siis
tema	tema
olema	oli
kutsar	`kutsar
ees	ies
siuke	`siukke
vesi	vie
loik	loik
olema	oli
mina	maa
siis	siis
andma	`an’tsin
jälle	`jälle
vemmal	`vemlaga
hästi	`iaste
olema	olin
nii	nii
mudane	mudane
ja	ja
märg	märg
kui	kui
mina	ma
üks+kord	üks+kord
tagasi	tagasi
saama	saime
pärast	pärast
hakkama	akkas
Epp	Epp
küsima	küsima
saama	sai
kuulma	`kuulda
et	et
olema	on
käima	käind
see	seda
teadma	tiand
et	et
et	et
Mart	Mar’t
olema	oli
see	selle
teine	teese
poiss	poisi
nimi	nimi
Mart	Mar’t
kus	kuss
kelk	kelk
olema	onn
mõni	mõned
mops	mopsud
saama	sai
ja	ja
ega	ega
tema	taa
ee	ee
vana	vana
Epp	Epp
olema	oli
siuke	siukke
tema	ta
et	et
peksa	`peksa
tema	ta
andma	`an’dis
vana	vana
mees	mestele
kah	kahh
et	et
tulema	tule
tema	tall
olema	oli
suur	suur
mees	mees
ja	ja
tugev	tugev
mees	mees
viima	viis
tall	`tal’li
ja	ja
kere	kere
peale	piale
pärast	pärast
ei	ei
minema	läind
keegi	`kiegi
aga	aga
mina	mina
mõtlema	`mõt’sin
see	seda
et	et
kui	kui
tema	ta
mina	mind
ka	kaa
juhtuma	`juhtub
lööma	`lööma
et	et
kätte	`kätte
tema	ta
ei	i
saama	saa
ja	ja
mina	mull
olema	oli
pikk	pikk
piits	piits
ja	ja
mina	mina
piits	piitsaga
andma	annan
aga	aga
sedasi	sedasi
trehvama	`trehvasid
et	et
mina	mina
mitte	`mitte
üks	üks
noks	noks
ei	ei
saama	saand
ja	ja
tema	tema
jääma	jäi
ka	koa
ilma	ilma
aga	aga
mina	minul
olema	oli
see	se
mõtlema	`mõeldud
et	et
nii+pea	nii+bia
kui	kui
tema	ta
andma	annab
piits	piitsaga
virutama	viruttan
ja	ja
kätte	`kätte
tema	ta
mina	mind
ei	ei
saama	saa
see	seda
mina	ma
teadma	tian
ja	ja
jälle	`jälle
andma	annan
aga	aga
nägema	nää
see	see
temp	temp
tema	tema
ei	ei
tulema	tuld
tema	tema
ei	ei
noksama	noksand
mina	mind
ja	ja
mina	minul
olema	põld
ka	koa
asi	`as’ja
siis	siis
no	noo
mõis	mõis
olema	oli
sealt	sialt
ee	e
päris	päris
ee	e
see	see
olema	oli
jätma	`jäättud
põld	põld
seal	sial
käima	käisid
ja	ja
siis	siis
teine	teine
seal	sial
käima	käisid
ja	ja
nagu	nagu
nüüd	nüid
olema	onn
nüüd	nüid
see	sell
aeg	al
käima	käisid
nüüd	nüid
käima	käisid
kesa	kesa
väli	väl’lal
kesa	kesa
peal	peal
nagu	nagu
kus	kuss
rukis	rukkis
saama	sai
tegema	`tehtud
noh	nohh
kui	kui
saama	sai
juba	juba
ristik+hein	ristikk+ein
ära	ära
ristik	ristikka
põld	põllu
peale	piale
sügise	sügise
jälle	`jälle
mööda	möda
väli	`väl’la
kõik	kõik
nagu	nagu
rõuk	rõugu
ase	asemed
ja	ja
käima	käisid
seal	seal
sööma	`söömas
ja	ja
nii+kaua	nii+gauwa
kui	kui
külmetama	külmettas
mina	maa
olema	oli
külmetama	külmettand
juba	juba
ei	ei
olema	ole
niuke	niukkest
udu	udu
aga	aga
vanasti	vanasti
olema	oli
tema	tema
nii	nii
paks	paks
udu	udu
et	et
ega	ega
sina	sa
viis+teist+kümmend	viije+deis+kümne
samm	sammu
pealt	pealt
vaevalt	vaevalt
nägema	nägid
hobune	oost
sina	sa
pidama	pidid
kohe	kohe
juures	juures
just	just
olema	olema
noh	nohh
härg	ärjad
olema	olid
ka	kaa
siis	siis
kümme	kümme
härg	`ärga
olema	olid
ja	ja
hobune	obused
ja	ja
kõik	kõik
segamini	segamini
siis	siis
olema	olime
kahekesi	kahekkesi
ei	eij
olema	old
see	sell
aeg	al
ee	e
hunt	`un’tte
hunt	`un’tti
ei	eij
olema	old
mina	mina
ei	ei
juhtuma	`juhtund
nägema	nägema
aga	aga
meie	meije
mina	mull
õde	õde
olema	oli
tema	tema
käima	käis
ennemasti	ennemasti
kui	kui
üks+kord	üks+kord
tulema	tuli
nemad	nemad
käima	käisid
lammas	lammaste
kari	karja
juurde	`juurde
tulema	tuli
aga	aga
mina	mina
ei	ei
trehvama	trehvand
nägema	nägema
ee	ee
ee	ee
väljas	`väl’las
kus	kuss
karja+maa	karjas+ma
olema	oli
töö	töö
hobune	obused
olema	olid
töö	tööl
ja	ja
mm	m
mm	m
tema	tema
olema	oli
kui	kui
nüüd	nüid
rääkima	räägime
see	sest
viies	viijendamast
aasta	aastast
olema	oli
niukene	niukkene
lugu	lugu
jõul	jõulu
laat	laat
olema	onn
kuus+teist+kümmend	kuuwe+deis+`kümnel
september	sep`tembril
ja	ja
siis	siis
pidama	pidid
tulema	tulema
Tallinn	Talina
poolt	poolt
see	ned
mees	mehed
pidama	pidid
just	just
Paide	`Paide
tulema	tuleme
ja	ja
siin	siin
pidama	pidid
olema	olema
kokku	`kokku
kus	kuss
tulema	tulem
aga	aga
siis	siis
öösi	`öösse
olema	olid
nemad	nad
Lõõla	`Lõõlas
ja	ja
kes	kiss
olema	oli
jälle	`jälle
ütlema	ütteld
et	et
ee	e
Paide	`Paide
ei	ei
maksma	maksa
minema	`minne
et	et
seal	sial
olema	onn
vastas	`vastas
ja	ja
siis	sis
olema	oli
jälle	`jälle
teadma	`tiattud
et	et
just	just
kell	kell
kaks+teist	kaks+teist
pidama	pidid
olema	olema
Paide	`Paides
seal	sial
Lai	Laija
uulits	uulitsal
mina	ma
ei	i
mäletama	mäletta
nüüd	nüid
misuke	misukke
maja	maea
siis	siis
seal	sial
trehvama	`trehvama
ootama	`uotsime
ootama	`uotsime
ei	ei
tulema	tuld
keegi	kedagi
no	no
siis	siis
õhtu	`õhtu
kui	kui
mina	ma
tulema	tulin
siis	siis
juba	juba
Lokuta	Lokkutta
mõis	mõis
põlema	põles
et	et
minema	lähme
minema	minge
surnu+aed	`surnu+aed
olema	oli
mina	mina
ütlema	`ütlen
jälle	`jälle
et	et
aga	aga
mis	miss
siis	sis
nüüd	nüid
mina	mind
ja	ja
siin	siin
meie	meid
ajama	`aettakse
kui	kui
teie	te
teadma	`tiatte
seal	sial
olema	onn
minema	minge
siis	siis
ise	ise
mõis	mõisa
juurde	juure
no	no
mõis	mõisa
juurde	juure
mina	ma
ei	i
minema	läind
või	või
seal	seal
või	või
mõis	mõis
põlema	põles
ja	ja
hea	ia
olema	oli
et	et
ei	ei
minema	läind
ega	ega
siis	siis
seal	sial
olema	põleks
miski	midagi
tegema	teha
noh	nohh
siis	siis
tema	ta
minema	läks
sealt	sialt
edasi	edasi
Lokuta	Lokkutta
panema	panid
põlema	põlema
siis	siis
panema	panid
Laupa	`Lauppa
mõis	mõisa
ja	ja
nii+kaua	nii+gauwa
kui	kui
Vändra	`Vändras
olema	oli
siis	siss
seal	sial
tulema	tuli
see	se
lõpp	lõpp
või	või
seal	seal
Kabala	Kabalas
seal	sial
laskma	`las’ti
üks	üks
kaks	kaks
Piiu+metsa	Piiju+metsa
mees	meest
maha	maha
mh	mhh
noh	nohh
kõige	kõige
viis+kümmend	viis+kümmend
ja	ja
mina	ma
ei	i
teadma	tia
siis	s
seitse+kümmend	seitse+gümmend
viis	viis
hoop	`ooppi
siin	siin
valla+maja	valla+maea
juures	`juures
saama	said
see	nied
noh	nohh
ega	ega
olema	põld
ee	e
ee	e
mõis	`mõisas
käima	käind
või	või
pistma	pist
aga	aga
kui	kui
teine	teene
hea	ia
mees	mees
ütlema	`ütles
et	et
nägema	nää
see	see
olema	on
streikija	`streikkija
maha	maha
kere	kere
peale	piale
ja	ja
siis	siis
kes	kiss
käima	käisid
pärast	pärast
uurima	uuritti
mina	mull
oma	omal
vend	vend
nüüd	nüid
surema	suri
ära	ära
just	jüst
minema	läks
mm	m
mm	m
soldat	soldattiks
pidama	pidime
siis	siis
saama	sai
minema	läks
sinna	`sõnna
ja	ja
siis	siis
olema	oli
kaheksa	kaheksa
kuu	kuud
olema	oli
see	seda
trahv	`trahvi
saama	sai
mm	m
kes	kiss
saama	sai
aasta	`aasta
ja	ja
see	need
olema	olid
ee	e
ee	e
ee	e
vene	vene
soldat	soldattid
olema	olid
mis	miss
olema	olid
välja	`väl’la
käskima	käsuttud
nagu	nagu
mõisnik	`mõisnik
see	see
olema	oli
ju	ju
ega	ega
see	see
viie+aastane	viije+`aastane
streik	treik
tema	tema
olema	oli
ju	ju
oma	omast
koht	kohast
ka	kaa
aga	aga
see	see
olema	oli
kõik	kõik
mõisnik	`mõisnikkude
tegema	`tehtud
nemad	nad
ise	ise
olema	olid
hulgas	`ulkkas
olema	oli
juht	juht
ja	ja
mina	mina
ütlema	`üt’sin
küll	küll
et	et
ee	e
mina	mina
ei	ei
minema	läind
nemad	nendega
seltsis	`sel’tsis
et	et
ära	ärge
enese	en’did
mitte	mitte
õige	`õige
nimi	nime
ütlema	üttelge
andma	`antke
võlts	val’ts
nimi	nime
aga	aga
pärast	pärast
tulema	tulid
kõik	kõik
kes	kiss
olema	olid
käima	käind
nimi	nimed
olema	olid
teadma	tiada
ja	ja
kui	kui
minema	läksid
kuskile	`kus’kile
mõis	`mõisa
kus	kuss
siis	siis
teadma	tiab
nüüd	nüid
võõras	võeras
kus	kuss
et	et
raha+kapp	raha+gapp
seal	sial
müür	müüri
sees	sies
seal	sial
võtma	võttame
see	selle
kassa	kassa
siit	siit
välja	`väl’la
mees	mestele
kolm	kolm
rubla	rubla
vaat	vat
kui	kui
peenesti	`pienest
see	see
olema	oli
tegema	`tehtud
no	no
siis	siis
kui	kui
nemad	nad
käima	käisid
siin	siin
saama	said
peksa	`peksa
siis	siis
Särevere	Säreveres
ee	e
kui	kui
see	se
Besobrasov	Peso`praassuv
tulema	tuli
oma	oma
auto	auttuga
ja	ja
noh	nohh
seal	sial
kui	kui
nemad	nad
saama	sait
siis	s
kõige	kõige
rohkem	`rohkem
saama	sai
saama	sai
kolm+sada	kolm+sada
hoop	`ooppi
tema	tema
põdema	põdes
aga	aga
pärast	pärast
olema	oli
terve	`terve
ja	ja
siis	siis
minema	läks
Ameerika	Ammeerikkasse
ja	ja
Ameerika	Ammeerikkast
tulema	tuli
tagasi	tagasi
tulema	tuli
Tallinn	Talina
ja	ja
siis	siss
mina	ma
ei	i
teadma	tia
mitu	mittu
aasta	`aastad
tema	ta
olema	oli
siis	ss
ostma	`os’tis
kaks	kaks
kahe+korruseline	kahe+gorrist
maja	maea
kohe	kohe
Tallinn	Talina
ja	ja
nüüd	nüit
tema	ta
olema	on
tema	ta
surema	surnd
oh	ohh
mina	mina
nüüd	nüid
nagu	nagu
nime+pidi	nime+bidi
ei	ei
teadma	tia
aga	aga
nemad	neid
ikka	ikke
saama	said
mitu	mittu
hea	iad
mees	miest
ja	ja
tema	ta
olema	oli
ju	ju
nihukene	`niukkene
asi	asi
mõisnik	`mõisnik
tulema	tuli
nemad	neid
olema	oli
seitse	seitse
tükk	`tükki
olema	oli
pere+kond	peregondega
nüüd	nüid
ei	ei
teadma	tia
esiteks	`es’tiks
et	et
pidama	pidid
minema	menema
Emis+mäe	Emmis+mele
see	se
olema	on
mets	metsa
sees	sees
vaatama	vaatta
kus	kuss
sina	sa
palk	`pal’kka
tooma	tõid
jah	jahh
aga	aga
siis	siis
minema	läks
siis	sis
meie	me
olema	olime
seal	sial
pood	poe
juures	juures
minema	lähme
suur	suured
võimu+mees	võimu+med
esiteks	`es’tiks
nagu	nagu
suur	suure
kära	käraga
ikka	ikke
keegi	kedagi
minema	lähme
võtma	võttame
suur	suured
nuga	nuad
vere+kapp	vere+gapp
tapma	tappame
kohe	koe
maha	maha
hakkama	`akkasim
minema	menema
sealt	sialt
pood	poe
juurest	juurest
neli+kümmend	neli+gümmend
mees	miest
olema	olid
üks+kord	üks+kord
kui	kui
koht	koha
peale	piale
saama	saeme
ei	eij
olema	old
rohkem	`rohkem
järel	järel
kui	kui
kaks+teist	kaks+teist
see	ned
kange	`kanged
ja	ja
tapja	`tapjad
olema	olid
kõik	kõik
kaduma	kadund
minema	läksime
sinna	`sõnna
noh	nohh
palju	paelu
olema	oleks
nemad	nad
see	seda
teadma	tiand
et	et
et	et
meie	meid
nii	nii
vähe	vähe
olema	oli
puhta	`puhta
meie	meid
maha	maha
laskma	last
kohe	kohe
no	no
nemad	neil
olema	oli
kaks+teist	kaks+teist
püss	`püs’si
olema	oli
ja	ja
siis	ss
kolm	kolm
tuhat	tuhat
padrun	padrunid
olema	olid
püss	`püs’side
jaoks	jäoks
ja	ja
üks	üks
olema	oli
veel	vel
olema	oli
kuus+teist	kuus+teist
pauk	`paukku
võima	võis
korraga	korraga
laskma	`lasta
